Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1986,1,175.875,,,175.721,,,,,,,,,,,175.567,0
1986,2,175.844,,,175.737,,,,,,,,,,,175.637,0
1986,3,175.866,,,175.727,,,,,,,,,,,175.570,0
1986,4,175.853,,,175.764,,,,,,,,,,,175.646,0
1986,5,175.850,,,175.776,,,,,,,,,,,175.567,0
1986,6,175.969,,,175.854,,,,,,,,,,,175.750,0
1986,7,175.957,,,175.867,,,,,,,,,,,175.762,0
1986,8,175.936,,,175.836,,,,,,,,,,,175.735,0
1986,9,175.923,,,175.782,,,,,,,,,,,175.594,0
1986,10,176.033,,,175.899,,,,,,,,,,,175.753,0
1986,11,175.887,,,175.748,,,,,,,,,,,175.552,0
1986,12,175.927,,,175.724,,,,,,,,,,,175.518,0
1987,1,175.905,,,175.704,,,,,,,,,,,175.482,0
1987,2,175.750,,,175.533,,,,,,,,,,,175.308,0
1987,3,175.808,,,175.505,,,,,,,,,,,175.140,0
1987,4,175.789,,,175.651,,,,,,,,,,,175.433,0
1987,5,175.710,,,175.602,,,,,,,,,,,175.396,0
1987,6,175.725,,,175.596,,,,,,,,,,,175.509,0
1987,7,175.674,,,175.602,,,,,,,,,,,175.500,0
1987,8,175.652,,,175.540,,,,,,,,,,,175.421,0
1987,9,175.533,,,175.455,,,,,,,,,,,175.265,0
1987,10,175.408,,,175.292,,,,,,,,,,,175.137,0
1987,11,175.357,,,175.217,,,,,,,,,,,175.024,0
1987,12,175.539,,,175.234,,,,,,,,,,,174.762,0
1988,1,175.436,,,175.250,,,,,,,,,,,175.070,0
1988,2,175.256,,,175.203,,,,,,,,,,,175.137,0
1988,3,175.286,,,175.176,,,,,,,,,,,174.957,0
1988,4,175.390,,,175.261,,,,,,,,,,,175.070,0
1988,5,175.402,,,175.269,,,,,,,,,,,175.158,0
1988,6,175.350,,,175.230,,,,,,,,,,,175.085,0
1988,7,175.244,,,175.183,,,,,,,,,,,175.076,0
1988,8,175.222,,,175.126,,,,,,,,,,,174.960,0
1988,9,175.113,,,175.031,,,,,,,,,,,174.780,0
1988,10,175.061,,,174.914,,,,,,,,,,,174.659,0
1988,11,175.037,,,174.912,,,,,,,,,,,174.640,0
1988,12,175.018,,,174.900,,,,,,,,,,,174.640,0
1989,1,175.058,,,174.940,,,,,,,,,,,174.595,0
1989,2,175.116,,,174.969,,,,,,,,,,,174.680,0
1989,3,175.021,,,174.889,,,,,,,,,,,174.692,0
1989,4,175.140,,,175.048,,,,,,,,,,,174.881,0
1989,5,175.207,,,175.086,,,,,,,,,,,174.957,0
1989,6,175.430,,,175.275,,,,,,,,,,,175.134,0
1989,7,175.439,,,175.293,,,,,,,,,,,175.192,0
1989,8,175.293,,,175.195,,,,,,,,,,,175.033,0
1989,9,175.229,,,175.139,,,,,,,,,,,174.994,0
1989,10,175.259,,,174.974,,,,,,,,,,,174.790,0
1989,11,174.997,,,174.851,,,,,,,,,,,174.631,0
1989,12,175.043,,,174.897,,,,,,,,,,,174.710,0
1990,1,174.912,,,174.821,,,,,,,,,,,174.509,0
1990,2,175.186,,,174.926,,,,,,,,,,,174.713,0
1990,3,175.128,,,175.023,,,,,,,,,,,174.896,0
1990,4,175.107,,,175.046,,,,,,,,,,,174.927,0
1990,5,175.262,,,175.098,,,,,,,,,,,174.649,0
1990,6,175.244,,,175.142,,,,,,,,,,,174.899,0
