,DR_GBM_Flow,SCR_GBM_Flow
1984-01-01,4576.467245937172,5122.808890417566
1984-02-01,6185.469758988924,5814.486021650954
1984-03-01,6557.115688655399,5751.264830816442
1984-04-01,4563.868282511081,4786.60270691349
1984-05-01,6201.261332738243,6460.513814091035
1984-06-01,6660.5502495604305,6481.387020833013
1984-07-01,6575.937396232399,6463.814191511078
1984-08-01,6484.300039237868,6516.845159016098
1984-09-01,6542.695036346884,6527.370673712493
1984-10-01,6639.155780852373,6496.824138639336
1984-11-01,6709.642448260678,6484.942935406885
1984-12-01,6562.9648372770225,6326.461376227002
1985-01-01,6455.709385033395,5612.2501780949015
1985-02-01,6607.74391661676,5610.352676799313
1985-03-01,7182.295680160201,6246.1665201081205
1985-04-01,6970.271874533558,6516.35194337838
1985-05-01,6714.796546792988,6686.227345669001
1985-06-01,6811.181683183403,6694.7947067778905
1985-07-01,6740.510581093464,6653.470027102463
1985-08-01,6709.18944053406,6732.409854444002
1985-09-01,6907.037800622562,6640.646355036138
1985-10-01,6956.486677998601,6738.6646990250365
1985-11-01,7272.980708365531,6742.109516308527
1985-12-01,7055.450544221171,6609.745940398768
1986-01-01,6600.206584205968,6233.649725408007
1986-02-01,7133.044922992533,6165.3284470617955
1986-03-01,7338.6533789153345,6381.2208017641005
1986-04-01,7167.8506448023045,6856.875349409394
1986-05-01,6848.2130958775715,6818.232012429187
1986-06-01,7037.779729860954,6834.986550144568
1986-07-01,6974.617139608783,6926.4742867667965
1986-08-01,7011.8021189325345,6999.090974703271
1986-09-01,7202.743354925962,6778.566723948828
1986-10-01,7659.433137918464,7184.353506794801
1986-11-01,7428.152029537109,7161.6881086965495
1986-12-01,7153.670752038713,6814.910474549054
1987-01-01,6943.991809691991,6630.386928753635
1987-02-01,6614.519847460494,6195.694648560406
1987-03-01,6833.212747178699,6361.5769440287195
1987-04-01,7100.098700577961,6679.841314198087
1987-05-01,6579.6561205226835,6460.62049778147
1987-06-01,6668.081567145684,6438.671462446741
1987-07-01,6534.787063535176,6321.765146379716
1987-08-01,6389.059441545287,6364.5625272820935
1987-09-01,6392.7985832644235,6217.608746391057
1987-10-01,6339.134226259675,6211.416680271125
1987-11-01,6333.391026107253,6046.943211825641
1987-12-01,6356.9879833002005,5961.076694891069
1988-01-01,6106.512804086433,5546.300942989617
1988-02-01,6036.831742541811,5476.173101027545
1988-03-01,6339.611022193221,5659.647732634649
1988-04-01,6324.40397236439,5987.4106839523765
1988-05-01,5996.038045480463,6085.359059808962
1988-06-01,6045.066280578622,5871.204972210641
1988-07-01,5849.0291973347385,5821.789205863404
1988-08-01,5741.0127444929685,5808.248394407863
1988-09-01,5700.84148086254,5572.579006014411
1988-10-01,5659.571890721649,5575.595009380102
1988-11-01,5750.076118793535,5528.607348335678
1988-12-01,6232.120885867622,5706.609961455107
1989-01-01,5857.104824807644,5395.012085887875
1989-02-01,5846.3608832352675,5195.971263044476
1989-03-01,5771.979228722214,5200.020003019561
1989-04-01,5995.312843764113,5720.091933164641
1989-05-01,5718.370748674078,5682.127484924121
1989-06-01,5960.0990866149195,5590.624635499701
1989-07-01,5882.78963279471,5646.239105162783
1989-08-01,5670.890791430168,5593.697050382068
1989-09-01,5751.157213167389,5691.532648342535
1989-10-01,5688.446460168523,5412.064587604763
1989-11-01,5624.73908845081,5262.67937412359
1989-12-01,5258.543549455704,4842.178593353264
1990-01-01,5349.573879129519,5083.779321763828
1990-02-01,5469.214555159629,5012.053085037784
1990-03-01,5830.172205922401,4967.844071737385
1990-04-01,5729.892253841978,5233.839239698032
1990-05-01,5481.7212959757735,5246.047855368312
1990-06-01,5611.970686985691,5292.118103592447
1990-07-01,5714.6262309976955,5514.90493129095
1990-08-01,5575.887755184698,5486.598551803803
1990-09-01,5693.582854556626,5443.2666479443615
1990-10-01,5800.46252174861,5392.9161298912795
1990-11-01,5842.889462955336,5386.38031454905
1990-12-01,5794.303021631821,5232.97180768149
1991-01-01,5585.168121936305,4903.646666062499
1991-02-01,5685.23823125756,5027.369867822264
1991-03-01,5987.197951622167,5233.50197109707
1991-04-01,6046.394298051077,5517.493818957958
1991-05-01,5852.527252916412,5610.0866967650845
1991-06-01,6011.726017866955,5757.4002611961
1991-07-01,5798.0949570873745,5690.963112936169
1991-08-01,5683.869538485828,5702.736714002466
1991-09-01,5550.305802652586,5530.169659764281
1991-10-01,5573.505518301901,5438.098324881143
1991-11-01,5629.947829556211,5442.318836212826
1991-12-01,5777.387504405501,5524.25203793943
1992-01-01,5580.607945636897,5270.818873555852
1992-02-01,5673.868249506638,5282.986180812398
1992-03-01,6098.113626082265,5638.8388834034085
1992-04-01,6016.440182569384,5705.346006158827
1992-05-01,5779.245784938315,5815.606842496452
1992-06-01,5760.170052396323,5732.286698413306
1992-07-01,5707.20385879404,5624.831817006992
1992-08-01,5595.958055115232,5629.539892208226
1992-09-01,5754.19790776012,5622.535006191495
1992-10-01,5878.629660779995,5668.996702781483
1992-11-01,6030.35478448476,5605.057386836059
1992-12-01,5819.325349935092,5637.480812361125
1993-01-01,6118.085621218224,5540.701490298262
1993-02-01,5528.4057859564855,5281.285156585512
1993-03-01,6066.633464950525,5367.212771571417
1993-04-01,6102.078411611403,5640.151693878891
1993-05-01,5902.956912349428,6015.077913139101
1993-06-01,6142.465724138412,6118.40551234863
1993-07-01,6150.391799073858,6118.041135530297
1993-08-01,6009.662209044759,6141.78512375725
1993-09-01,6081.120505684482,6202.745897825664
1993-10-01,6140.4898780895155,6124.839151797471
1993-11-01,6044.67940754055,6062.263952271214
1993-12-01,6009.020802026671,6001.801321736197
1994-01-01,5101.867055573919,4854.558451048908
1994-02-01,5444.951110762041,5272.529675223797
1994-03-01,6140.546282603688,5781.799500464289
1994-04-01,6058.96819695485,6008.274058284904
1994-05-01,5959.264194892783,6090.244203326082
1994-06-01,6022.895475248512,6053.369293308188
1994-07-01,5920.749001988588,6019.2929069443935
1994-08-01,5874.550759430896,5974.076771163772
1994-09-01,5902.689567605375,6005.046615497083
1994-10-01,5993.53034728996,6028.845163532869
1994-11-01,5978.578198017541,5930.233513618787
1994-12-01,5961.178433211727,5872.635467085005
1995-01-01,6138.130755258002,5656.212036709056
1995-02-01,5515.338423765214,5288.821998322631
1995-03-01,5802.624753638034,5522.666470863536
1995-04-01,5872.705394005179,5835.42836950427
