# Coordinated beginning of month and monthly mean lakewide average water levels for Lake St.Clair
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1900,1,174.74,NA
1900,2,174.69,NA
1900,3,174.73,NA
1900,4,174.85,NA
1900,5,174.9,NA
1900,6,174.94,NA
1900,7,174.95,NA
1900,8,175.01,NA
1900,9,174.99,NA
1900,10,174.93,NA
1900,11,174.85,NA
1900,12,174.84,NA
1901,1,174.84,NA
1901,2,174.41,NA
1901,3,174.39,NA
1901,4,174.69,NA
1901,5,174.21,NA
1901,6,174.91,NA
1901,7,174.94,NA
1901,8,174.98,NA
1901,9,174.99,NA
1901,10,174.87,NA
1901,11,174.81,NA
1901,12,174.73,NA
1902,1,174.84,NA
1902,2,174.23,NA
1902,3,174.41,NA
1902,4,174.64,NA
1902,5,174.76,NA
1902,6,174.91,NA
1902,7,175.04,NA
1902,8,175.16,NA
1902,9,175.02,NA
1902,10,174.93,NA
1902,11,174.86,NA
1902,12,174.7,NA
1903,1,174.87,NA
1903,2,174.91,NA
1903,3,174.65,NA
1903,4,174.91,NA
1903,5,175.03,NA
1903,6,175.14,NA
1903,7,175.08,NA
1903,8,175.1,NA
1903,9,175.08,NA
1903,10,175.01,NA
1903,11,174.91,NA
1903,12,174.81,NA
1904,1,174.89,NA
1904,2,174.6,NA
1904,3,174.84,NA
1904,4,175.16,NA
1904,5,175.15,NA
1904,6,175.26,NA
1904,7,175.21,NA
1904,8,175.24,NA
1904,9,175.21,NA
1904,10,175.09,NA
1904,11,175.02,NA
1904,12,174.87,NA
1905,1,174.83,NA
1905,2,174.5,NA
1905,3,174.52,NA
1905,4,174.97,NA
1905,5,174.91,NA
1905,6,175.07,NA
1905,7,175.19,NA
1905,8,175.21,NA
1905,9,175.17,NA
1905,10,175.1,NA
1905,11,174.97,NA
1905,12,174.94,NA
1906,1,174.84,NA
1906,2,174.87,NA
1906,3,174.56,NA
1906,4,174.82,NA
1906,5,174.9,NA
1906,6,174.96,NA
1906,7,175.04,NA
1906,8,175.1,NA
1906,9,175.02,NA
1906,10,175.01,NA
1906,11,174.94,NA
1906,12,174.82,NA
1907,1,174.58,NA
1907,2,174.96,NA
1907,3,174.79,NA
1907,4,174.98,NA
1907,5,175.02,NA
1907,6,175.16,NA
1907,7,175.17,NA
1907,8,175.16,NA
1907,9,175.11,NA
1907,10,175.11,NA
1907,11,175.01,NA
1907,12,174.85,NA
1908,1,174.98,NA
1908,2,174.55,NA
1908,3,174.75,NA
1908,4,175.08,NA
1908,5,175.08,NA
1908,6,175.25,NA
1908,7,175.28,NA
1908,8,175.28,NA
1908,9,175.16,NA
1908,10,175.01,NA
1908,11,174.91,NA
1908,12,174.69,NA
1909,1,174.66,NA
1909,2,174.66,NA
1909,3,174.52,NA
1909,4,174.78,NA
1909,5,175.01,NA
1909,6,175.16,NA
1909,7,175.19,NA
1909,8,175.2,NA
1909,9,175.08,NA
1909,10,174.91,NA
1909,11,174.79,NA
1909,12,174.84,NA
1910,1,175.3,NA
1910,2,174.55,NA
1910,3,174.69,NA
1910,4,174.79,NA
1910,5,174.98,NA
1910,6,174.93,NA
1910,7,175.02,NA
1910,8,174.99,NA
1910,9,174.94,NA
1910,10,174.84,NA
1910,11,174.73,NA
1910,12,174.62,NA
1911,1,174.5,NA
1911,2,174.24,NA
1911,3,174.26,NA
1911,4,174.62,NA
1911,5,174.73,NA
1911,6,174.81,NA
1911,7,174.85,NA
1911,8,174.81,NA
1911,9,174.78,NA
1911,10,174.75,NA
1911,11,174.64,NA
1911,12,174.56,NA
1912,1,174.59,NA
1912,2,174.61,NA
1912,3,174.76,NA
1912,4,174.8,NA
1912,5,174.88,NA
1912,6,174.96,NA
1912,7,174.97,NA
1912,8,174.91,NA
1912,9,174.92,NA
1912,10,174.87,NA
1912,11,174.8,NA
1912,12,174.68,NA
1913,1,174.71,NA
1913,2,174.76,NA
1913,3,174.52,NA
1913,4,175.16,NA
1913,5,175.18,NA
1913,6,175.21,NA
1913,7,175.19,NA
1913,8,175.14,NA
1913,9,175.04,NA
1913,10,174.91,NA
1913,11,174.82,NA
1913,12,174.86,NA
1914,1,174.76,NA
1914,2,174.45,NA
1914,3,174.65,NA
1914,4,174.79,NA
1914,5,174.83,NA
1914,6,174.97,NA
1914,7,174.96,NA
1914,8,174.96,NA
1914,9,174.9,NA
1914,10,174.82,NA
1914,11,174.69,NA
1914,12,174.62,NA
1915,1,174.8,NA
1915,2,174.4,NA
1915,3,174.44,NA
1915,4,174.51,NA
1915,5,174.58,NA
1915,6,174.69,NA
1915,7,174.72,NA
1915,8,174.78,NA
1915,9,174.79,NA
1915,10,174.81,NA
1915,11,174.62,NA
1915,12,174.5,NA
1916,1,174.6,NA
1916,2,174.76,NA
1916,3,174.51,NA
1916,4,174.76,NA
1916,5,174.87,NA
1916,6,175.09,NA
1916,7,175.11,NA
1916,8,175.09,NA
1916,9,174.96,NA
1916,10,174.88,NA
1916,11,174.77,NA
1916,12,174.7,NA
1917,1,175.19,NA
1917,2,174.74,NA
1917,3,174.73,NA
1917,4,174.85,NA
1917,5,174.89,NA
1917,6,175.15,NA
1917,7,175.27,NA
1917,8,175.29,NA
1917,9,175.23,NA
1917,10,175.05,NA
1917,11,174.98,NA
1917,12,174.98,NA
1918,1,174.78,174.59
1918,2,174.53,174.74
1918,3,174.76,174.74
1918,4,174.67,174.84
1918,5,174.62,175
