Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1986,1,177.538,,,177.085,,,,,,,,,,,176.627,0
1986,2,177.252,,,176.995,,,,,,,,,,,176.855,0
1986,3,177.340,,,177.035,,,,,,,,,,,176.807,0
1986,4,177.392,,,177.164,,,,,,,,,,,176.919,0
1986,5,177.410,,,177.204,,,,,,,,,,,177.032,0
1986,6,177.559,,,177.259,,,,,,,,,,,177.020,0
1986,7,177.514,,,177.318,,,,,,,,,,,177.026,0
1986,8,177.642,,,177.342,,,,,,,,,,,177.136,0
1986,9,177.572,,,177.309,,,,,,,,,,,176.867,0
1986,10,177.806,,,177.418,,,,,,,,,,,177.221,0
1986,11,177.596,,,177.306,,,,,,,,,,,177.050,0
1986,12,177.383,,,177.172,,,,,,,,,,,176.944,0
1987,1,177.422,,,177.120,,,,,,,,,,,176.904,0
1987,2,178.102,,,177.046,,,,,,,,,,,176.761,0
1987,3,177.431,,,177.014,,,,,,,,,,,176.794,0
1987,4,177.517,,,177.028,,,,,,,,,,,176.730,0
1987,5,177.380,,,176.985,,,,,,,,,,,176.822,0
1987,6,177.227,,,177.006,,,,,,,,,,,176.858,0
1987,7,177.312,,,176.985,,,,,,,,,,,176.849,0
1987,8,177.242,,,176.931,,,,,,,,,,,176.672,0
1987,9,177.059,,,176.833,,,,,,,,,,,176.678,0
1987,10,177.133,,,176.724,,,,,,,,,,,176.395,0
1987,11,177.197,,,176.633,,,,,,,,,,,176.371,0
1987,12,176.983,,,176.607,,,,,,,,,,,176.212,0
1988,1,177.087,,,176.538,,,,,,,,,,,176.203,0
1988,2,176.855,,,176.553,,,,,,,,,,,175.993,0
1988,3,176.706,,,176.487,,,,,,,,,,,176.191,0
1988,4,176.883,,,176.624,,,,,,,,,,,176.395,0
1988,5,176.895,,,176.639,,,,,,,,,,,176.377,0
1988,6,176.819,,,176.614,,,,,,,,,,,176.130,0
1988,7,176.755,,,176.558,,,,,,,,,,,176.240,0
1988,8,176.858,,,176.519,,,,,,,,,,,176.246,0
1988,9,176.819,,,176.416,,,,,,,,,,,176.109,0
1988,10,176.682,,,176.362,,,,,,,,,,,175.913,0
1988,11,176.575,,,176.313,,,,,,,,,,,175.868,0
1988,12,176.822,,,176.353,,,,,,,,,,,175.877,0
1989,1,176.776,,,176.288,,,,,,,,,,,175.868,0
1989,2,176.602,,,176.279,,,,,,,,,,,176.017,0
1989,3,176.529,,,176.209,,,,,,,,,,,175.950,0
1989,4,176.526,,,176.346,,,,,,,,,,,176.166,0
1989,5,176.630,,,176.394,,,,,,,,,,,176.060,0
1989,6,176.709,,,176.500,,,,,,,,,,,176.310,0
1989,7,176.697,,,176.534,,,,,,,,,,,176.355,0
1989,8,176.730,,,176.488,,,,,,,,,,,176.252,0
1989,9,177.145,,,176.448,,,,,,,,,,,176.258,0
1989,10,176.596,,,176.294,,,,,,,,,,,176.032,0
1989,11,176.874,,,176.221,,,,,,,,,,,175.871,0
1989,12,176.636,,,176.138,,,,,,,,,,,175.816,0
1990,1,176.429,,,176.076,,,,,,,,,,,175.566,0
1990,2,176.709,,,176.112,,,,,,,,,,,175.773,0
1990,3,176.596,,,176.125,,,,,,,,,,,175.898,0
1990,4,176.465,,,176.216,,,,,,,,,,,176.054,0
1990,5,176.502,,,176.290,,,,,,,,,,,175.877,0
1990,6,176.593,,,176.367,,,,,,,,,,,176.127,0
1990,7,176.639,,,176.455,,,,,,,,,,,176.212,0
1990,8,176.971,,,176.436,,,,,,,,,,,176.115,0
1990,9,176.688,,,176.412,,,,,,,,,,,176.157,0
1990,10,176.889,,,176.354,,,,,,,,,,,176.057,0
1990,11,177.093,,,176.323,,,,,,,,,,,176.008,0
1990,12,176.572,,,176.308,,,,,,,,,,,175.926,0
1991,1,176.550,,,176.303,,,,,,,,,,,175.834,0
1991,2,176.718,,,176.264,,,,,,,,,,,175.965,0
1991,3,176.624,,,176.275,,,,,,,,,,,175.947,0
1991,4,176.813,,,176.423,,,,,,,,,,,176.142,0
1991,5,176.864,,,176.526,,,,,,,,,,,176.102,0
1991,6,176.752,,,176.599,,,,,,,,,,,176.419,0
1991,7,176.758,,,176.590,,,,,,,,,,,176.343,0
1991,8,176.758,,,176.553,,,,,,,,,,,176.398,0
1991,9,176.642,,,176.439,,,,,,,,,,,175.984,0
1991,10,176.557,,,176.312,,,,,,,,,,,176.011,0
1991,11,176.486,,,176.281,,,,,,,,,,,175.907,0
1991,12,176.563,,,176.339,,,,,,,,,,,175.953,0
1992,1,176.962,,,176.344,,,,,,,,,,,176.087,0
1992,2,176.782,,,176.313,,,,,,,,,,,175.923,0
1992,3,176.862,,,176.357,,,,,,,,,,,176.100,0
1992,4,176.670,,,176.397,,,,,,,,,,,176.118,0
1992,5,176.685,,,176.477,,,,,,,,,,,176.048,0
1992,6,176.717,,,176.469,,,,,,,,,,,175.833,0
1992,7,176.663,,,176.494,,,,,,,,,,,176.276,0
1992,8,176.862,,,176.501,,,,,,,,,,,176.270,0
1992,9,176.798,,,176.479,,,,,,,,,,,176.261,0
1992,10,176.685,,,176.439,,,,,,,,,,,176.197,0
1992,11,176.657,,,176.418,,,,,,,,,,,175.868,0
1992,12,176.868,,,176.459,,,,,,,,,,,176.060,0
1993,1,177.047,,,176.493,,,,,,,,,,,176.167,0
1993,2,176.929,,,176.460,,,,,,,,,,,176.234,0
1993,3,176.627,,,176.389,,,,,,,,,,,176.078,0
1993,4,176.788,,,176.515,,,,,,,,,,,176.270,0
1993,5,176.849,,,176.638,,,,,,,,,,,176.380,0
1993,6,176.944,,,176.749,,,,,,,,,,,176.349,0
1993,7,177.020,,,176.848,,,,,,,,,,,176.666,0
1993,8,177.026,,,176.820,,,,,,,,,,,176.639,0
1993,9,176.993,,,176.781,,,,,,,,,,,176.481,0
1993,10,177.014,,,176.685,,,,,,,,,,,176.270,0
1993,11,176.825,,,176.606,,,,,,,,,,,176.334,0
1993,12,177.017,,,176.580,,,,,,,,,,,176.249,0
1994,1,176.953,,,176.535,,,,,,,,,,,176.279,0
1994,2,176.740,,,176.501,,,,,,,,,,,176.243,0
1994,3,176.734,,,176.509,,,,,,,,,,,176.264,0
1994,4,177.243,,,176.578,,,,,,,,,,,176.316,0
1994,5,176.962,,,176.654,,,,,,,,,,,176.349,0
1994,6,176.919,,,176.674,,,,,,,,,,,176.496,0
1994,7,176.919,,,176.755,,,,,,,,,,,176.560,0
1994,8,177.054,,,176.759,,,,,,,,,,,176.508,0
1994,9,176.932,,,176.720,,,,,,,,,,,176.560,0
1994,10,176.840,,,176.641,,,,,,,,,,,176.465,0
1994,11,177.051,,,176.570,,,,,,,,,,,175.975,0
1994,12,176.782,,,176.517,,,,,,,,,,,176.240,0
1995,1,176.697,,,176.484,,,,,,,,,,,176.157,0
1995,2,176.825,,,176.468,,,,,,,,,,,176.078,0
1995,3,176.596,,,176.409,,,,,,,,,,,176.157,0
1995,4,177.121,,,176.434,,,,,,,,,,,176.057,0
1995,5,176.706,,,176.520,,,,,,,,,,,176.279,0
1995,6,176.913,,,176.576,,,,,,,,,,,176.423,0
1995,7,177.230,,,176.570,,,,,,,,,,,176.243,0
1995,8,176.837,,,176.585,,,,,,,,,,,176.395,0
1995,9,176.923,,,176.512,,,,,,,,,,,176.292,0
1995,10,176.706,,,176.382,,,,,,,,,,,176.042,0
1995,11,176.883,,,176.399,,,,,,,,,,,176.029,0
1995,12,176.636,,,176.373,,,,,,,,,,,176.039,0
1996,1,176.627,,,176.316,,,,,,,,,,,175.673,0
1996,2,176.761,,,176.336,,,,,,,,,,,175.953,0
1996,3,176.715,,,176.290,,,,,,,,,,,175.880,0
1996,4,176.612,,,176.398,,,,,,,,,,,176.017,0
