"Date","Time (LST/LDT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1982/01/01","00:00","176.819","NaN","NaN","176.456","NaN","NaN","NaN","175.731","0"
"1982/02/01","00:00","176.581","NaN","NaN","176.379","NaN","NaN","NaN","176.176","0"
"1982/03/01","00:00","176.633","NaN","NaN","176.367","NaN","NaN","NaN","175.999","0"
"1982/04/01","00:00","176.919","NaN","NaN","176.497","NaN","NaN","NaN","175.968","0"
"1982/05/01","00:00","176.672","NaN","NaN","176.525","NaN","NaN","NaN","176.349","0"
"1982/06/01","00:00","176.727","NaN","NaN","176.582","NaN","NaN","NaN","176.343","0"
"1982/07/01","00:00","176.736","NaN","NaN","176.601","NaN","NaN","NaN","176.078","0"
"1982/08/01","00:00","176.922","NaN","NaN","176.641","NaN","NaN","NaN","176.422","0"
"1982/09/01","00:00","176.794","NaN","NaN","176.592","NaN","NaN","NaN","176.41","0"
"1982/10/01","00:00","176.797","NaN","NaN","176.526","NaN","NaN","NaN","176.093","0"
"1982/11/01","00:00","176.788","NaN","NaN","176.517","NaN","NaN","NaN","176.2","0"
"1982/12/01","00:00","176.892","NaN","NaN","176.569","NaN","NaN","NaN","176.194","0"
"1983/01/01","00:00","176.983","NaN","NaN","176.598","NaN","NaN","NaN","176.301","0"
"1983/02/01","00:00","176.739","NaN","NaN","176.576","NaN","NaN","NaN","176.407","0"
"1983/03/01","00:00","176.916","NaN","NaN","176.632","NaN","NaN","NaN","176.371","0"
"1983/04/01","00:00","176.986","NaN","NaN","176.694","NaN","NaN","NaN","176.34","0"
"1983/05/01","00:00","177.175","NaN","NaN","176.828","NaN","NaN","NaN","176.48","0"
"1983/06/01","00:00","177.12","NaN","NaN","176.944","NaN","NaN","NaN","176.785","0"
"1983/07/01","00:00","177.172","NaN","NaN","176.96","NaN","NaN","NaN","176.611","0"
"1983/08/01","00:00","177.239","NaN","NaN","176.931","NaN","NaN","NaN","176.575","0"
"1983/09/01","00:00","177.224","NaN","NaN","176.859","NaN","NaN","NaN","176.508","0"
"1983/10/01","00:00","177.139","NaN","NaN","176.791","NaN","NaN","NaN","176.56","0"
"1983/11/01","00:00","177.242","NaN","NaN","176.715","NaN","NaN","NaN","176.276","0"
"1983/12/01","00:00","176.947","NaN","NaN","176.662","NaN","NaN","NaN","176.325","0"
"1984/01/01","00:00","176.867","NaN","NaN","176.639","NaN","NaN","NaN","176.313","0"
"1984/02/01","00:00","177.206","NaN","NaN","176.653","NaN","NaN","NaN","176.301","0"
"1984/03/01","00:00","177.227","NaN","NaN","176.649","NaN","NaN","NaN","176.407","0"
"1984/04/01","00:00","177.008","NaN","NaN","176.764","NaN","NaN","NaN","176.297","0"
"1984/05/01","00:00","177.084","NaN","NaN","176.854","NaN","NaN","NaN","176.654","0"
"1984/06/01","00:00","177.117","NaN","NaN","176.935","NaN","NaN","NaN","176.758","0"
"1984/07/01","00:00","177.175","NaN","NaN","177.005","NaN","NaN","NaN","176.791","0"
"1984/08/01","00:00","177.346","NaN","NaN","176.988","NaN","NaN","NaN","176.596","0"
"1984/09/01","00:00","177.306","NaN","NaN","176.945","NaN","NaN","NaN","176.645","0"
"1984/10/01","00:00","177.188","NaN","NaN","176.891","NaN","NaN","NaN","176.611","0"
"1984/11/01","00:00","177.337","NaN","NaN","176.862","NaN","NaN","NaN","176.532","0"
"1984/12/01","00:00","177.087","NaN","NaN","176.798","NaN","NaN","NaN","176.456","0"
"1985/01/01","00:00","177.245","NaN","NaN","176.827","NaN","NaN","NaN","176.639","0"
"1985/02/01","00:00","177.05","NaN","NaN","176.769","NaN","NaN","NaN","176.529","0"
"1985/03/01","00:00","177.349","NaN","NaN","176.915","NaN","NaN","NaN","176.432","0"
"1985/04/01","00:00","177.309","NaN","NaN","177.056","NaN","NaN","NaN","176.49","0"
"1985/05/01","00:00","177.361","NaN","NaN","177.152","NaN","NaN","NaN","176.928","0"
"1985/06/01","00:00","177.395","NaN","NaN","177.167","NaN","NaN","NaN","176.48","0"
"1985/07/01","00:00","177.373","NaN","NaN","177.155","NaN","NaN","NaN","176.962","0"
"1985/08/01","00:00","177.285","NaN","NaN","177.113","NaN","NaN","NaN","176.907","0"
"1985/09/01","00:00","177.346","NaN","NaN","177.112","NaN","NaN","NaN","176.819","0"
"1985/10/01","00:00","177.364","NaN","NaN","177.064","NaN","NaN","NaN","176.749","0"
"1985/11/01","00:00","177.389","NaN","NaN","177.101","NaN","NaN","NaN","176.752","0"
"1985/12/01","00:00","177.526","NaN","NaN","177.127","NaN","NaN","NaN","176.529","0"
"1986/01/01","00:00","177.538","NaN","NaN","177.085","NaN","NaN","NaN","176.627","0"
"1986/02/01","00:00","177.252","NaN","NaN","176.995","NaN","NaN","NaN","176.855","0"
"1986/03/01","00:00","177.34","NaN","NaN","177.035","NaN","NaN","NaN","176.807","0"
"1986/04/01","00:00","177.392","NaN","NaN","177.164","NaN","NaN","NaN","176.919","0"
"1986/05/01","00:00","177.41","NaN","NaN","177.204","NaN","NaN","NaN","177.032","0"
"1986/06/01","00:00","177.559","NaN","NaN","177.259","NaN","NaN","NaN","177.02","0"
"1986/07/01","00:00","177.514","NaN","NaN","177.318","NaN","NaN","NaN","177.026","0"
"1986/08/01","00:00","177.642","NaN","NaN","177.342","NaN","NaN","NaN","177.136","0"
"1986/09/01","00:00","177.572","NaN","NaN","177.309","NaN","NaN","NaN","176.867","0"
