Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1986,1,176.749,,,176.494,,,,,,,,,,,176.170,0
1986,2,176.487,,,176.375,,,,,,,,,,,176.243,0
1986,3,176.572,,,176.359,,,,,,,,,,,176.197,0
1986,4,176.535,,,176.401,,,,,,,,,,,176.273,0
1986,5,176.532,,,176.426,,,,,,,,,,,176.319,0
1986,6,176.679,,,176.493,,,,,,,,,,,176.340,0
1986,7,176.633,,,176.533,,,,,,,,,,,176.234,0
1986,8,176.712,,,176.533,,,,,,,,,,,176.416,0
1986,9,176.700,,,176.502,,,,,,,,,,,176.349,0
1986,10,176.901,,,176.610,,,,,,,,,,,176.483,0
1986,11,176.691,,,176.484,,,,,,,,,,,176.313,0
1986,12,176.560,,,176.411,,,,,,,,,,,176.319,0
1987,1,176.639,,,176.391,,,,,,,,,,,176.261,0
1987,2,176.965,,,176.425,,,,,,,,,,,176.160,0
1987,3,176.965,,,176.342,,,,,,,,,,,176.066,0
1987,4,176.423,,,176.267,,,,,,,,,,,176.151,0
1987,5,176.380,,,176.226,,,,,,,,,,,176.124,0
1987,6,176.337,,,176.241,,,,,,,,,,,176.154,0
1987,7,176.383,,,176.242,,,,,,,,,,,176.011,0
1987,8,176.337,,,176.185,,,,,,,,,,,176.048,0
1987,9,176.191,,,176.103,,,,,,,,,,,176.008,0
1987,10,176.154,,,175.984,,,,,,,,,,,175.856,0
1987,11,176.081,,,175.894,,,,,,,,,,,175.764,0
1987,12,176.112,,,175.904,,,,,,,,,,,175.764,0
1988,1,176.224,,,175.910,,,,,,,,,,,175.703,0
1988,2,176.267,,,175.963,,,,,,,,,,,175.664,0
1988,3,175.944,,,175.797,,,,,,,,,,,175.645,0
1988,4,176.023,,,175.887,,,,,,,,,,,175.749,0
1988,5,176.054,,,175.891,,,,,,,,,,,175.746,0
1988,6,175.999,,,175.866,,,,,,,,,,,175.743,0
1988,7,175.935,,,175.829,,,,,,,,,,,175.657,0
1988,8,175.990,,,175.797,,,,,,,,,,,175.667,0
1988,9,175.956,,,175.705,,,,,,,,,,,175.536,0
1988,10,175.810,,,175.641,,,,,,,,,,,175.411,0
1988,11,175.731,,,175.608,,,,,,,,,,,175.429,0
1988,12,175.874,,,175.612,,,,,,,,,,,175.347,0
1989,1,175.834,,,175.598,,,,,,,,,,,175.447,0
1989,2,176.032,,,175.672,,,,,,,,,,,175.505,0
1989,3,175.688,,,175.558,,,,,,,,,,,175.426,0
1989,4,175.740,,,175.643,,,,,,,,,,,175.539,0
1989,5,175.846,,,175.675,,,,,,,,,,,175.499,0
1989,6,175.953,,,175.825,,,,,,,,,,,175.715,0
1989,7,175.947,,,175.853,,,,,,,,,,,175.752,0
1989,8,175.947,,,175.804,,,,,,,,,,,175.691,0
1989,9,176.154,,,175.748,,,,,,,,,,,175.639,0
1989,10,175.779,,,175.602,,,,,,,,,,,175.453,0
1989,11,175.974,,,175.542,,,,,,,,,,,175.377,0
1989,12,176.014,,,175.605,,,,,,,,,,,175.334,0
1990,1,175.901,,,175.495,,,,,,,,,,,175.258,0
1990,2,175.840,,,175.527,,,,,,,,,,,175.340,0
1990,3,175.773,,,175.550,,,,,,,,,,,175.462,0
1990,4,175.694,,,175.591,,,,,,,,,,,175.502,0
1990,5,175.801,,,175.651,,,,,,,,,,,175.511,0
1990,6,175.859,,,175.721,,,,,,,,,,,175.587,0
1990,7,175.862,,,175.775,,,,,,,,,,,175.627,0
1990,8,176.087,,,175.767,,,,,,,,,,,175.633,0
1990,9,175.917,,,175.755,,,,,,,,,,,175.615,0
1990,10,175.996,,,175.699,,,,,,,,,,,175.499,0
1990,11,175.984,,,175.658,,,,,,,,,,,175.484,0
1990,12,175.877,,,175.657,,,,,,,,,,,175.539,0
1991,1,176.042,,,175.799,,,,,,,,,,,175.566,0
1991,2,176.014,,,175.697,,,,,,,,,,,175.569,0
1991,3,175.862,,,175.672,,,,,,,,,,,175.557,0
1991,4,175.941,,,175.770,,,,,,,,,,,175.633,0
1991,5,176.057,,,175.851,,,,,,,,,,,175.725,0
1991,6,175.990,,,175.908,,,,,,,,,,,175.801,0
1991,7,175.999,,,175.894,,,,,,,,,,,175.764,0
1991,8,175.944,,,175.854,,,,,,,,,,,175.752,0
1991,9,175.910,,,175.752,,,,,,,,,,,175.508,0
1991,10,175.746,,,175.623,,,,,,,,,,,175.487,0
1991,11,175.755,,,175.584,,,,,,,,,,,175.441,0
1991,12,175.746,,,175.609,,,,,,,,,,,175.438,0
1992,1,176.065,,,175.730,,,,,,,,,,,175.523,0
1992,2,176.245,,,175.734,,,,,,,,,,,175.532,0
1992,3,175.971,,,175.694,,,,,,,,,,,175.550,0
1992,4,175.867,,,175.712,,,,,,,,,,,175.547,0
1992,5,176.001,,,175.775,,,,,,,,,,,175.687,0
1992,6,175.953,,,175.782,,,,,,,,,,,175.584,0
1992,7,175.950,,,175.842,,,,,,,,,,,175.693,0
1992,8,175.974,,,175.862,,,,,,,,,,,175.764,0
1992,9,176.032,,,175.866,,,,,,,,,,,175.745,0
1992,10,175.922,,,175.788,,,,,,,,,,,175.660,0
1992,11,175.965,,,175.801,,,,,,,,,,,175.520,0
1992,12,176.123,,,175.807,,,,,,,,,,,175.651,0
1993,1,176.169,,,175.905,,,,,,,,,,,175.700,0
1993,2,176.233,,,175.963,,,,,,,,,,,175.809,0
1993,3,175.934,,,175.832,,,,,,,,,,,175.681,0
1993,4,176.068,,,175.924,,,,,,,,,,,175.796,0
1993,5,176.074,,,175.955,,,,,,,,,,,175.848,0
1993,6,176.160,,,176.041,,,,,,,,,,,175.876,0
1993,7,176.254,,,176.135,,,,,,,,,,,176.026,0
1993,8,176.187,,,176.100,,,,,,,,,,,175.983,0
1993,9,176.172,,,176.055,,,,,,,,,,,175.922,0
1993,10,176.172,,,175.951,,,,,,,,,,,175.837,0
1993,11,176.004,,,175.865,,,,,,,,,,,175.700,0
1993,12,176.062,,,175.843,,,,,,,,,,,175.724,0
1994,1,176.425,,,176.007,,,,,,,,,,,175.660,0
1994,2,176.251,,,176.000,,,,,,,,,,,175.706,0
1994,3,176.065,,,175.833,,,,,,,,,,,175.669,0
