# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Erie
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1918,6,174.06,174.1
1918,7,174.1,174.12
1918,8,174.12,174.09
1918,9,174.09,174.09
1918,10,174.04,174.02
1918,11,174.03,174.02
1918,12,173.92,174.01
1919,1,174.06,174
1919,2,174.01,174
1919,3,173.96,174.11
1919,4,174.21,174.25
1919,5,174.33,174.46
1919,6,174.51,174.49
1919,7,174.44,174.39
1919,8,174.33,174.29
1919,9,174.24,174.18
1919,10,174.12,174.08
1919,11,174.07,174.03
1919,12,173.95,173.89
1920,1,173.81,173.72
1920,2,173.68,173.55
1920,3,173.52,173.57
1920,4,173.68,173.81
1920,5,173.98,174.04
1920,6,174.04,174.09
1920,7,174.12,174.13
1920,8,174.13,174.13
1920,9,174.1,174.06
1920,10,174.01,173.96
1920,11,173.93,173.91
1920,12,173.93,173.93
1921,1,173.89,173.92
1921,2,173.93,173.88
1921,3,173.86,173.97
1921,4,174.09,174.15
1921,5,174.28,174.26
1921,6,174.27,174.24
1921,7,174.24,174.2
1921,8,174.13,174.09
1921,9,174.04,174
1921,10,173.92,173.89
1921,11,173.84,173.85
1921,12,173.87,173.86
1922,1,173.84,173.78
1922,2,173.72,173.66
1922,3,173.69,173.75
1922,4,173.89,174.05
1922,5,174.12,174.17
1922,6,174.19,174.2
1922,7,174.18,174.16
1922,8,174.13,174.08
1922,9,174.04,174.02
1922,10,173.96,173.88
1922,11,173.81,173.74
1922,12,173.68,173.64
1923,1,173.68,173.66
1923,2,173.64,173.56
1923,3,173.54,173.64
1923,4,173.71,173.78
1923,5,173.81,173.89
1923,6,173.93,173.94
1923,7,173.93,173.93
1923,8,173.9,173.85
1923,9,173.78,173.8
1923,10,173.78,173.69
1923,11,173.64,173.62
1923,12,173.6,173.73
1924,1,173.77,173.76
1924,2,173.74,173.72
1924,3,173.66,173.68
1924,4,173.77,173.84
1924,5,173.93,173.99
1924,6,174,174.04
1924,7,174.1,174.08
1924,8,174.04,174
1924,9,173.92,173.91
1924,10,173.87,173.84
1924,11,173.75,173.66
1924,12,173.6,173.6
1925,1,173.55,173.51
1925,2,173.46,173.48
1925,3,173.54,173.63
1925,4,173.71,173.73
1925,5,173.74,173.71
1925,6,173.69,173.69
1925,7,173.69,173.66
1925,8,173.66,173.66
1925,9,173.61,173.61
1925,10,173.6,173.49
1925,11,173.48,173.48
1925,12,173.49,173.47
1926,1,173.36,173.37
1926,2,173.32,173.32
1926,3,173.28,173.34
1926,4,173.37,173.61
1926,5,173.64,173.7
1926,6,173.68,173.71
1926,7,173.72,173.7
1926,8,173.69,173.73
1926,9,173.7,173.76
1926,10,173.84,173.85
1926,11,173.83,173.82
1926,12,173.81,173.78
1927,1,173.74,173.68
1927,2,173.61,173.62
1927,3,173.61,173.66
1927,4,173.8,173.85
1927,5,173.86,173.93
1927,6,173.99,174.01
1927,7,173.99,174
1927,8,174,173.94
1927,9,173.87,173.84
1927,10,173.78,173.73
1927,11,173.69,173.68
1927,12,173.81,173.88
1928,1,173.89,173.89
1928,2,173.87,173.88
1928,3,173.85,173.77
1928,4,173.81,173.9
1928,5,173.94,173.97
1928,6,173.98,174.07
1928,7,174.13,174.16
1928,8,174.14,174.12
1928,9,174.05,173.99
1928,10,173.91,173.9
1928,11,173.87,173.87
1928,12,173.89,173.9
1929,1,173.92,173.92
1929,2,173.98,173.98
1929,3,174,174.12
1929,4,174.25,174.41
1929,5,174.58,174.64
1929,6,174.66,174.62
1929,7,174.6,174.6
1929,8,174.56,174.48
1929,9,174.41,174.34
1929,10,174.3,174.23
1929,11,174.21,174.2
1929,12,174.17,174.2
1930,1,174.19,174.38
1930,2,174.37,174.32
1930,3,174.38,174.42
1930,4,174.48,174.54
1930,5,174.57,174.53
1930,6,174.49,174.47
1930,7,174.45,174.4
1930,8,174.33,174.26
1930,9,174.2,174.15
1930,10,174.08,174.02
1930,11,173.96,173.9
1930,12,173.84,173.85
1931,1,173.79,173.78
1931,2,173.73,173.67
1931,3,173.61,173.58
1931,4,173.61,173.68
1931,5,173.74,173.78
1931,6,173.8,173.84
1931,7,173.84,173.86
1931,8,173.83,173.8
1931,9,173.74,173.71
1931,10,173.67,173.64
1931,11,173.58,173.56
1931,12,173.55,173.56
1932,1,173.63,173.74
1932,2,173.81,173.82
1932,3,173.83,173.77
1932,4,173.76,173.82
1932,5,173.83,173.9
1932,6,173.92,173.9
1932,7,173.87,173.86
1932,8,173.83,173.79
1932,9,173.75,173.69
1932,10,173.61,173.54
1932,11,173.51,173.51
1932,12,173.49,173.49
1933,1,173.53,173.57
1933,2,173.59,173.54
1933,3,173.52,173.62
1933,4,173.71,173.84
1933,5,173.89,173.98
1933,6,174,173.96
1933,7,173.92,173.88
1933,8,173.82,173.77
1933,9,173.7,173.65
1933,10,173.6,173.52
1933,11,173.46,173.41
1933,12,173.35,173.38
1934,1,173.36,173.34
1934,2,173.26,173.22
1934,3,173.18,173.2
1934,4,173.25,173.38
1934,5,173.43,173.44
1934,6,173.45,173.45
1934,7,173.47,173.45
1934,8,173.42,173.43
1934,9,173.38,173.38
1934,10,173.38,173.3
1934,11,173.23,173.2
1934,12,173.21,173.19
1935,1,173.19,173.21
1935,2,173.2,173.18
1935,3,173.19,173.29
1935,4,173.36,173.4
1935,5,173.42,173.51
1935,6,173.54,173.57
1935,7,173.58,173.6
1935,8,173.6,173.6
1935,9,173.53,173.49
1935,10,173.42,173.38
1935,11,173.37,173.36
1935,12,173.32,173.34
1936,1,173.31,173.24
1936,2,173.17,173.18
1936,3,173.25,173.38
1936,4,173.55,173.6
1936,5,173.66,173.7
1936,6,173.69,173.69
1936,7,173.68,173.66
1936,8,173.62,173.59
1936,9,173.54,173.53
1936,10,173.52,173.49
1936,11,173.48,173.43
1936,12,173.38,173.37
1937,1,173.4,173.55
1937,2,173.71,173.74
1937,3,173.72,173.7
1937,4,173.7,173.82
1937,5,174,174.01
1937,6,174.01,174.06
1937,7,174.15,174.13
1937,8,174.1,174.06
1937,9,174,173.9
1937,10,173.78,173.72
1937,11,173.67,173.62
1937,12,173.55,173.53
1938,1,173.54,173.52
1938,2,173.49,173.63
1938,3,173.75,173.78
1938,4,173.88,173.97
1938,5,173.98,173.99
1938,6,174.02,174.01
1938,7,174.03,174.04
1938,8,174.04,174.03
1938,9,173.95,173.92
1938,10,173.88,173.83
1938,11,173.76,173.7
1938,12,173.69,173.67
1939,1,173.61,173.64
1939,2,173.65,173.64
1939,3,173.7,173.76
1939,4,173.82,173.92
1939,5,174.05,174.04
1939,6,174.04,174.06
1939,7,174.07,174.05
1939,8,174.05,174
1939,9,173.95,173.89
1939,10,173.84,173.78
1939,11,173.75,173.71
1939,12,173.68,173.66
1940,1,173.6,173.56
1940,2,173.5,173.51
1940,3,173.53,173.56
1940,4,173.61,173.78
1940,5,173.87,173.9
1940,6,173.98,174.01
1940,7,174.04,174.02
1940,8,174,173.97
1940,9,173.97,173.92
1940,10,173.89,173.84
1940,11,173.79,173.72
1940,12,173.71,173.75
1941,1,173.84,173.84
1941,2,173.79,173.72
1941,3,173.66,173.66
1941,4,173.67,173.74
1941,5,173.75,173.78
1941,6,173.8,173.83
1941,7,173.83,173.82
1941,8,173.81,173.75
1941,9,173.71,173.66
1941,10,173.58,173.57
1941,11,173.55,173.52
1941,12,173.52,173.51
1942,1,173.54,173.5
1942,2,173.49,173.54
1942,3,173.51,173.61
1942,4,173.76,173.9
1942,5,173.95,173.99
1942,6,174.07,174.1
1942,7,174.1,174.1
1942,8,174.12,174.08
1942,9,174.04,174
1942,10,173.95,173.93
1942,11,173.91,173.9
1942,12,173.92,173.87
1943,1,173.98,173.97
1943,2,173.92,173.9
1943,3,173.92,173.96
1943,4,174.04,174.11
1943,5,174.21,174.38
1943,6,174.54,174.57
