# Niagara River and Welland Canal Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:45 by JKP
#
"Year","Month","Niagara+Welland(SFD+ADVM)","Niagara+Welland (Coordinated)"
1913,3,5848,5848
1913,4,6668,6668
1913,5,6838,6838
1913,6,6718,6718
1913,7,6528,6528
1913,8,6238,6238
1913,9,5928,5928
1913,10,5818,5818
1913,11,5928,5928
1913,12,5898,5898
1914,1,5645,5645
1914,2,5445,5445
1914,3,5195,5195
1914,4,5615,5615
1914,5,6155,6155
1914,6,6205,6205
1914,7,5985,5985
1914,8,5845,5845
1914,9,5755,5755
1914,10,5585,5585
1914,11,5645,5645
1914,12,5365,5365
1915,1,5001,5001
1915,2,5001,5001
1915,3,5171,5171
1915,4,5031,5031
1915,5,5371,5371
1915,6,5451,5451
1915,7,5541,5541
1915,8,5731,5731
1915,9,5711,5711
1915,10,5681,5681
1915,11,5651,5651
1915,12,5421,5421
1916,1,5629,5629
1916,2,5629,5629
1916,3,5429,5429
1916,4,5799,5799
1916,5,6219,6219
1916,6,6389,6389
1916,7,6249,6249
1916,8,6079,6079
1916,9,5879,5879
1916,10,5739,5739
1916,11,5629,5629
1916,12,5629,5629
1917,1,5402,5402
1917,2,5152,5152
1917,3,5352,5352
1917,4,5802,5802
1917,5,6282,6282
1917,6,6592,6592
1917,7,6712,6712
1917,8,6562,6562
1917,9,6342,6342
1917,10,6342,6342
1917,11,6312,6312
1917,12,6202,6202
1918,1,5566,5566
1918,2,5316,5316
1918,3,5686,5686
1918,4,5546,5546
1918,5,5766,5766
1918,6,5906,5906
1918,7,5856,5856
1918,8,5826,5826
1918,9,5906,5906
1918,10,5766,5766
1918,11,5936,5936
1918,12,5736,5736
1919,1,5909,5909
1919,2,5689,5689
1919,3,5769,5769
1919,4,6079,6079
1919,5,6589,6589
1919,6,6589,6589
1919,7,6339,6339
1919,8,6279,6279
1919,9,6079,6079
1919,10,5859,5859
1919,11,5939,5939
1919,12,5719,5719
1920,1,5095,5095
1920,2,4705,4705
1920,3,4845,4845
1920,4,5185,5185
1920,5,5725,5725
1920,6,5865,5865
1920,7,5885,5885
1920,8,5805,5805
1920,9,5745,5745
1920,10,5725,5725
1920,11,5695,5695
1920,12,5885,5885
1921,1,5569,5569
1921,2,5379,5379
1921,3,5519,5519
1921,4,5859,5859
1921,5,6169,6169
1921,6,6079,6079
1921,7,5999,5999
1921,8,5739,5739
1921,9,5689,5689
1921,10,5489,5489
1921,11,5349,5349
1921,12,5719,5719
1922,1,5316,5316
1922,2,4946,4946
1922,3,5006,5006
1922,4,5736,5736
1922,5,5996,5996
1922,6,6046,6046
1922,7,5876,5876
1922,8,5736,5736
1922,9,5626,5626
1922,10,5546,5546
1922,11,5456,5456
1922,12,5176,5176
1923,1,5009,5009
1923,2,4779,4779
1923,3,4949,4949
1923,4,5119,5119
1923,5,5459,5459
1923,6,5599,5599
1923,7,5399,5399
1923,8,5319,5319
1923,9,5179,5179
1923,10,5089,5089
1923,11,5039,5039
1923,12,5289,5289
1924,1,5514,5514
1924,2,4944,4944
1924,3,4974,4974
1924,4,5224,5224
1924,5,5764,5764
1924,6,5734,5734
1924,7,5764,5764
1924,8,5594,5594
1924,9,5484,5484
1924,10,5454,5454
1924,11,5374,5374
1924,12,5224,5224
1925,1,4634,4634
1925,2,4544,4544
1925,3,4864,4864
1925,4,4944,4944
1925,5,5174,5174
1925,6,5144,5144
1925,7,5004,5004
1925,8,4944,4944
1925,9,4884,4884
1925,10,4914,4914
1925,11,5004,5004
1925,12,4944,4944
1926,1,4201,4201
1926,2,4031,4031
1926,3,4401,4401
1926,4,4741,4741
1926,5,4801,4801
1926,6,5201,5201
1926,7,5031,5031
1926,8,5001,5001
1926,9,5051,5051
1926,10,5451,5451
1926,11,5651,5651
1926,12,5341,5341
1927,1,4971,4971
1927,2,4881,4881
1927,3,4914,4914
1927,4,5226,5226
1927,5,5569,5569
1927,6,5686,5686
1927,7,5596,5596
1927,8,5489,5489
1927,9,5379,5379
1927,10,5206,5206
1927,11,5229,5229
1927,12,5824,5824
1928,1,5538,5538
1928,2,5138,5138
1928,3,5138,5138
1928,4,5251,5251
1928,5,5544,5544
1928,6,5904,5904
1928,7,5994,5994
1928,8,5856,5856
1928,9,5714,5714
1928,10,5569,5569
1928,11,5689,5689
1928,12,5716,5716
1929,1,5514,5514
1929,2,5394,5394
1929,3,5794,5794
1929,4,6416,6416
1929,5,7096,7096
1929,6,6986,6986
1929,7,6899,6899
1929,8,6646,6646
1929,9,6364,6364
1929,10,6166,6166
1929,11,6416,6416
1929,12,6158,6158
1930,1,6358,6358
1930,2,6125,6125
1930,3,6375,6375
1930,4,6211,6211
1930,5,6729,6729
1930,6,6729,6729
1930,7,6476,6476
1930,8,6139,6139
1930,9,6029,6029
1930,10,5799,5799
1930,11,5684,5684
1930,12,5532,5532
1931,1,5297,5297
1931,2,4989,4989
1931,3,4759,4759
1931,4,5045,5045
1931,5,5254,5254
1931,6,5251,5251
1931,7,5248,5248
1931,8,5168,5168
1931,9,5078,5078
1931,10,4968,4968
1931,11,4974,4974
1931,12,4989,4989
1932,1,5404,5404
1932,2,5524,5524
1932,3,5181,5181
1932,4,5242,5242
1932,5,5456,5456
1932,6,5456,5456
1932,7,5376,5376
1932,8,5176,5176
1932,9,4976,4976
1932,10,4889,4889
1932,11,4806,4806
1932,12,4869,4869
1933,1,4984,4984
1933,2,4674,4674
1933,3,4551,4551
1933,4,4849,4849
1933,5,5566,5566
1933,6,5566,5566
1933,7,5259,5259
1933,8,5059,5059
1933,9,4922,4922
1933,10,4812,4812
1933,11,4702,4702
1933,12,4535,4535
1934,1,4449,4449
1934,2,4052,4052
1934,3,4109,4109
1934,4,4452,4452
1934,5,4579,4579
1934,6,4546,4546
1934,7,4439,4439
1934,8,4469,4469
1934,9,4436,4436
1934,10,4409,4409
1934,11,4272,4272
1934,12,4342,4342
1935,1,4247,4247
1935,2,4109,4109
1935,3,4219,4219
1935,4,4374,4374
1935,5,4702,4702
1935,6,4806,4806
1935,7,4744,4744
1935,8,4845,4845
1935,9,4681,4681
1935,10,4544,4544
1935,11,4519,4519
1935,12,4466,4466
1936,1,4044,4044
1936,2,3342,3342
1936,3,4417,4417
1936,4,4855,4855
1936,5,4955,4955
1936,6,5059,5059
1936,7,4889,4889
1936,8,4744,4744
1936,9,4639,4639
1936,10,4758,4758
1936,11,4848,4848
1936,12,4544,4544
1937,1,5022,5022
1937,2,5252,5252
1937,3,5025,5025
1937,4,5281,5281
1937,5,5722,5722
1937,6,5772,5772
1937,7,5942,5942
1937,8,5725,5725
1937,9,5435,5435
1937,10,5218,5218
1937,11,5152,5152
1937,12,4968,4968
1938,1,4532,4532
1938,2,4617,4617
1938,3,5014,5014
1938,4,5454,5454
1938,5,5632,5632
1938,6,5599,5599
1938,7,5549,5549
1938,8,5662,5662
1938,9,5435,5435
1938,10,5268,5268
1938,11,5298,5298
1938,12,5248,5248
1939,1,4869,4869
1939,2,4759,4759
1939,3,5022,5022
1939,4,5218,5218
1939,5,5659,5659
1939,6,5745,5745
1939,7,5599,5599
1939,8,5602,5602
1939,9,5385,5385
1939,10,5328,5328
1939,11,5161,5161
1939,12,5215,5215
1940,1,4655,4655
1940,2,4568,4568
1940,3,4702,4702
1940,4,5221,5221
1940,5,5443,5443
1940,6,5736,5736
1940,7,5611,5611
1940,8,5399,5399
1940,9,5446,5446
1940,10,5260,5260
1940,11,5372,5372
1940,12,5379,5379
1941,1,5311,5311
1941,2,5174,5174
1941,3,4968,4968
1941,4,5098,5098
1941,5,5226,5226
1941,6,5229,5229
1941,7,5193,5193
1941,8,5103,5103
1941,9,5029,5029
1941,10,4939,4939
1941,11,5123,5123
1941,12,4903,4903
1942,1,4642,4642
1942,2,4612,4612
1942,3,4911,4911
1942,4,5363,5363
1942,5,5671,5671
1942,6,5759,5759
1942,7,5742,5742
1942,8,5762,5762
1942,9,5676,5676
1942,10,5566,5566
1942,11,5703,5703
1942,12,5692,5692
1943,1,5289,5289
1943,2,5486,5486
1943,3,5519,5519
1943,4,5572,5572
1943,5,6351,6351
1943,6,6833,6833
1943,7,6666,6666
1943,8,6573,6573
1943,9,6362,6362
1943,10,6089,6089
1943,11,6150,6150
1943,12,6029,6029
1944,1,5510,5510
1944,2,5439,5439
1944,3,5459,5459
1944,4,5864,5864
1944,5,6297,6297
1944,6,6416,6416
1944,7,6202,6202
1944,8,6021,6021
1944,9,5909,5909
1944,10,5739,5739
1944,11,5569,5569
1944,12,5633,5633
1945,1,5107,5107
1945,2,5214,5214
1945,3,5683,5683
1945,4,5974,5974
1945,5,6296,6296
1945,6,6386,6386
1945,7,6359,6359
1945,8,6326,6326
1945,9,6189,6189
1945,10,6514,6514
1945,11,6273,6273
1945,12,6173,6173
1946,1,5898,5898
1946,2,5620,5620
1946,3,5765,5765
1946,4,5949,5949
1946,5,6034,6034
1946,6,6284,6284
1946,7,6204,6204
1946,8,6150,6150
1946,9,5867,5867
1946,10,5709,5709
1946,11,5804,5804
1946,12,5730,5730
1947,1,5500,5500
1947,2,5184,5184
1947,3,5382,5382
1947,4,5360,5360
1947,5,6446,6446
1947,6,7069,7069
1947,7,6769,6769
1947,8,6517,6517
1947,9,6446,6446
1947,10,6081,6081
1947,11,6114,6114
1947,12,6090,6090
1948,1,5668,5668
1948,2,5651,5651
1948,3,5956,5956
1948,4,6394,6394
1948,5,6720,6720
1948,6,6633,6633
1948,7,6463,6463
1948,8,6293,6293
1948,9,6010,6010
1948,10,5824,5824
1948,11,5884,5884
1948,12,5726,5726
1949,1,5858,5858
1949,2,5943,5943
1949,3,5833,5833
1949,4,5867,5867
1949,5,5936,5936
1949,6,5796,5796
1949,7,5703,5703
1949,8,5599,5599
1949,9,5574,5574
1949,10,5314,5314
1949,11,5261,5261
1949,12,5273,5273
1950,1,5748,5748
1950,2,5867,5867
1950,3,5855,5855
1950,4,6049,6049
1950,5,6359,6359
1950,6,6279,6279
1950,7,6016,6016
1950,8,5819,5819
1950,9,5771,5771
1950,10,5724,5724
1950,11,5887,5887
1950,12,6072,6072
1951,1,5973,5973
1951,2,5860,5860
1951,3,5976,5976
1951,4,6627,6627
1951,5,6799,6799
1951,6,6709,6709
1951,7,6517,6517
1951,8,6352,6352
1951,9,6235,6235
1951,10,6128,6128
1951,11,6265,6265
1951,12,6352,6352
1952,1,6655,6655
1952,2,6768,6768
1952,3,6917,6917
1952,4,7202,7202
1952,5,7345,7345
1952,6,7085,7085
1952,7,6845,6845
1952,8,6739,6739
1952,9,6724,6724
1952,10,6471,6471
1952,11,6274,6274
1952,12,6314,6314
1953,1,6248,6248
1953,2,6445,6445
1953,3,6410,6410
1953,4,6539,6539
1953,5,6614,6614
1953,6,6581,6581
1953,7,6534,6534
1953,8,6498,6498
1953,9,6378,6378
1953,10,6035,6035
1953,11,6029,6029
1953,12,6248,6248
1954,1,5790,5790
1954,2,5694,5694
1954,3,6102,6102
1954,4,6454,6454
1954,5,6658,6658
1954,6,6466,6466
1954,7,6244,6244
1954,8,6322,6322
1954,9,6205,6205
1954,10,6459,6459
1954,11,6564,6564
1954,12,6528,6528
1955,1,6642,6642
1955,2,6355,6355
1955,3,6722,6722
1955,4,6907,6907
1955,5,6934,6934
1955,6,6650,6650
1955,7,6381,6381
1955,8,6335,6335
1955,9,6081,6081
1955,10,6191,6191
1955,11,6295,6295
1955,12,6001,6001
1956,1,5420,5420
1956,2,5337,5337
1956,3,5548,5548
1956,4,5944,5944
1956,5,6514,6514
1956,6,6411,6411
1956,7,6251,6251
1956,8,6322,6322
1956,9,6298,6298
1956,10,5878,5878
1956,11,5881,5881
1956,12,5711,5711
1957,1,5644,5644
1957,2,5452,5452
1957,3,5485,5485
1957,4,6007,6007
1957,5,6158,6158
1957,6,6128,6128
1957,7,6245,6245
1957,8,5955,5955
1957,9,5881,5881
1957,10,5564,5564
1957,11,5722,5722
1957,12,5647,5647
1958,1,5557,5557
1958,2,5161,5161
1958,3,5181,5181
1958,4,5231,5231
1958,5,5368,5368
1958,6,5407,5407
1958,7,5482,5482
1958,8,5477,5477
1958,9,5391,5391
1958,10,5216,5216
1958,11,5237,5237
1958,12,5046,5046
1959,1,4826,4826
1959,2,4986,4986
1959,3,5297,5297
1959,4,5507,5507
1959,5,5778,5778
1959,6,5781,5781
1959,7,5496,5496
1959,8,5360,5360
1959,9,5161,5161
1959,10,5280,5280
1959,11,5422,5422
1959,12,5378,5378
1960,1,5651,5651
1960,2,5588,5588
1960,3,5356,5356
1960,4,5663,5663
1960,5,6113,6113
1960,6,6217,6217
1960,7,6117,6117
1960,8,5960,5960
1960,9,5925,5925
1960,10,5777,5777
1960,11,5884,5884
1960,12,5650,5650
1961,1,5397,5397
1961,2,5450,5450
1961,3,5672,5672
1961,4,6189,6189
1961,5,6715,6715
1961,6,6553,6553
1961,7,6330,6330
1961,8,6232,6232
1961,9,6167,6167
1961,10,5868,5868
1961,11,5704,5704
1961,12,5775,5775
1962,1,5287,5287
1962,2,5141,5141
1962,3,5480,5480
1962,4,5634,5634
1962,5,5844,5844
1962,6,5661,5661
1962,7,5565,5565
1962,8,5491,5491
1962,9,5435,5435
1962,10,5411,5411
1962,11,5197,5197
1962,12,5487,5487
1963,1,5007,5007
1963,2,4737,4737
1963,3,5240,5240
1963,4,5345,5345
1963,5,5584,5584
1963,6,5641,5641
1963,7,5334,5334
1963,8,5257,5257
1963,9,4891,4891
1963,10,4701,4701
1963,11,4900,4900
1963,12,4900,4900
1964,1,4226,4226
1964,2,4241,4241
1964,3,4846,4846
1964,4,5144,5144
1964,5,5510,5510
1964,6,5355,5355
1964,7,5123,5123
1964,8,5023,5023
1964,9,4869,4869
1964,10,4723,4723
1964,11,4586,4586
1964,12,4540,4540
1965,1,4654,4654
1965,2,4860,4860
1965,3,5065,5065
1965,4,5125,5125
1965,5,5441,5441
1965,6,5532,5532
1965,7,5327,5327
1965,8,5217,5217
1965,9,5154,5154
1965,10,5287,5287
1965,11,5315,5315
1965,12,5238,5238
1966,1,5263,5263
1966,2,5348,5348
1966,3,5515,5515
1966,4,5559,5559
1966,5,5974,5974
1966,6,5941,5941
1966,7,5811,5811
1966,8,5741,5741
1966,9,5532,5532
1966,10,5383,5383
1966,11,5327,5327
1966,12,5732,5732
1967,1,5691,5691
1967,2,5551,5551
1967,3,5441,5441
1967,4,5932,5932
1967,5,6165,6165
1967,6,5944,5944
1967,7,5968,5968
1967,8,5842,5842
1967,9,5699,5699
1967,10,5869,5869
1967,11,6005,6005
1967,12,5955,5955
1968,1,5765,5765
1968,2,6343,6343
1968,3,6048,6048
1968,4,6202,6202
1968,5,6326,6326
1968,6,6399,6399
1968,7,6397,6397
1968,8,6259,6259
1968,9,6199,6199
1968,10,6095,6095
1968,11,6001,6001
1968,12,6237,6237
1969,1,5944,5944
1969,2,6190,6190
1969,3,6132,6132
1969,4,6402,6402
1969,5,7005,7005
1969,6,7027,7027
1969,7,6925,6925
1969,8,6885,6885
1969,9,6665,6665
1969,10,6498,6498
1969,11,6448,6448
1969,12,6291,6291
1970,1,5884,5884
1970,2,5944,5944
1970,3,5974,5974
1970,4,6297,6297
1970,5,6566,6566
1970,6,6498,6498
1970,7,6484,6484
1970,8,6294,6294
1970,9,6317,6317
1970,10,6196,6196
1970,11,6366,6366
1970,12,6358,6358
1971,1,6321,6321
1971,2,6113,6113
1971,3,6314,6314
1971,4,6317,6317
1971,5,6462,6462
1971,6,6705,6705
1971,7,6435,6435
1971,8,6342,6342
1971,9,6302,6302
1971,10,6275,6275
1971,11,6215,6215
1971,12,6294,6294
1972,1,6411,6411
1972,2,6118,6118
1972,3,6480,6480
1972,4,6624,6624
1972,5,6984,6984
1972,6,7036,7036
1972,7,7061,7061
1972,8,6912,6912
1972,9,6769,6769
1972,10,6858,6858
1972,11,7028,7028
1972,12,7261,7261
1973,1,7058,7058
1973,2,6815,6815
1973,3,7420,7420
1973,4,7815,7815
1973,5,7799,7799
1973,6,7802,7802
1973,7,7712,7712
1973,8,7438,7438
1973,9,7152,7152
1973,10,6952,6952
1973,11,6998,6998
1973,12,6926,6926
1974,1,6920,6920
1974,2,7030,7030
1974,3,7381,7381
1974,4,7804,7804
1974,5,7865,7865
1974,6,7681,7681
1974,7,7418,7418
1974,8,7126,7126
1974,9,6928,6928
1974,10,6721,6721
1974,11,6781,6781
1974,12,6869,6869
1975,1,7085,7085
1975,2,6989,6989
1975,3,6987,6987
1975,4,7302,7302
1975,5,7274,7274
1975,6,7295,7295
1975,7,7111,7111
1975,8,6975,6975
1975,9,7162,7162
1975,10,6941,6941
1975,11,6943,6943
1975,12,6795,6795
1976,1,6658,6658
1976,2,6828,6828
1976,3,7406,7406
1976,4,7623,7623
1976,5,7651,7651
1976,6,7341,7341
1976,7,7346,7346
1976,8,7059,7059
1976,9,7009,7009
1976,10,6845,6845
1976,11,6698,6698
1976,12,6229,6229
1977,1,5828,5828
1977,2,5742,5742
1977,3,6099,6099
1977,4,6448,6448
1977,5,6836,6836
1977,6,6686,6686
1977,7,6558,6558
1977,8,6619,6619
1977,9,6666,6666
1977,10,6559,6559
1977,11,6473,6473
1977,12,6742,6742
1978,1,6237,6237
1978,2,6222,6222
1978,3,6406,6406
1978,4,6882,6882
1978,5,6975,6975
1978,6,7049,7049
1978,7,6654,6654
1978,8,6588,6588
1978,9,6362,6362
1978,10,6359,6359
1978,11,6151,6151
1978,12,6311,6311
1979,1,5987,5987
1979,2,5939,5939
1979,3,6209,6209
1979,4,6666,6666
1979,5,6955,6955
1979,6,6982,6982
1979,7,6826,6826
1979,8,6900,6900
1979,9,6809,6809
1979,10,6842,6842
1979,11,6732,6732
1979,12,6813,6813
1980,1,6868,6868
1980,2,6498,6498
1980,3,6664,6664
1980,4,7182,7182
1980,5,7259,7259
1980,6,7256,7256
1980,7,7086,7086
1980,8,7176,7176
1980,9,7089,7089
1980,10,6892,6892
1980,11,6523,6523
1980,12,6399,6399
1981,1,6018,6018
1981,2,6111,6111
1981,3,6265,6265
1981,4,6355,6355
1981,5,6741,6741
1981,6,6962,6962
1981,7,6812,6812
1981,8,6843,6843
1981,9,6863,6863
1981,10,6779,6779
1981,11,6708,6708
1981,12,6583,6583
1982,1,6484,6484
1982,2,6127,6127
1982,3,6611,6611
1982,4,6807,6807
1982,5,6921,6921
1982,6,7139,7139
1982,7,6689,6689
1982,8,6622,6622
1982,9,6366,6366
1982,10,6262,6262
1982,11,6483,6483
1982,12,6658,6658
1983,1,6641,6641
1983,2,6405,6405
1983,3,6384,6384
1983,4,6720,6720
1983,5,7182,7182
1983,6,6863,6863
1983,7,7019,7019
1983,8,7086,7086
1983,9,6876,6876
1983,10,6619,6619
1983,11,6716,6716
1983,12,6989,6989
1984,1,6240,6240
1984,2,6441,6441
1984,3,6728,6728
1984,4,7011,7011
1984,5,7072,7072
1984,6,7091,7091
1984,7,6992,6992
1984,8,6835,6835
1984,9,6765,6765
1984,10,6591,6591
1984,11,6661,6661
1984,12,6649,6649
1985,1,6511,6511
1985,2,5924,5924
1985,3,7026,7026
1985,4,7729,7729
1985,5,7733,7733
1985,6,7669,7669
1985,7,7262,7262
1985,8,7105,7105
1985,9,7029,7029
1985,10,6808,6808
1985,11,7162,7162
1985,12,7754,7754
1986,1,6681,6681
1986,2,6977,6977
1986,3,7607,7607
1986,4,7571,7571
1986,5,7801,7801
1986,6,7944,7944
1986,7,7813,7813
1986,8,7557,7557
1986,9,7278,7278
1986,10,7569,7569
1986,11,7386,7386
1986,12,7678,7678
1987,1,7552,7552
1987,2,7158,7158
1987,3,7125,7125
1987,4,7426,7426
1987,5,7346,7346
1987,6,7175,7175
1987,7,7251,7251
1987,8,6997,6997
1987,9,6899,6899
1987,10,6726,6726
1987,11,6462,6462
1987,12,6631,6631
1988,1,6416,6416
1988,2,6354,6354
1988,3,6308,6308
1988,4,6435,6435
1988,5,6601,6601
1988,6,6368,6368
1988,7,6096,6096
1988,8,6202,6202
1988,9,5942,5942
1988,10,5964,5964
1988,11,5927,5927
1988,12,5922,5922
1989,1,5955,5955
1989,2,5723,5723
1989,3,5555,5555
1989,4,6228,6228
1989,5,6431,6431
1989,6,6702,6702
1989,7,6488,6488
1989,8,6438,6438
1989,9,6185,6185
1989,10,6006,6006
1989,11,6174,6174
1989,12,5645,5645
1990,1,5732,5732
1990,2,6024,6024
1990,3,6202,6202
1990,4,6532,6532
1990,5,6605,6605
1990,6,6529,6529
1990,7,6272,6272
1990,8,6295,6295
1990,9,6446,6446
1990,10,6374,6374
1990,11,6195,6195
1990,12,6401,6401
1991,1,6708,6708
1991,2,6522,6522
1991,3,6581,6581
1991,4,6634,6634
1991,5,6606,6606
1991,6,6430,6430
1991,7,6297,6297
1991,8,6118,6118
1991,9,6034,6034
1991,10,5798,5798
1991,11,5752,5752
1991,12,5884,5884
1992,1,5711,5711
1992,2,5814,5814
1992,3,6044,6044
1992,4,6399,6399
1992,5,6496,6496
1992,6,6174,6174
1992,7,6371,6371
1992,8,6515,6515
1992,9,6724,6724
1992,10,6589,6589
1992,11,6667,6667
1992,12,6809,6809
1993,1,7144,7144
1993,2,6744,6744
1993,3,6790,6790
1993,4,7260,7260
1993,5,7189,7189
1993,6,6826,6826
1993,7,6883,6883
1993,8,6591,6591
1993,9,6481,6481
1993,10,6388,6388
1993,11,6300,6300
1993,12,6376,6376
1994,1,5905,5905
1994,2,6111,6111
1994,3,6236,6236
1994,4,6540,6540
1994,5,6921,6921
1994,6,6557,6557
1994,7,6694,6694
1994,8,6659,6659
1994,9,6461,6461
1994,10,6239,6239
1994,11,6353,6353
1994,12,6150,6150
1995,1,6555,6555
1995,2,6153,6153
1995,3,6212,6212
1995,4,6426,6426
1995,5,6622,6622
1995,6,6290,6290
1995,7,6436,6436
1995,8,6242,6242
1995,9,5902,5902
1995,10,6054,6054
1995,11,6194,6194
1995,12,6038,6038
1996,1,5795,5795
1996,2,5824,5824
1996,3,6007,6007
1996,4,6106,6106
1996,5,6629,6629
1996,6,6748,6748
1996,7,6675,6675
1996,8,6604,6604
1996,9,6780,6780
1996,10,6764,6764
1996,11,6698,6698
1996,12,6966,6966
1997,1,7014,7014
1997,2,6839,6839
1997,3,7444,7444
1997,4,7637,7637
1997,5,7798,7798
1997,6,7726,7726
1997,7,7722,7722
1997,8,7421,7421
1997,9,7273,7273
1997,10,7051,7051
1997,11,6915,6915
1997,12,6988,6988
1998,1,7173,7173
1998,2,7049,7049
1998,3,7408,7408
1998,4,7525,7525
1998,5,7415,7415
1998,6,7260,7260
1998,7,7184,7184
1998,8,6852,6852
1998,9,6634,6634
1998,10,6292,6292
1998,11,6076,6076
1998,12,5940,5940
1999,1,5599,5599
1999,2,5816,5816
1999,3,5953,5953
1999,4,6070,6070
1999,5,6219,6219
1999,6,5879,5879
1999,7,5967,5967
1999,8,5604,5604
1999,9,5470,5470
1999,10,5439,5439
1999,11,5552,5552
1999,12,5568,5568
2000,1,5388,5388
2000,2,5194,5194
2000,3,5244,5244
2000,4,5536,5536
2000,5,5799,5799
2000,6,5965,5965
2000,7,6083,6083
2000,8,5987,5987
2000,9,5777,5777
2000,10,5599,5599
2000,11,5634,5634
2000,12,5552,5552
2001,1,5255,5255
2001,2,5415,5415
2001,3,5490,5490
2001,4,5636,5636
2001,5,5797,5797
2001,6,5650,5650
