# Niagara River and Welland Canal Monthly Flow
# Units = cms
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:45 by JKP
#
"Year","Month","Niagara+Welland(SFD+ADVM)","Niagara+Welland (Coordinated)"
1900,1,5381,5381
1900,2,5271,5271
1900,3,5441,5441
1900,4,5581,5581
1900,5,5831,5831
1900,6,5861,5861
1900,7,5751,5751
1900,8,5721,5721
1900,9,5611,5611
1900,10,5381,5381
1900,11,5521,5521
1900,12,5501,5501
1901,1,5381,5381
1901,2,4871,4871
1901,3,4841,4841
1901,4,4901,4901
1901,5,5131,5131
1901,6,5411,5411
1901,7,5411,5411
1901,8,5351,5351
1901,9,5411,5411
1901,10,5301,5301
1901,11,5241,5241
1901,12,5241,5241
1902,1,5164,5164
1902,2,4764,4764
1902,3,4904,4904
1902,4,5214,5214
1902,5,5504,5504
1902,6,5644,5644
1902,7,5984,5984
1902,8,5954,5954
1902,9,5754,5754
1902,10,5864,5864
1902,11,5724,5724
1902,12,5674,5674
1903,1,5584,5584
1903,2,5334,5334
1903,3,5644,5644
1903,4,6034,6034
1903,5,6204,6204
1903,6,6204,6204
1903,7,6124,6124
1903,8,5954,5954
1903,9,5954,5954
1903,10,5834,5834
1903,11,5674,5674
1903,12,5674,5674
1904,1,4967,4967
1904,2,5077,5077
1904,3,5477,5477
1904,4,6097,6097
1904,5,6437,6437
1904,6,6577,6577
1904,7,6407,6407
1904,8,6267,6267
1904,9,6127,6127
1904,10,6007,6007
1904,11,5837,5837
1904,12,5757,5757
1905,1,5390,5390
1905,2,5050,5050
1905,3,5140,5140
1905,4,5390,5390
1905,5,5900,5900
1905,6,6240,6240
1905,7,6350,6350
1905,8,6240,6240
1905,9,6130,6130
1905,10,6040,6040
1905,11,5820,5820
1905,12,5930,5930
1906,1,5762,5762
1906,2,5482,5482
1906,3,5362,5362
1906,4,5592,5592
1906,5,5842,5842
1906,6,5962,5962
1906,7,5962,5962
1906,8,5902,5902
1906,9,5762,5762
1906,10,5792,5792
1906,11,5872,5872
1906,12,5962,5962
1907,1,6185,6185
1907,2,5825,5825
1907,3,5705,5705
1907,4,5935,5935
1907,5,6215,6215
1907,6,6335,6335
1907,7,6445,6445
1907,8,6215,6215
1907,9,6135,6135
1907,10,6105,6105
1907,11,6045,6045
1907,12,6045,6045
1908,1,6102,6102
1908,2,5732,5732
1908,3,5902,5902
1908,4,6272,6272
1908,5,6582,6582
1908,6,6502,6502
1908,7,6352,6352
1908,8,6242,6242
1908,9,5992,5992
1908,10,5702,5702
1908,11,5702,5702
1908,12,5652,5652
1909,1,5261,5261
1909,2,5261,5261
1909,3,5431,5431
1909,4,5541,5541
1909,5,6221,6221
1909,6,6281,6281
1909,7,6221,6221
1909,8,6001,6001
1909,9,5801,5801
1909,10,5601,5601
1909,11,5461,5461
1909,12,5711,5711
1910,1,5154,5154
1910,2,4954,4954
1910,3,5294,5294
1910,4,5494,5494
1910,5,6004,6004
1910,6,5974,5974
1910,7,5834,5834
1910,8,5664,5664
1910,9,5494,5494
1910,10,5604,5604
1910,11,5524,5524
1910,12,5374,5374
1911,1,5097,5097
1911,2,4867,4867
1911,3,4987,4987
1911,4,5127,5127
1911,5,5547,5547
1911,6,5547,5547
1911,7,5437,5437
1911,8,5267,5267
1911,9,5157,5157
1911,10,5267,5267
1911,11,5577,5577
1911,12,5437,5437
1912,1,5272,5272
1912,2,4902,4902
1912,3,4932,4932
1912,4,5582,5582
1912,5,5982,5982
1912,6,5952,5952
1912,7,5812,5812
1912,8,5862,5862
1912,9,5892,5892
1912,10,5782,5782
1912,11,5892,5892
1912,12,5812,5812
1913,1,5818,5818
1913,2,5958,5958
