Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1986,1,175.447,,,175.240,,,,,,,,,,,175.023,0
1986,2,175.767,,,175.361,,,,,,,,,,,175.142,0
1986,3,175.538,,,175.306,,,,,,,,,,,174.959,0
1986,4,175.569,,,175.367,,,,,,,,,,,175.173,0
1986,5,175.523,,,175.386,,,,,,,,,,,175.099,0
1986,6,175.636,,,175.461,,,,,,,,,,,175.279,0
1986,7,175.611,,,175.465,,,,,,,,,,,175.319,0
1986,8,175.563,,,175.406,,,,,,,,,,,175.218,0
1986,9,175.538,,,175.336,,,,,,,,,,,175.041,0
1986,10,175.679,,,175.433,,,,,,,,,,,175.151,0
1986,11,175.584,,,175.295,,,,,,,,,,,174.920,0
1986,12,175.694,,,175.300,,,,,,,,,,,174.929,0
1987,1,175.779,,,175.280,,,,,,,,,,,174.892,0
1987,2,175.386,,,175.170,,,,,,,,,,,174.852,0
1987,3,175.419,,,175.140,,,,,,,,,,,174.834,0
1987,4,175.419,,,175.256,,,,,,,,,,,174.892,0
1987,5,175.438,,,175.230,,,,,,,,,,,175.014,0
1987,6,175.365,,,175.207,,,,,,,,,,,175.069,0
1987,7,175.337,,,175.217,,,,,,,,,,,175.087,0
1987,8,175.349,,,175.154,,,,,,,,,,,174.977,0
1987,9,175.194,,,175.066,,,,,,,,,,,174.856,0
1987,10,175.084,,,174.889,,,,,,,,,,,174.664,0
1987,11,175.063,,,174.810,,,,,,,,,,,174.487,0
1987,12,175.410,,,174.815,,,,,,,,,,,174.313,0
1988,1,175.160,,,174.860,,,,,,,,,,,174.462,0
1988,2,174.932,,,174.823,,,,,,,,,,,174.584,0
1988,3,175.148,,,174.792,,,,,,,,,,,174.560,0
1988,4,175.136,,,174.877,,,,,,,,,,,174.660,0
1988,5,175.002,,,174.904,,,,,,,,,,,174.767,0
1988,6,175.145,,,174.864,,,,,,,,,,,174.694,0
1988,7,174.953,,,174.814,,,,,,,,,,,174.670,0
1988,8,174.956,,,174.755,,,,,,,,,,,174.496,0
1988,9,174.849,,,174.657,,,,,,,,,,,174.377,0
1988,10,174.718,,,174.513,,,,,,,,,,,174.170,0
1988,11,174.734,,,174.513,,,,,,,,,,,174.121,0
1988,12,174.697,,,174.480,,,,,,,,,,,174.164,0
1989,1,174.810,,,174.530,,,,,,,,,,,173.969,0
1989,2,174.831,,,174.575,,,,,,,,,,,173.996,0
1989,3,174.828,,,174.542,,,,,,,,,,,174.246,0
1989,4,174.843,,,174.685,,,,,,,,,,,174.462,0
1989,5,174.895,,,174.731,,,,,,,,,,,174.453,0
1989,6,175.099,,,174.937,,,,,,,,,,,174.746,0
1989,7,175.221,,,174.956,,,,,,,,,,,174.801,0
1989,8,175.008,,,174.842,,,,,,,,,,,174.728,0
1989,9,174.990,,,174.781,,,,,,,,,,,174.560,0
1989,10,175.005,,,174.612,,,,,,,,,,,174.310,0
1989,11,174.700,,,174.465,,,,,,,,,,,174.084,0
1989,12,174.724,,,174.503,,,,,,,,,,,174.182,0
1990,1,174.679,,,174.454,,,,,,,,,,,173.969,0
1990,2,174.910,,,174.578,,,,,,,,,,,174.145,0
1990,3,174.907,,,174.702,,,,,,,,,,,174.502,0
1990,4,174.871,,,174.721,,,,,,,,,,,174.548,0
1990,5,175.045,,,174.783,,,,,,,,,,,174.161,0
1990,6,174.981,,,174.822,,,,,,,,,,,174.554,0
1990,7,175.093,,,174.861,,,,,,,,,,,174.737,0
1990,8,175.081,,,174.847,,,,,,,,,,,174.660,0
1990,9,175.017,,,174.814,,,,,,,,,,,174.532,0
1990,10,174.990,,,174.719,,,,,,,,,,,174.179,0
1990,11,175.008,,,174.636,,,,,,,,,,,174.215,0
1990,12,175.416,,,174.652,,,,,,,,,,,174.179,0
1991,1,175.233,,,174.813,,,,,,,,,,,174.554,0
1991,2,174.932,,,174.718,,,,,,,,,,,174.529,0
1991,3,175.051,,,174.796,,,,,,,,,,,174.203,0
1991,4,175.115,,,174.868,,,,,,,,,,,174.148,0
1991,5,175.157,,,174.939,,,,,,,,,,,174.715,0
1991,6,175.197,,,174.983,,,,,,,,,,,174.874,0
1991,7,175.063,,,174.904,,,,,,,,,,,174.773,0
1991,8,175.023,,,174.851,,,,,,,,,,,174.721,0
1991,9,175.008,,,174.717,,,,,,,,,,,174.444,0
1991,10,174.892,,,174.585,,,,,,,,,,,174.307,0
1991,11,174.773,,,174.485,,,,,,,,,,,174.145,0
1991,12,175.121,,,174.498,,,,,,,,,,,173.950,0
1992,1,174.712,,,174.540,,,,,,,,,,,174.279,0
1992,2,174.700,,,174.570,,,,,,,,,,,174.334,0
1992,3,174.923,,,174.658,,,,,,,,,,,174.429,0
1992,4,174.929,,,174.767,,,,,,,,,,,174.560,0
1992,5,174.956,,,174.844,,,,,,,,,,,174.651,0
1992,6,175.023,,,174.853,,,,,,,,,,,174.712,0
1992,7,175.212,,,174.909,,,,,,,,,,,174.673,0
1992,8,175.054,,,174.925,,,,,,,,,,,174.718,0
1992,9,175.121,,,174.940,,,,,,,,,,,174.712,0
1992,10,175.086,,,174.809,,,,,,,,,,,174.327,0
1992,11,175.227,,,174.838,,,,,,,,,,,174.292,0
1992,12,174.971,,,174.794,,,,,,,,,,,174.283,0
1993,1,175.310,,,174.949,,,,,,,,,,,174.578,0
