"Date","Time (LST/LDT)","Highest","MHHW (m)","MHW (m)","MSL (m)","MTL (m)","MLW (m)","MLLW (m)","Lowest (m)","Inf"
"1982/01/01","00:00","176.558","NaN","NaN","176.235","NaN","NaN","NaN","175.806","0"
"1982/02/01","00:00","176.4","NaN","NaN","176.149","NaN","NaN","NaN","175.979","0"
"1982/03/01","00:00","176.309","NaN","NaN","176.126","NaN","NaN","NaN","175.915","0"
"1982/04/01","00:00","176.498","NaN","NaN","176.218","NaN","NaN","NaN","175.928","0"
"1982/05/01","00:00","176.324","NaN","NaN","176.22","NaN","NaN","NaN","176.12","0"
"1982/06/01","00:00","176.409","NaN","NaN","176.258","NaN","NaN","NaN","176.147","0"
"1982/07/01","00:00","176.485","NaN","NaN","176.288","NaN","NaN","NaN","176.101","0"
"1982/08/01","00:00","176.461","NaN","NaN","176.286","NaN","NaN","NaN","176.126","0"
"1982/09/01","00:00","176.376","NaN","NaN","176.23","NaN","NaN","NaN","176.071","0"
"1982/10/01","00:00","176.339","NaN","NaN","176.169","NaN","NaN","NaN","175.891","0"
"1982/11/01","00:00","176.351","NaN","NaN","176.165","NaN","NaN","NaN","175.943","0"
"1982/12/01","00:00","176.461","NaN","NaN","176.232","NaN","NaN","NaN","175.961","0"
"1983/01/01","00:00","176.415","NaN","NaN","176.263","NaN","NaN","NaN","176.062","0"
"1983/02/01","00:00","176.376","NaN","NaN","176.252","NaN","NaN","NaN","176.126","0"
"1983/03/01","00:00","176.488","NaN","NaN","176.274","NaN","NaN","NaN","176.08","0"
"1983/04/01","00:00","176.391","NaN","NaN","176.316","NaN","NaN","NaN","176.174","0"
"1983/05/01","00:00","176.677","NaN","NaN","176.478","NaN","NaN","NaN","176.348","0"
"1983/06/01","00:00","176.659","NaN","NaN","176.57","NaN","NaN","NaN","176.443","0"
"1983/07/01","00:00","176.686","NaN","NaN","176.584","NaN","NaN","NaN","176.473","0"
"1983/08/01","00:00","176.747","NaN","NaN","176.567","NaN","NaN","NaN","176.4","0"
"1983/09/01","00:00","176.738","NaN","NaN","176.49","NaN","NaN","NaN","176.226","0"
"1983/10/01","00:00","176.68","NaN","NaN","176.417","NaN","NaN","NaN","176.257","0"
"1983/11/01","00:00","176.723","NaN","NaN","176.351","NaN","NaN","NaN","176.077","0"
"1983/12/01","00:00","176.604","NaN","NaN","176.359","NaN","NaN","NaN","176.071","0"
"1984/01/01","00:00","176.622","NaN","NaN","176.45","NaN","NaN","NaN","176.196","0"
"1984/02/01","00:00","176.72","NaN","NaN","176.342","NaN","NaN","NaN","176.162","0"
"1984/03/01","00:00","176.668","NaN","NaN","176.37","NaN","NaN","NaN","176.129","0"
"1984/04/01","00:00","176.936","NaN","NaN","176.599","NaN","NaN","NaN","176.138","0"
"1984/05/01","00:00","176.641","NaN","NaN","176.463","NaN","NaN","NaN","176.266","0"
"1984/06/01","00:00","176.683","NaN","NaN","176.552","NaN","NaN","NaN","176.427","0"
"1984/07/01","00:00","176.711","NaN","NaN","176.613","NaN","NaN","NaN","176.504","0"
"1984/08/01","00:00","176.818","NaN","NaN","176.598","NaN","NaN","NaN","176.44","0"
"1984/09/01","00:00","176.769","NaN","NaN","176.555","NaN","NaN","NaN","176.321","0"
"1984/10/01","00:00","176.69","NaN","NaN","176.499","NaN","NaN","NaN","176.309","0"
"1984/11/01","00:00","176.79","NaN","NaN","176.471","NaN","NaN","NaN","176.26","0"
"1984/12/01","00:00","176.604","NaN","NaN","176.416","NaN","NaN","NaN","176.147","0"
"1985/01/01","00:00","176.671","NaN","NaN","176.495","NaN","NaN","NaN","176.312","0"
"1985/02/01","00:00","176.72","NaN","NaN","176.473","NaN","NaN","NaN","176.269","0"
"1985/03/01","00:00","176.912","NaN","NaN","176.58","NaN","NaN","NaN","176.254","0"
"1985/04/01","00:00","176.872","NaN","NaN","176.699","NaN","NaN","NaN","176.385","0"
"1985/05/01","00:00","176.879","NaN","NaN","176.765","NaN","NaN","NaN","176.61","0"
"1985/06/01","00:00","176.93","NaN","NaN","176.787","NaN","NaN","NaN","176.275","0"
"1985/07/01","00:00","176.903","NaN","NaN","176.769","NaN","NaN","NaN","176.647","0"
"1985/08/01","00:00","176.836","NaN","NaN","176.729","NaN","NaN","NaN","176.552","0"
"1985/09/01","00:00","176.897","NaN","NaN","176.727","NaN","NaN","NaN","176.565","0"
"1985/10/01","00:00","176.875","NaN","NaN","176.672","NaN","NaN","NaN","176.44","0"
"1985/11/01","00:00","176.939","NaN","NaN","176.721","NaN","NaN","NaN","176.461","0"
"1985/12/01","00:00","177.064","NaN","NaN","176.776","NaN","NaN","NaN","176.464","0"
"1986/01/01","00:00","177.107","NaN","NaN","176.793","NaN","NaN","NaN","176.43","0"
"1986/02/01","00:00","176.869","NaN","NaN","176.699","NaN","NaN","NaN","176.583","0"
"1986/03/01","00:00","176.943","NaN","NaN","176.707","NaN","NaN","NaN","176.507","0"
"1986/04/01","00:00","176.939","NaN","NaN","176.784","NaN","NaN","NaN","176.61","0"
"1986/05/01","00:00","176.961","NaN","NaN","176.817","NaN","NaN","NaN","176.69","0"
"1986/06/01","00:00","177.107","NaN","NaN","176.876","NaN","NaN","NaN","176.723","0"
"1986/07/01","00:00","177.077","NaN","NaN","176.926","NaN","NaN","NaN","176.772","0"
"1986/08/01","00:00","177.125","NaN","NaN","176.94","NaN","NaN","NaN","176.79","0"
"1986/09/01","00:00","177.11","NaN","NaN","176.908","NaN","NaN","NaN","176.726","0"
"1986/10/01","00:00","177.342","NaN","NaN","177.014","NaN","NaN","NaN","176.836","0"
"1986/11/01","00:00","177.119","NaN","NaN","176.898","NaN","NaN","NaN","176.69","0"
"1986/12/01","00:00","176.952","NaN","NaN","176.798","NaN","NaN","NaN","176.647","0"
"1987/01/01","00:00","176.946","NaN","NaN","176.759","NaN","NaN","NaN","176.574","0"
"1987/02/01","00:00","177.445","NaN","NaN","176.744","NaN","NaN","NaN","176.531","0"
"1987/03/01","00:00","177.061","NaN","NaN","176.69","NaN","NaN","NaN","176.485","0"
"1987/04/01","00:00","176.897","NaN","NaN","176.652","NaN","NaN","NaN","176.479","0"
"1987/05/01","00:00","176.769","NaN","NaN","176.612","NaN","NaN","NaN","176.501","0"
"1987/06/01","00:00","176.815","NaN","NaN","176.633","NaN","NaN","NaN","176.376","0"
"1987/07/01","00:00","176.845","NaN","NaN","176.626","NaN","NaN","NaN","176.455","0"
"1987/08/01","00:00","176.757","NaN","NaN","176.569","NaN","NaN","NaN","176.44","0"
"1987/09/01","00:00","176.635","NaN","NaN","176.478","NaN","NaN","NaN","176.339","0"
"1987/10/01","00:00","176.665","NaN","NaN","176.365","NaN","NaN","NaN","176.162","0"
"1987/11/01","00:00","176.583","NaN","NaN","176.274","NaN","NaN","NaN","176.089","0"
"1987/12/01","00:00","176.427","NaN","NaN","176.265","NaN","NaN","NaN","176.04","0"
"1988/01/01","00:00","176.622","NaN","NaN","176.237","NaN","NaN","NaN","175.97","0"
"1988/02/01","00:00","176.537","NaN","NaN","176.272","NaN","NaN","NaN","175.857","0"
"1988/03/01","00:00","176.327","NaN","NaN","176.159","NaN","NaN","NaN","175.94","0"
"1988/04/01","00:00","176.449","NaN","NaN","176.268","NaN","NaN","NaN","176.104","0"
"1988/05/01","00:00","176.467","NaN","NaN","176.275","NaN","NaN","NaN","176.077","0"
"1988/06/01","00:00","176.394","NaN","NaN","176.252","NaN","NaN","NaN","176.074","0"
"1988/07/01","00:00","176.318","NaN","NaN","176.208","NaN","NaN","NaN","175.995","0"
"1988/08/01","00:00","176.363","NaN","NaN","176.17","NaN","NaN","NaN","175.976","0"
"1988/09/01","00:00","176.385","NaN","NaN","176.074","NaN","NaN","NaN","175.894","0"
"1988/10/01","00:00","176.272","NaN","NaN","176.015","NaN","NaN","NaN","175.726","0"
"1988/11/01","00:00","176.159","NaN","NaN","175.978","NaN","NaN","NaN","175.714","0"
"1988/12/01","00:00","176.351","NaN","NaN","176","NaN","NaN","NaN","175.635","0"
"1989/01/01","00:00","176.302","NaN","NaN","175.964","NaN","NaN","NaN","175.711","0"
"1989/02/01","00:00","176.211","NaN","NaN","175.997","NaN","NaN","NaN","175.8","0"
"1989/03/01","00:00","176.11","NaN","NaN","175.907","NaN","NaN","NaN","175.732","0"
"1989/04/01","00:00","176.138","NaN","NaN","176.009","NaN","NaN","NaN","175.87","0"
"1989/05/01","00:00","176.214","NaN","NaN","176.045","NaN","NaN","NaN","175.79","0"
"1989/06/01","00:00","176.348","NaN","NaN","176.174","NaN","NaN","NaN","176.034","0"
"1989/07/01","00:00","176.336","NaN","NaN","176.207","NaN","NaN","NaN","176.117","0"
"1989/08/01","00:00","176.33","NaN","NaN","176.162","NaN","NaN","NaN","176.001","0"
"1989/09/01","00:00","176.568","NaN","NaN","176.108","NaN","NaN","NaN","175.979","0"
"1989/10/01","00:00","176.177","NaN","NaN","175.962","NaN","NaN","NaN","175.754","0"
"1989/11/01","00:00","176.409","NaN","NaN","175.91","NaN","NaN","NaN","175.678","0"
"1989/12/01","00:00","176.235","NaN","NaN","175.889","NaN","NaN","NaN","175.598","0"
"1990/01/01","00:00","176.101","NaN","NaN","175.803","NaN","NaN","NaN","175.44","0"
"1990/02/01","00:00","176.321","NaN","NaN","175.836","NaN","NaN","NaN","175.556","0"
"1990/03/01","00:00","176.254","NaN","NaN","175.855","NaN","NaN","NaN","175.717","0"
"1990/04/01","00:00","176.165","NaN","NaN","175.919","NaN","NaN","NaN","175.778","0"
"1990/05/01","00:00","176.165","NaN","NaN","175.982","NaN","NaN","NaN","175.72","0"
"1990/06/01","00:00","176.248","NaN","NaN","176.058","NaN","NaN","NaN","175.918","0"
"1990/07/01","00:00","176.263","NaN","NaN","176.128","NaN","NaN","NaN","175.934","0"
"1990/08/01","00:00","176.534","NaN","NaN","176.113","NaN","NaN","NaN","175.845","0"
"1990/09/01","00:00","176.278","NaN","NaN","176.095","NaN","NaN","NaN","175.891","0"
"1990/10/01","00:00","176.449","NaN","NaN","176.036","NaN","NaN","NaN","175.668","0"
"1990/11/01","00:00","176.504","NaN","NaN","176.002","NaN","NaN","NaN","175.772","0"
"1990/12/01","00:00","176.223","NaN","NaN","175.996","NaN","NaN","NaN","175.769","0"
"1991/01/01","00:00","176.238","NaN","NaN","176.065","NaN","NaN","NaN","175.757","0"
"1991/02/01","00:00","176.229","NaN","NaN","175.997","NaN","NaN","NaN","175.86","0"
"1991/03/01","00:00","176.229","NaN","NaN","175.987","NaN","NaN","NaN","175.796","0"
"1991/04/01","00:00","176.363","NaN","NaN","176.107","NaN","NaN","NaN","175.918","0"
"1991/05/01","00:00","176.391","NaN","NaN","176.198","NaN","NaN","NaN","175.958","0"
"1991/06/01","00:00","176.382","NaN","NaN","176.266","NaN","NaN","NaN","176.153","0"
"1991/07/01","00:00","176.397","NaN","NaN","176.256","NaN","NaN","NaN","176.135","0"
"1991/08/01","00:00","176.351","NaN","NaN","176.218","NaN","NaN","NaN","176.104","0"
"1991/09/01","00:00","176.281","NaN","NaN","176.11","NaN","NaN","NaN","175.781","0"
"1991/10/01","00:00","176.138","NaN","NaN","175.979","NaN","NaN","NaN","175.751","0"
"1991/11/01","00:00","176.177","NaN","NaN","175.948","NaN","NaN","NaN","175.693","0"
"1991/12/01","00:00","176.15","NaN","NaN","175.994","NaN","NaN","NaN","175.69","0"
"1992/01/01","00:00","176.449","NaN","NaN","176.051","NaN","NaN","NaN","175.845","0"
"1992/02/01","00:00","176.366","NaN","NaN","176.035","NaN","NaN","NaN","175.803","0"
