# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1900,1,57
1900,2,82
1900,3,76
1900,4,93
1900,5,108
1900,6,108
1900,7,113
1900,8,119
1900,9,82
1900,10,113
1900,11,125
1900,12,139
1901,1,156
1901,2,161
1901,3,167
1901,4,142
1901,5,105
1901,6,99
1901,7,105
1901,8,127
1901,9,127
1901,10,125
1901,11,127
1901,12,133
1902,1,136
1902,2,136
1902,3,136
1902,4,136
1902,5,136
1902,6,133
1902,7,139
1902,8,136
1902,9,139
1902,10,136
1902,11,136
1902,12,170
1903,1,190
1903,2,178
1903,3,167
1903,4,147
1903,5,147
1903,6,153
1903,7,156
1903,8,144
1903,9,139
1903,10,144
1903,11,150
1903,12,173
1904,1,176
1904,2,167
1904,3,176
1904,4,170
1904,5,164
1904,6,136
1904,7,150
1904,8,150
1904,9,139
1904,10,133
1904,11,147
1904,12,164
1905,1,167
1905,2,176
1905,3,176
1905,4,153
1905,5,136
1905,6,139
1905,7,136
1905,8,142
1905,9,142
1905,10,147
1905,11,116
1905,12,130
1906,1,147
1906,2,150
1906,3,144
1906,4,150
1906,5,153
1906,6,144
1906,7,133
1906,8,116
1906,9,125
1906,10,167
1906,11,167
1906,12,159
1907,1,170
1907,2,176
1907,3,161
1907,4,161
1907,5,161
1907,6,176
1907,7,178
1907,8,195
1907,9,153
1907,10,139
1907,11,144
1907,12,161
1908,1,136
1908,2,147
1908,3,212
1908,4,238
1908,5,232
1908,6,232
1908,7,215
1908,8,210
1908,9,204
1908,10,204
1908,11,201
1908,12,201
1909,1,195
1909,2,193
1909,3,193
1909,4,210
1909,5,212
1909,6,215
1909,7,221
1909,8,218
1909,9,207
1909,10,195
1909,11,193
1909,12,195
1910,1,212
1910,2,204
1910,3,221
1910,4,218
1910,5,218
1910,6,224
1910,7,215
1910,8,210
1910,9,207
1910,10,221
1910,11,212
1910,12,204
1911,1,174
1911,2,173
1911,3,168
1911,4,172
1911,5,177
1911,6,203
1911,7,217
1911,8,208
1911,9,215
1911,10,224
1911,11,216
1911,12,198
1912,1,177
1912,2,169
1912,3,174
1912,4,193
1912,5,180
1912,6,195
1912,7,212
1912,8,220
1912,9,220
1912,10,216
1912,11,210
1912,12,193
1913,1,193
1913,2,188
1913,3,184
1913,4,192
1913,5,223
1913,6,237
1913,7,243
1913,8,259
1913,9,259
1913,10,245
1913,11,225
1913,12,216
1914,1,207
1914,2,207
1914,3,194
1914,4,204
1914,5,227
1914,6,231
1914,7,223
1914,8,234
1914,9,257
1914,10,238
1914,11,216
1914,12,218
1915,1,211
1915,2,217
1915,3,208
1915,4,193
1915,5,215
1915,6,223
1915,7,220
1915,8,240
1915,9,229
1915,10,219
1915,11,226
1915,12,228
1916,1,224
1916,2,215
1916,3,214
1916,4,212
1916,5,220
1916,6,241
1916,7,271
1916,8,257
1916,9,231
1916,10,226
1916,11,239
1916,12,236
1917,1,231
1917,2,222
1917,3,219
1917,4,223
1917,5,230
1917,6,260
1917,7,282
1917,8,280
1917,9,275
1917,10,258
1917,11,248
1917,12,237
1918,1,219
1918,2,240
1918,3,237
1918,4,244
1918,5,254
1918,6,269
1918,7,281
1918,8,265
1918,9,245
1918,10,247
1918,11,247
1918,12,252
1919,1,242
1919,2,227
1919,3,242
1919,4,249
1919,5,276
1919,6,255
1919,7,243
1919,8,240
1919,9,233
1919,10,244
1919,11,246
1919,12,223
1920,1,232
1920,2,230
1920,3,241
1920,4,234
1920,5,220
1920,6,228
1920,7,233
1920,8,241
1920,9,257
1920,10,248
1920,11,240
1920,12,234
1921,1,221
1921,2,221
1921,3,221
1921,4,228
1921,5,220
1921,6,230
1921,7,253
1921,8,243
1921,9,243
1921,10,251
1921,11,258
1921,12,248
1922,1,230
1922,2,226
1922,3,243
1922,4,228
1922,5,246
1922,6,253
1922,7,246
1922,8,242
1922,9,250
1922,10,243
1922,11,241
1922,12,225
1923,1,222
1923,2,212
1923,3,219
1923,4,217
1923,5,227
1923,6,231
1923,7,229
1923,8,237
1923,9,239
1923,10,236
1923,11,233
1923,12,229
1924,1,210
1924,2,229
1924,3,265
1924,4,275
1924,5,270
1924,6,293
1924,7,275
1924,8,282
1924,9,267
1924,10,259
1924,11,238
1924,12,224
1925,1,211
1925,2,218
1925,3,228
1925,4,236
1925,5,235
1925,6,239
1925,7,240
1925,8,232
1925,9,235
1925,10,226
1925,11,205
1925,12,206
1926,1,204
1926,2,219
1926,3,225
1926,4,250
1926,5,244
1926,6,259
1926,7,251
1926,8,254
1926,9,222
1926,10,191
1926,11,250
1926,12,246
1927,1,241
1927,2,223
1927,3,258
1927,4,222
1927,5,192
1927,6,186
1927,7,222
1927,8,258
1927,9,284
1927,10,277
1927,11,290
1927,12,217
1928,1,239
1928,2,277
1928,3,283
1928,4,288
1928,5,285
1928,6,291
1928,7,290
1928,8,292
1928,9,285
1928,10,284
1928,11,294
1928,12,293
1929,1,286
1929,2,288
1929,3,234
1929,4,193
1929,5,164
1929,6,284
1929,7,257
1929,8,268
1929,9,312
1929,10,324
1929,11,313
1929,12,287
1930,1,219
1930,2,224
1930,3,252
1930,4,276
1930,5,232
1930,6,241
1930,7,232
1930,8,294
1930,9,252
1930,10,210
1930,11,203
1930,12,205
1931,1,230
1931,2,217
1931,3,215
1931,4,214
1931,5,226
1931,6,237
1931,7,225
1931,8,255
1931,9,250
1931,10,248
1931,11,239
