# Great Lakes Diversion Flows
# Units: cms
# Diversion flows copied from H&H/GL_H&HData & Reports/Flows/GLDiversions,1900-present.xls on 8/3/2015
# Coordinated through 2008
#missing data filled in
#
"Year","Month","Monthly Mean"
1931,12,224
1932,1,227
1932,2,210
1932,3,203
1932,4,221
1932,5,232
1932,6,231
1932,7,219
1932,8,245
1932,9,251
1932,10,250
1932,11,235
1932,12,230
1933,1,202
1933,2,193
1933,3,217
1933,4,232
1933,5,219
1933,6,242
1933,7,253
1933,8,248
1933,9,241
1933,10,218
1933,11,229
1933,12,226
1934,1,206
1934,2,202
1934,3,198
1934,4,225
1934,5,238
1934,6,248
1934,7,247
1934,8,246
1934,9,245
1934,10,233
1934,11,234
1934,12,237
1935,1,235
1935,2,236
1935,3,233
1935,4,237
1935,5,235
1935,6,233
1935,7,227
1935,8,219
1935,9,204
1935,10,222
1935,11,248
1935,12,219
1936,1,177
1936,2,187
1936,3,188
1936,4,193
1936,5,215
1936,6,182
1936,7,198
1936,8,201
1936,9,204
1936,10,167
1936,11,184
1936,12,139
1937,1,177
1937,2,159
1937,3,154
1937,4,179
1937,5,165
1937,6,190
1937,7,207
1937,8,217
1937,9,196
1937,10,203
1937,11,209
1937,12,205
1938,1,181
1938,2,208
1938,3,215
1938,4,217
1938,5,178
1938,6,189
1938,7,184
1938,8,191
1938,9,205
1938,10,156
1938,11,166
1938,12,155
1939,1,82
1939,2,112
1939,3,90
1939,4,76
1939,5,74
1939,6,119
1939,7,81
1939,8,82
1939,9,80
1939,10,85
1939,11,80
1939,12,98
1940,1,83
1940,2,78
1940,3,88
1940,4,84
1940,5,91
1940,6,80
1940,7,101
1940,8,110
1940,9,88
1940,10,89
1940,11,79
1940,12,140
1941,1,73
1941,2,72
1941,3,80
1941,4,77
1941,5,102
1941,6,112
1941,7,105
1941,8,102
1941,9,96
1941,10,79
1941,11,64
1941,12,93
1942,1,77
1942,2,98
1942,3,83
1942,4,81
1942,5,87
1942,6,88
1942,7,93
1942,8,100
1942,9,106
1942,10,80
1942,11,78
1942,12,83
1943,1,70
1943,2,74
1943,3,78
1943,4,76
1943,5,127
1943,6,105
1943,7,116
1943,8,101
1943,9,93
1943,10,84
1943,11,65
1943,12,66
1944,1,91
1944,2,75
1944,3,90
1944,4,89
1944,5,86
1944,6,94
1944,7,93
1944,8,94
1944,9,87
1944,10,89
1944,11,95
1944,12,85
1945,1,83
1945,2,81
1945,3,78
1945,4,98
1945,5,111
1945,6,104
1945,7,92
1945,8,94
1945,9,91
1945,10,81
1945,11,71
1945,12,66
1946,1,81
1946,2,82
1946,3,85
1946,4,74
1946,5,116
1946,6,101
1946,7,107
1946,8,100
1946,9,91
1946,10,75
1946,11,77
1946,12,64
1947,1,82
1947,2,79
1947,3,81
1947,4,114
1947,5,87
1947,6,98
1947,7,83
1947,8,113
1947,9,84
1947,10,74
1947,11,67
1947,12,96
1948,1,73
1948,2,71
1948,3,88
1948,4,67
1948,5,82
1948,6,98
1948,7,111
1948,8,126
1948,9,113
1948,10,89
1948,11,70
1948,12,80
1949,1,70
1949,2,67
1949,3,69
1949,4,70
1949,5,97
1949,6,117
1949,7,120
1949,8,116
1949,9,105
1949,10,85
1949,11,68
1949,12,80
1950,1,71
1950,2,72
1950,3,74
1950,4,84
1950,5,74
1950,6,111
1950,7,115
1950,8,113
1950,9,106
1950,10,84
1950,11,68
1950,12,87
1951,1,75
1951,2,77
1951,3,76
1951,4,84
1951,5,90
1951,6,107
1951,7,107
1951,8,109
1951,9,111
1951,10,90
1951,11,69
1951,12,59
1952,1,67
1952,2,62
1952,3,76
1952,4,77
1952,5,89
1952,6,111
1952,7,115
1952,8,114
1952,9,96
1952,10,78
1952,11,81
1952,12,96
1953,1,70
1953,2,68
1953,3,79
1953,4,78
1953,5,89
1953,6,100
1953,7,101
1953,8,119
1953,9,126
1953,10,78
1953,11,86
1953,12,90
1954,1,81
1954,2,74
1954,3,82
1954,4,94
1954,5,89
1954,6,94
1954,7,112
1954,8,113
1954,9,90
1954,10,120
1954,11,60
1954,12,78
1955,1,77
1955,2,80
1955,3,74
1955,4,100
1955,5,105
1955,6,105
1955,7,104
1955,8,108
1955,9,91
1955,10,80
1955,11,80
1955,12,98
1956,1,80
1956,2,79
1956,3,77
1956,4,102
1956,5,97
1956,6,102
1956,7,109
1956,8,115
1956,9,92
1956,10,92
1956,11,82
1956,12,165
1957,1,258
1957,2,227
1957,3,81
1957,4,95
1957,5,95
1957,6,95
1957,7,114
1957,8,97
1957,9,85
1957,10,89
1957,11,86
1957,12,96
1958,1,81
1958,2,95
1958,3,79
1958,4,92
1958,5,97
1958,6,99
1958,7,103
1958,8,98
1958,9,88
1958,10,84
1958,11,95
1958,12,97
1959,1,131
1959,2,73
1959,3,80
1959,4,80
1959,5,76
1959,6,95
1959,7,105
1959,8,118
1959,9,92
1959,10,87
1959,11,83
1959,12,98
1960,1,101
1960,2,82
1960,3,87
1960,4,104
1960,5,98
1960,6,92
1960,7,91
1960,8,90
1960,9,96
1960,10,83
1960,11,86
1960,12,101
1961,1,83
1961,2,82
1961,3,85
1961,4,100
1961,5,100
1961,6,105
1961,7,104
1961,8,106
1961,9,129
1961,10,65
1961,11,58
1961,12,84
1962,1,83
1962,2,69
1962,3,72
1962,4,83
1962,5,100
1962,6,104
1962,7,109
1962,8,116
1962,9,105
1962,10,89
1962,11,89
1962,12,100
1963,1,68
1963,2,75
1963,3,78
1963,4,110
1963,5,111
1963,6,106
1963,7,109
1963,8,101
1963,9,91
1963,10,77
1963,11,88
1963,12,96
1964,1,70
1964,2,70
1964,3,76
1964,4,91
1964,5,99
1964,6,112
1964,7,116
1964,8,103
1964,9,105
1964,10,78
1964,11,99
1964,12,89
1965,1,80
1965,2,79
1965,3,85
1965,4,95
1965,5,84
1965,6,90
1965,7,97
1965,8,120
1965,9,103
1965,10,79
1965,11,79
1965,12,96
1966,1,64
1966,2,75
1966,3,82
1966,4,97
1966,5,115
1966,6,74
1966,7,95
1966,8,113
1966,9,99
1966,10,78
1966,11,94
1966,12,103
1967,1,65
1967,2,69
1967,3,80
1967,4,101
1967,5,73
1967,6,112
1967,7,92
1967,8,105
1967,9,111
1967,10,113
1967,11,86
1967,12,96
1968,1,63
1968,2,70
1968,3,51
1968,4,78
1968,5,94
1968,6,106
1968,7,104
1968,8,123
1968,9,97
1968,10,93
1968,11,110
1968,12,127
1969,1,82
1969,2,57
1969,3,62
1969,4,101
1969,5,103
1969,6,126
1969,7,138
1969,8,121
1969,9,115
1969,10,88
1969,11,55
1969,12,93
1970,1,81
1970,2,92
1970,3,59
1970,4,119
1970,5,125
1970,6,117
1970,7,99
1970,8,88
1970,9,98
1970,10,84
1970,11,73
1970,12,59
1971,1,57
1971,2,73
1971,3,68
1971,4,56
1971,5,78
1971,6,90
1971,7,132
1971,8,168
1971,9,111
1971,10,98
1971,11,81
1971,12,83
1972,1,54
1972,2,53
1972,3,83
1972,4,96
1972,5,86
1972,6,99
1972,7,123
1972,8,155
1972,9,156
1972,10,78
1972,11,91
1972,12,81
1973,1,75
1973,2,56
1973,3,130
1973,4,128
1973,5,112
1973,6,102
1973,7,90
1973,8,69
1973,9,69
1973,10,67
1973,11,53
1973,12,76
1974,1,82
1974,2,79
1974,3,76
1974,4,95
1974,5,154
1974,6,117
1974,7,79
1974,8,64
1974,9,57
1974,10,50
1974,11,61
1974,12,87
1975,1,102
1975,2,117
1975,3,71
1975,4,158
1975,5,94
1975,6,100
1975,7,71
1975,8,115
1975,9,56
1975,10,58
1975,11,57
1975,12,68
1976,1,78
1976,2,135
1976,3,122
1976,4,102
1976,5,99
1976,6,96
1976,7,76
1976,8,63
1976,9,59
1976,10,56
1976,11,60
1976,12,85
1977,1,117
1977,2,129
1977,3,72
1977,4,64
1977,5,62
1977,6,89
1977,7,80
1977,8,82
1977,9,115
1977,10,61
1977,11,54
1977,12,66
1978,1,54
1978,2,64
1978,3,90
1978,4,114
1978,5,96
1978,6,103
1978,7,137
1978,8,96
1978,9,108
1978,10,69
1978,11,50
1978,12,58
1979,1,54
1979,2,60
1979,3,224
1979,4,114
1979,5,77
1979,6,96
1979,7,105
1979,8,136
1979,9,98
1979,10,78
1979,11,63
1979,12,69
1980,1,53
1980,2,58
1980,3,76
1980,4,84
1980,5,75
1980,6,101
1980,7,118
1980,8,122
1980,9,136
1980,10,78
1980,11,50
1980,12,65
1981,1,54
1981,2,69
1981,3,54
1981,4,96
1981,5,92
1981,6,143
1981,7,120
1981,8,119
1981,9,120
1981,10,61
1981,11,57
1981,12,54
1982,1,67
1982,2,71
1982,3,136
1982,4,89
1982,5,82
1982,6,88
1982,7,119
1982,8,131
1982,9,99
1982,10,69
1982,11,81
1982,12,170
1983,1,56
1983,2,72
1983,3,79
1983,4,143
1983,5,109
1983,6,98
1983,7,147
1983,8,109
1983,9,110
1983,10,92
1983,11,86
1983,12,93
1984,1,66
1984,2,89
1984,3,105
1984,4,97
1984,5,108
1984,6,115
1984,7,118
1984,8,115
1984,9,115
1984,10,100
1984,11,75
1984,12,76
1985,1,82
1985,2,104
1985,3,117
1985,4,95
1985,5,86
1985,6,102
1985,7,123
1985,8,125
1985,9,123
1985,10,114
1985,11,131
1985,12,87
1986,1,69
1986,2,93
1986,3,90
1986,4,83
1986,5,101
1986,6,123
1986,7,146
1986,8,128
1986,9,138
1986,10,141
1986,11,89
1986,12,79
1987,1,70
1987,2,75
1987,3,85
1987,4,97
1987,5,114
1987,6,116
1987,7,124
1987,8,180
1987,9,136
1987,10,88
1987,11,77
1987,12,103
1988,1,90
1988,2,83
1988,3,83
1988,4,96
1988,5,79
1988,6,97
1988,7,114
1988,8,129
1988,9,129
1988,10,90
1988,11,104
1988,12,75
1989,1,74
1989,2,64
1989,3,82
1989,4,72
1989,5,79
1989,6,124
1989,7,121
1989,8,132
1989,9,138
1989,10,79
1989,11,73
1989,12,63
1990,1,76
1990,2,83
1990,3,103
1990,4,79
1990,5,145
1990,6,105
1990,7,124
1990,8,142
1990,9,133
1990,10,99
1990,11,115
1990,12,89
1991,1,71
1991,2,73
1991,3,103
1991,4,119
1991,5,112
1991,6,107
1991,7,115
1991,8,119
1991,9,97
1991,10,105
1991,11,89
1991,12,83
1992,1,67
1992,2,76
1992,3,84
1992,4,145
1992,5,148
1992,6,108
1992,7,124
1992,8,115
1992,9,138
1992,10,88
1992,11,95
1992,12,79
1993,1,113
1993,2,67
1993,3,101
1993,4,130
1993,5,82
1993,6,165
1993,7,128
1993,8,133
1993,9,133
1993,10,78
1993,11,71
1993,12,64
1994,1,73
1994,2,89
1994,3,85
1994,4,78
1994,5,72
1994,6,113
1994,7,116
1994,8,117
1994,9,101
1994,10,79
1994,11,89
1994,12,78
1995,1,95
1995,2,65
1995,3,73
1995,4,105
1995,5,95
1995,6,96
1995,7,111
1995,8,116
1995,9,94
1995,10,76
1995,11,83
1995,12,58
1996,1,62
1996,2,64
1996,3,63
1996,4,74
1996,5,127
1996,6,124
1996,7,129
1996,8,102
1996,9,104
1996,10,79
1996,11,66
1996,12,71
1997,1,73
1997,2,125
1997,3,83
1997,4,72
1997,5,82
1997,6,106
1997,7,110
1997,8,119
1997,9,99
1997,10,78
1997,11,60
1997,12,61
1998,1,85
1998,2,82
1998,3,100
1998,4,94
1998,5,101
1998,6,95
1998,7,105
1998,8,114
1998,9,86
1998,10,76
1998,11,59
1998,12,56
1999,1,89
1999,2,68
1999,3,66
1999,4,122
1999,5,78
1999,6,110
1999,7,96
1999,8,96
1999,9,80
1999,10,61
1999,11,47
1999,12,56
2000,1,50
2000,2,59
2000,3,52
2000,4,89
2000,5,78
2000,6,105
2000,7,95
2000,8,86
2000,9,104
2000,10,65
2000,11,64
2000,12,54
2001,1,57
2001,2,101
2001,3,66
2001,4,71
2001,5,71
2001,6,82
2001,7,86
2001,8,109
2001,9,101
2001,10,122
2001,11,60
2001,12,61
2002,1,51
2002,2,72
2002,3,83
2002,4,89
2002,5,105
2002,6,88
2002,7,84
2002,8,109
2002,9,72
2002,10,57
2002,11,44
2002,12,48
2003,1,40
2003,2,42
2003,3,52
2003,4,64
2003,5,106
2003,6,74
2003,7,113
2003,8,99
2003,9,78
2003,10,58
2003,11,89
2003,12,58
2004,1,48
2004,2,54
2004,3,81
2004,4,60
2004,5,98
2004,6,112
2004,7,106
2004,8,104
2004,9,73
2004,10,58
2004,11,71
2004,12,75
2005,1,100
2005,2,88
2005,3,64
2005,4,66
2005,5,66
2005,6,78
2005,7,82
2005,8,91
2005,9,108
2005,10,60
2005,11,50
2005,12,45
2006,1,61
2006,2,51
2006,3,66
2006,4,77
2006,5,77
2006,6,87
2006,7,96
2006,8,111
2006,9,116
2006,10,91
2006,11,63
2006,12,91
2007,1,75
2007,2,58
2007,3,96
2007,4,94
2007,5,71
2007,6,87
2007,7,94
2007,8,148
2007,9,87
2007,10,62
2007,11,49
2007,12,56
2008,1,80
2008,2,82
2008,3,79
2008,4,81
2008,5,79
2008,6,87
2008,7,95
2008,8,105
2008,9,171
2008,10,76
2008,11,44
2008,12,92
2009,1,64
2009,2,91
2009,3,117
2009,4,109
2009,5,99
2009,6,117
2009,7,86
2009,8,98
2009,9,78
2009,10,93
2009,11,60
2009,12,72
2010,1,57
2010,2,46
2010,3,73
2010,4,73
2010,5,93
2010,6,122
2010,7,103
2010,8,104
2010,9,77
2010,10,56
2010,11,50
2010,12,48
2011,1,52
2011,2,75
2011,3,76
2011,4,97
2011,5,99
2011,6,111
2011,7,104
2011,8,102
2011,9,79
2011,10,64
2011,11,64
2011,12,63
2012,1,59
2012,2,54
2012,3,61
2012,4,51
2012,5,69
2012,6,66
2012,7,79
2012,8,77
2012,9,67
2012,10,53
2012,11,42
2012,12,48
2013,1,54
2013,2,59
2013,3,74
2013,4,117
2013,5,81
2013,6,95
2013,7,70
2013,8,68
2013,9,67
2013,10,60
2013,11,59
2013,12,48
2014,1,62
2014,2,64
2014,3,90
2014,4,74
2014,5,98
2014,6,98
2014,7,117
2014,8,98
2014,9,79
2014,10,67
2014,11,47
2014,12,44
2015,1,50
2015,2,42
2015,3,64
2015,4,65
2015,5,76
2015,6,112
2015,7,76
2015,8,78
2015,9,93
2015,10,NA
2015,11,NA
2015,12,NA
2016,1,NA
2016,2,NA
2016,3,NA
2016,4,NA
2016,5,NA
2016,6,NA
2016,7,NA
2016,8,NA
2016,9,NA
2016,10,NA
2016,11,NA
2016,12,NA
2017,1,NA
2017,2,NA
2017,3,NA
2017,4,NA
2017,5,NA
2017,6,NA
2017,7,NA
2017,8,NA
2017,9,NA
2017,10,NA
2017,11,NA
2017,12,NA
2018,1,NA
2018,2,NA
2018,3,NA
2018,4,NA
2018,5,NA
2018,6,NA
2018,7,NA
2018,8,NA
2018,9,NA
2018,10,NA
2018,11,NA
2018,12,NA
2019,1,NA
2019,2,NA
2019,3,NA
2019,4,NA
2019,5,NA
2019,6,NA
2019,7,NA
2019,8,NA
2019,9,NA
2019,10,NA
2019,11,NA
2019,12,NA
2020,1,NA
2020,2,NA
2020,3,NA
2020,4,NA
2020,5,NA
2020,6,NA
2020,7,NA
2020,8,NA
2020,9,NA
2020,10,NA
2020,11,NA
2020,12,NA
