# St.Marys River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:33 by JKP
#
"Year","Month","St.Marys (IGS)","St. Marys (Flow Accounting)","St. Marys (Coordinated)"
1914,7,NA,2120,2120
1914,8,NA,2150,2150
1914,9,NA,2270,2270
1914,10,NA,2460,2460
1914,11,NA,2410,2410
1914,12,NA,1950,1950
1915,1,NA,1900,1900
1915,2,NA,1900,1900
1915,3,NA,1870,1870
1915,4,NA,1810,1810
1915,5,NA,1980,1980
1915,6,NA,2010,2010
1915,7,NA,2120,2120
1915,8,NA,2150,2150
1915,9,NA,2150,2150
1915,10,NA,2120,2120
1915,11,NA,2150,2150
1915,12,NA,2070,2070
1916,1,NA,2010,2010
1916,2,NA,1980,1980
1916,3,NA,1950,1950
1916,4,NA,2100,2100
1916,5,NA,2350,2350
1916,6,NA,2780,2780
1916,7,NA,2780,2780
1916,8,NA,2940,2940
1916,9,NA,3260,3260
1916,10,NA,3340,3340
1916,11,NA,3230,3230
1916,12,NA,3060,3060
1917,1,NA,2520,2520
1917,2,NA,2440,2440
1917,3,NA,2380,2380
1917,4,NA,2490,2490
1917,5,NA,2550,2550
1917,6,NA,2580,2580
1917,7,NA,2550,2550
1917,8,NA,2270,2270
1917,9,NA,2320,2320
1917,10,NA,2410,2410
1917,11,NA,2320,2320
1917,12,NA,1840,1840
1918,1,NA,1870,1870
1918,2,NA,1810,1810
1918,3,NA,1840,1840
1918,4,NA,1810,1810
1918,5,NA,1870,1870
1918,6,NA,2040,2040
1918,7,NA,1760,1760
1918,8,NA,1870,1870
1918,9,NA,2100,2100
1918,10,NA,2150,2150
1918,11,NA,1980,1980
1918,12,NA,1640,1640
1919,1,NA,1640,1640
1919,2,NA,1590,1590
1919,3,NA,1590,1590
1919,4,NA,1590,1590
1919,5,NA,1640,1640
1919,6,NA,1590,1590
1919,7,NA,1610,1610
1919,8,NA,1560,1560
1919,9,NA,1670,1670
1919,10,NA,1640,1640
1919,11,NA,1670,1670
1919,12,NA,1670,1670
1920,1,NA,1700,1700
1920,2,NA,1670,1670
1920,3,NA,1640,1640
1920,4,NA,1640,1640
1920,5,NA,2320,2320
1920,6,NA,2410,2410
1920,7,NA,2520,2520
1920,8,NA,2800,2800
1920,9,NA,2440,2440
1920,10,NA,1930,1930
1920,11,NA,1730,1730
1920,12,NA,1640,1640
1921,1,NA,1590,1590
1921,2,NA,1610,1610
1921,3,NA,1530,1530
1921,4,NA,1590,1590
1921,5,NA,1420,1420
1921,6,NA,1390,1390
1921,7,NA,1640,1640
1921,8,NA,1730,1730
1921,9,NA,1730,1730
1921,10,NA,1590,1590
1921,11,NA,1440,1440
1921,12,NA,1360,1360
1922,1,NA,1250,1250
1922,2,NA,1270,1270
1922,3,NA,1300,1300
1922,4,NA,1300,1300
1922,5,NA,1330,1330
1922,6,NA,1220,1220
1922,7,NA,1270,1270
1922,8,NA,1330,1330
1922,9,NA,1300,1300
1922,10,NA,1390,1390
1922,11,NA,1420,1420
1922,12,NA,1440,1440
1923,1,NA,1420,1420
1923,2,NA,1440,1440
1923,3,NA,1530,1530
1923,4,NA,1500,1500
1923,5,NA,1700,1700
1923,6,NA,1590,1590
1923,7,NA,1560,1560
1923,8,NA,1560,1560
1923,9,NA,1530,1530
1923,10,NA,1500,1500
1923,11,NA,1470,1470
1923,12,NA,1500,1500
1924,1,NA,1530,1530
1924,2,NA,1500,1500
1924,3,NA,1530,1530
1924,4,NA,1590,1590
1924,5,NA,1590,1590
1924,6,NA,1500,1500
1924,7,NA,1420,1420
1924,8,NA,1500,1500
1924,9,NA,1470,1470
1924,10,NA,1470,1470
1924,11,NA,1530,1530
1924,12,NA,1500,1500
1925,1,NA,1560,1560
1925,2,NA,1530,1530
1925,3,NA,1560,1560
1925,4,NA,1670,1670
1925,5,NA,1700,1700
1925,6,NA,1560,1560
1925,7,NA,1500,1500
1925,8,NA,1670,1670
1925,9,NA,2100,2100
1925,10,NA,2180,2180
1925,11,NA,2100,2100
1925,12,NA,1930,1930
1926,1,NA,1670,1670
1926,2,NA,1610,1610
1926,3,NA,1590,1590
1926,4,NA,1640,1640
1926,5,NA,1700,1700
1926,6,NA,1610,1610
1926,7,NA,1590,1590
1926,8,NA,1270,1270
1926,9,NA,1190,1190
1926,10,NA,1250,1250
1926,11,NA,1390,1390
1926,12,NA,1670,1670
1927,1,NA,2040,2040
1927,2,NA,2040,2040
1927,3,NA,2010,2010
1927,4,NA,2100,2100
1927,5,NA,2150,2150
1927,6,NA,2210,2210
1927,7,NA,2150,2150
1927,8,NA,2290,2290
1927,9,NA,2240,2240
1927,10,NA,2180,2180
1927,11,NA,2320,2320
1927,12,NA,2100,2100
1928,1,NA,2120,2120
1928,2,NA,2120,2120
1928,3,NA,2070,2070
1928,4,NA,2180,2180
1928,5,NA,2270,2270
1928,6,NA,2100,2100
1928,7,NA,1950,1950
1928,8,NA,2350,2350
1928,9,NA,2860,2860
1928,10,NA,3140,3140
1928,11,NA,3310,3310
1928,12,NA,2920,2920
1929,1,NA,1950,1950
1929,2,NA,1560,1560
1929,3,NA,1700,1700
1929,4,NA,2860,2860
1929,5,NA,2780,2780
1929,6,NA,2150,2150
1929,7,NA,2580,2580
1929,8,NA,2150,2150
1929,9,NA,2100,2100
1929,10,NA,1700,1700
1929,11,NA,1640,1640
1929,12,NA,1590,1590
1930,1,NA,1560,1560
1930,2,NA,1560,1560
1930,3,NA,1640,1640
1930,4,NA,1610,1610
1930,5,NA,1640,1640
1930,6,NA,1730,1730
1930,7,NA,2180,2180
1930,8,NA,2610,2610
1930,9,NA,2320,2320
1930,10,NA,1670,1670
1930,11,NA,1590,1590
1930,12,NA,1470,1470
1931,1,NA,1390,1390
1931,2,NA,1440,1440
1931,3,NA,1390,1390
1931,4,NA,1440,1440
1931,5,NA,1250,1250
1931,6,NA,1300,1300
1931,7,NA,1390,1390
1931,8,NA,1360,1360
1931,9,NA,1560,1560
1931,10,NA,1590,1590
1931,11,NA,1610,1610
1931,12,NA,1500,1500
1932,1,NA,1500,1500
1932,2,NA,1640,1640
1932,3,NA,1640,1640
1932,4,NA,1610,1610
1932,5,NA,1610,1610
1932,6,NA,1560,1560
1932,7,NA,1700,1700
1932,8,NA,1700,1700
1932,9,NA,2240,2240
1932,10,NA,2040,2040
1932,11,NA,1950,1950
1932,12,NA,1560,1560
1933,1,NA,1390,1390
1933,2,NA,1330,1330
1933,3,NA,1420,1420
1933,4,NA,1360,1360
1933,5,NA,1500,1500
1933,6,NA,1590,1590
1933,7,NA,1950,1950
1933,8,NA,1810,1810
1933,9,NA,1730,1730
1933,10,NA,1840,1840
1933,11,NA,2120,2120
1933,12,NA,1530,1530
1934,1,NA,1640,1640
1934,2,NA,1700,1700
1934,3,NA,1730,1730
1934,4,NA,1700,1700
1934,5,NA,1640,1640
1934,6,NA,2070,2070
1934,7,NA,2660,2660
1934,8,NA,2860,2860
1934,9,NA,2610,2610
1934,10,NA,2210,2210
1934,11,NA,2410,2410
1934,12,NA,2780,2780
1935,1,NA,1980,1980
1935,2,NA,1760,1760
1935,3,NA,2150,2150
1935,4,NA,2720,2720
1935,5,NA,2800,2800
1935,6,NA,2520,2520
1935,7,NA,2660,2660
1935,8,NA,2690,2690
1935,9,NA,2800,2800
1935,10,NA,3110,3110
1935,11,NA,2940,2940
1935,12,NA,1930,1930
1936,1,NA,1840,1840
1936,2,NA,1840,1840
1936,3,NA,1840,1840
1936,4,NA,1840,1840
1936,5,NA,2350,2350
1936,6,NA,2460,2460
1936,7,NA,2410,2410
1936,8,NA,2440,2440
1936,9,NA,2380,2380
1936,10,NA,2210,2210
1936,11,NA,2180,2180
1936,12,NA,1870,1870
1937,1,NA,1810,1810
1937,2,NA,1810,1810
1937,3,NA,1810,1810
1937,4,NA,1840,1840
1937,5,NA,1760,1760
1937,6,NA,2150,2150
1937,7,NA,2040,2040
1937,8,NA,2040,2040
1937,9,NA,2070,2070
1937,10,NA,2040,2040
1937,11,NA,2040,2040
1937,12,NA,1810,1810
1938,1,NA,1760,1760
1938,2,NA,1760,1760
1938,3,NA,1700,1700
1938,4,NA,1700,1700
1938,5,NA,2290,2290
1938,6,NA,3310,3310
1938,7,NA,3570,3570
1938,8,NA,3510,3510
1938,9,NA,3450,3450
1938,10,NA,3340,3340
1938,11,NA,2750,2750
1938,12,NA,1730,1730
1939,1,NA,1760,1760
1939,2,NA,1780,1780
1939,3,NA,1780,1780
1939,4,NA,2100,2100
1939,5,NA,2860,2860
1939,6,NA,2940,2940
1939,7,NA,3280,3280
1939,8,NA,3570,3570
1939,9,NA,3510,3510
1939,10,NA,3170,3170
1939,11,NA,2150,2150
1939,12,NA,1870,1870
1940,1,NA,1810,1810
1940,2,NA,1840,1840
1940,3,NA,1530,1530
1940,4,NA,1500,1500
1940,5,NA,1590,1590
1940,6,NA,1610,1610
1940,7,NA,1730,1730
1940,8,NA,1760,1760
1940,9,NA,1730,1730
1940,10,NA,1760,1760
1940,11,NA,1730,1730
1940,12,NA,1700,1700
1941,1,NA,1760,1760
1941,2,NA,1760,1760
1941,3,NA,1730,1730
1941,4,NA,1700,1700
1941,5,NA,1700,1700
1941,6,NA,1700,1700
1941,7,NA,1610,1610
1941,8,NA,1700,1700
1941,9,NA,1700,1700
1941,10,NA,2180,2180
1941,11,NA,3060,3060
1941,12,NA,2380,2380
1942,1,NA,2350,2350
1942,2,NA,1900,1900
1942,3,NA,1670,1670
1942,4,NA,2520,2520
1942,5,NA,1900,1900
1942,6,NA,2290,2290
1942,7,NA,2610,2610
1942,8,NA,2240,2240
1942,9,NA,2240,2240
1942,10,NA,1950,1950
1942,11,NA,1590,1590
1942,12,NA,1670,1670
1943,1,NA,1700,1700
1943,2,NA,1810,1810
1943,3,NA,2120,2120
1943,4,NA,2290,2290
1943,5,NA,2550,2550
1943,6,NA,3110,3110
1943,7,NA,3480,3480
1943,8,NA,3600,3600
1943,9,NA,3540,3540
1943,10,NA,3230,3230
1943,11,NA,2800,2800
1943,12,NA,2120,2120
1944,1,NA,1930,1930
1944,2,NA,1640,1640
1944,3,NA,1640,1640
1944,4,NA,1670,1670
1944,5,NA,1730,1730
1944,6,NA,1730,1730
1944,7,NA,2270,2270
1944,8,NA,2830,2830
1944,9,NA,3090,3090
1944,10,NA,3260,3260
1944,11,NA,2890,2890
1944,12,NA,2350,2350
1945,1,NA,2120,2120
1945,2,NA,2100,2100
1945,3,NA,2100,2100
1945,4,NA,2440,2440
1945,5,NA,3060,3060
1945,6,NA,3000,3000
1945,7,NA,2150,2150
1945,8,NA,2100,2100
1945,9,NA,2100,2100
1945,10,NA,2290,2290
1945,11,NA,2660,2660
1945,12,NA,2120,2120
1946,1,NA,2100,2100
1946,2,NA,2100,2100
1946,3,NA,2070,2070
1946,4,NA,1930,1930
1946,5,NA,2180,2180
1946,6,NA,2180,2180
1946,7,NA,2180,2180
1946,8,NA,2120,2120
1946,9,NA,2180,2180
1946,10,NA,2240,2240
1946,11,NA,2180,2180
1946,12,NA,2150,2150
1947,1,NA,2120,2120
1947,2,NA,2120,2120
1947,3,NA,2040,2040
1947,4,NA,2070,2070
1947,5,NA,2150,2150
1947,6,NA,2210,2210
1947,7,NA,3310,3310
1947,8,NA,3260,3260
1947,9,NA,2890,2890
1947,10,NA,3230,3230
1947,11,NA,2580,2580
1947,12,NA,2210,2210
1948,1,NA,2150,2150
1948,2,NA,2120,2120
1948,3,NA,2100,2100
1948,4,NA,2120,2120
1948,5,NA,2100,2100
1948,6,NA,1950,1950
1948,7,NA,1840,1840
1948,8,NA,1780,1780
1948,9,NA,1640,1640
1948,10,NA,1670,1670
1948,11,NA,1670,1670
1948,12,NA,1610,1610
1949,1,NA,1610,1610
1949,2,NA,1610,1610
1949,3,NA,1610,1610
1949,4,NA,1670,1670
1949,5,NA,1780,1780
1949,6,NA,1810,1810
1949,7,NA,1730,1730
1949,8,NA,1870,1870
1949,9,NA,2040,2040
1949,10,NA,2040,2040
1949,11,NA,2040,2040
1949,12,NA,1900,1900
1950,1,NA,1780,1780
1950,2,NA,1870,1870
1950,3,NA,1870,1870
1950,4,NA,1870,1870
1950,5,NA,1930,1930
1950,6,NA,2970,2970
1950,7,NA,3510,3510
1950,8,NA,3600,3600
1950,9,NA,3570,3570
1950,10,NA,3510,3510
1950,11,NA,3430,3430
1950,12,NA,3170,3170
1951,1,NA,2320,2320
1951,2,NA,2270,2270
1951,3,NA,2270,2270
1951,4,NA,2940,2940
1951,5,NA,3450,3450
1951,6,NA,3480,3480
1951,7,NA,3510,3510
1951,8,NA,3450,3450
1951,9,NA,3510,3510
1951,10,NA,3510,3510
1951,11,NA,3430,3430
1951,12,NA,2920,2920
1952,1,NA,2380,2380
1952,2,NA,2320,2320
1952,3,NA,2290,2290
1952,4,NA,2320,2320
1952,5,NA,3030,3030
1952,6,NA,2210,2210
1952,7,NA,1900,1900
1952,8,NA,3310,3310
1952,9,NA,3310,3310
1952,10,NA,3230,3230
1952,11,NA,3030,3030
1952,12,NA,2120,2120
1953,1,NA,2100,2100
1953,2,NA,2040,2040
1953,3,NA,1980,1980
1953,4,NA,2210,2210
1953,5,NA,2630,2630
1953,6,NA,2780,2780
1953,7,NA,3030,3030
1953,8,NA,3400,3400
1953,9,NA,3370,3370
1953,10,NA,3230,3230
1953,11,NA,2860,2860
1953,12,NA,2270,2270
1954,1,NA,2100,2100
1954,2,NA,2040,2040
1954,3,NA,2040,2040
1954,4,NA,2010,2010
1954,5,NA,2150,2150
1954,6,NA,2180,2180
1954,7,NA,2830,2830
1954,8,NA,3280,3280
1954,9,NA,3200,3200
1954,10,NA,2720,2720
1954,11,NA,2150,2150
1954,12,NA,1840,1840
1955,1,NA,1760,1760
1955,2,NA,1760,1760
1955,3,NA,1730,1730
1955,4,NA,1700,1700
1955,5,NA,2040,2040
1955,6,NA,2120,2120
1955,7,NA,1980,1980
1955,8,NA,1870,1870
1955,9,NA,1160,1160
1955,10,NA,1420,1420
1955,11,NA,2380,2380
1955,12,NA,2180,2180
1956,1,NA,2100,2100
1956,2,NA,2100,2100
1956,3,NA,2070,2070
1956,4,NA,2150,2150
1956,5,NA,1950,1950
1956,6,NA,1730,1730
1956,7,NA,1760,1760
1956,8,NA,2040,2040
1956,9,NA,2040,2040
1956,10,NA,2070,2070
1956,11,NA,1980,1980
1956,12,NA,1950,1950
1957,1,NA,1900,1900
1957,2,NA,1870,1870
1957,3,NA,1610,1610
1957,4,NA,1610,1610
1957,5,NA,1470,1470
1957,6,NA,1530,1530
1957,7,NA,1530,1530
1957,8,NA,1810,1810
1957,9,NA,1900,1900
1957,10,NA,1900,1900
1957,11,NA,1870,1870
1957,12,NA,1840,1840
1958,1,NA,2010,2010
1958,2,NA,2010,2010
1958,3,NA,1950,1950
1958,4,NA,1730,1730
1958,5,NA,1760,1760
1958,6,NA,1760,1760
1958,7,NA,1610,1610
1958,8,NA,1590,1590
1958,9,NA,1610,1610
1958,10,NA,1870,1870
1958,11,NA,1950,1950
1958,12,NA,1870,1870
1959,1,NA,1870,1870
1959,2,NA,1900,1900
1959,3,NA,1840,1840
1959,4,NA,1980,1980
1959,5,NA,1980,1980
1959,6,NA,1950,1950
1959,7,NA,1900,1900
1959,8,NA,1950,1950
1959,9,NA,2120,2120
1959,10,NA,3170,3170
1959,11,NA,3340,3340
1959,12,NA,2520,2520
1960,1,NA,2100,2100
1960,2,NA,2040,2040
1960,3,NA,1950,1950
1960,4,NA,1870,1870
1960,5,NA,1930,1930
1960,6,NA,3140,3140
1960,7,NA,3260,3260
1960,8,NA,2970,2970
1960,9,NA,2920,2920
1960,10,NA,2610,2610
1960,11,NA,2070,2070
1960,12,NA,1930,1930
1961,1,NA,1900,1900
1961,2,NA,1900,1900
1961,3,NA,1870,1870
1961,4,NA,1870,1870
1961,5,NA,1930,1930
1961,6,NA,1950,1950
1961,7,NA,1840,1840
1961,8,NA,1610,1610
1961,9,NA,1610,1610
1961,10,NA,1640,1640
1961,11,NA,1840,1840
1961,12,NA,1840,1840
1962,1,NA,1810,1810
1962,2,NA,1840,1840
1962,3,NA,1810,1810
1962,4,NA,1780,1780
1962,5,NA,1700,1700
1962,6,NA,1700,1700
1962,7,NA,1780,1780
1962,8,NA,1700,1700
1962,9,NA,1590,1590
1962,10,NA,1810,1810
1962,11,NA,1930,1930
1962,12,NA,1840,1840
1963,1,NA,1760,1760
1963,2,NA,1840,1840
1963,3,NA,1700,1700
1963,4,NA,1610,1610
1963,5,NA,1730,1730
1963,6,NA,1730,1730
1963,7,NA,1780,1780
1963,8,NA,1760,1760
1963,9,NA,2040,2040
1963,10,NA,1810,1810
1963,11,NA,1870,1870
1963,12,NA,1590,1590
1964,1,NA,1670,1670
1964,2,NA,1930,1930
1964,3,NA,1930,1930
1964,4,NA,1930,1930
1964,5,NA,1980,1980
1964,6,NA,2040,2040
1964,7,NA,2290,2290
1964,8,NA,2830,2830
1964,9,NA,3030,3030
1964,10,NA,3140,3140
1964,11,NA,3280,3280
1964,12,NA,2630,2630
1965,1,NA,2440,2440
1965,2,NA,2380,2380
1965,3,NA,2350,2350
1965,4,NA,2320,2320
1965,5,NA,2660,2660
1965,6,NA,2800,2800
1965,7,NA,3200,3200
1965,8,NA,3230,3230
1965,9,NA,3060,3060
1965,10,NA,2890,2890
1965,11,NA,2890,2890
1965,12,NA,2410,2410
1966,1,NA,2180,2180
1966,2,NA,2180,2180
1966,3,NA,2180,2180
1966,4,NA,2290,2290
1966,5,NA,2270,2270
1966,6,NA,2240,2240
1966,7,NA,2720,2720
1966,8,NA,2720,2720
1966,9,NA,2940,2940
1966,10,NA,2550,2550
1966,11,NA,2270,2270
1966,12,NA,2120,2120
1967,1,NA,2010,2010
1967,2,NA,2040,2040
1967,3,NA,2010,2010
1967,4,NA,2010,2010
1967,5,NA,2410,2410
1967,6,NA,2550,2550
1967,7,NA,2550,2550
1967,8,NA,2610,2610
1967,9,NA,2460,2460
1967,10,NA,2010,2010
1967,11,NA,2040,2040
1967,12,NA,1980,1980
1968,1,NA,1950,1950
1968,2,NA,1950,1950
1968,3,NA,1900,1900
1968,4,NA,1950,1950
1968,5,NA,1980,1980
1968,6,NA,1980,1980
1968,7,NA,2830,2830
1968,8,NA,3450,3450
1968,9,NA,3480,3480
1968,10,NA,3510,3510
1968,11,NA,3480,3480
1968,12,NA,2970,2970
1969,1,NA,2350,2350
1969,2,NA,2610,2610
1969,3,NA,2690,2690
1969,4,NA,2920,2920
1969,5,NA,3260,3260
1969,6,NA,3280,3280
1969,7,NA,3280,3280
1969,8,NA,3310,3310
1969,9,NA,2970,2970
1969,10,NA,1950,1950
1969,11,NA,1900,1900
1969,12,NA,1930,1930
1970,1,NA,1930,1930
1970,2,NA,2350,2350
1970,3,NA,1980,1980
1970,4,NA,1810,1810
1970,5,NA,1810,1810
1970,6,NA,1840,1840
1970,7,NA,1840,1840
1970,8,NA,2720,2720
1970,9,NA,2240,2240
1970,10,NA,1840,1840
1970,11,NA,2440,2440
1970,12,NA,2860,2860
1971,1,NA,2630,2630
1971,2,NA,2350,2350
1971,3,NA,2380,2380
1971,4,NA,2690,2690
1971,5,NA,3060,3060
1971,6,NA,3200,3200
1971,7,NA,3230,3230
1971,8,NA,3000,3000
1971,9,NA,3060,3060
1971,10,NA,3200,3200
1971,11,NA,3170,3170
1971,12,NA,2800,2800
1972,1,NA,2290,2290
1972,2,NA,2070,2070
1972,3,NA,2120,2120
1972,4,NA,2120,2120
1972,5,NA,3140,3140
1972,6,NA,3280,3280
1972,7,NA,3230,3230
1972,8,NA,3200,3200
1972,9,NA,3260,3260
1972,10,NA,3140,3140
1972,11,NA,3280,3280
1972,12,NA,2440,2440
1973,1,NA,2120,2120
1973,2,NA,1610,1610
1973,3,NA,1500,1500
1973,4,NA,1560,1560
1973,5,NA,1560,1560
1973,6,NA,1590,1590
1973,7,NA,2270,2270
1973,8,NA,2750,2750
1973,9,NA,3340,3340
1973,10,NA,2630,2630
1973,11,NA,2380,2380
1973,12,NA,2410,2410
1974,1,NA,2150,2150
1974,2,NA,2120,2120
1974,3,NA,2120,2120
1974,4,NA,2120,2120
1974,5,NA,2070,2070
1974,6,NA,2410,2410
1974,7,NA,2150,2150
1974,8,NA,2120,2120
1974,9,NA,2100,2100
1974,10,NA,2070,2070
1974,11,NA,2380,2380
1974,12,NA,2750,2750
1975,1,NA,2460,2460
1975,2,NA,2410,2410
1975,3,NA,2440,2440
1975,4,NA,2610,2610
1975,5,NA,2780,2780
1975,6,NA,2520,2520
1975,7,NA,2380,2380
1975,8,NA,2290,2290
1975,9,NA,2100,2100
1975,10,NA,1870,1870
1975,11,NA,1930,1930
1975,12,NA,1980,1980
1976,1,NA,1980,1980
1976,2,NA,1950,1950
1976,3,NA,1950,1950
1976,4,NA,2040,2040
1976,5,NA,2380,2380
1976,6,NA,2320,2320
1976,7,NA,2270,2270
1976,8,NA,2040,2040
1976,9,NA,1930,1930
1976,10,NA,1810,1810
1976,11,NA,1610,1610
1976,12,NA,1700,1700
1977,1,NA,1730,1730
1977,2,NA,1730,1730
1977,3,NA,1730,1730
1977,4,NA,1760,1760
1977,5,NA,1730,1730
1977,6,NA,1760,1760
1977,7,NA,1530,1530
1977,8,NA,1700,1700
1977,9,NA,1870,1870
1977,10,NA,2780,2780
1977,11,NA,3140,3140
1977,12,NA,2550,2550
1978,1,NA,2210,2210
1978,2,NA,2180,2180
1978,3,NA,2150,2150
1978,4,NA,2150,2150
1978,5,NA,2320,2320
1978,6,NA,2410,2410
1978,7,NA,2440,2440
1978,8,NA,2630,2630
1978,9,NA,2750,2750
1978,10,NA,2800,2800
1978,11,NA,2750,2750
1978,12,NA,2100,2100
