# St.Marys River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:33 by JKP
#
"Year","Month","St.Marys (IGS)","St. Marys (Flow Accounting)","St. Marys (Coordinated)"
1900,1,NA,2240,2240
1900,2,NA,2180,2180
1900,3,NA,2070,2070
1900,4,NA,2070,2070
1900,5,NA,2180,2180
1900,6,NA,2210,2210
1900,7,NA,2320,2320
1900,8,NA,2440,2440
1900,9,NA,2610,2610
1900,10,NA,2660,2660
1900,11,NA,2660,2660
1900,12,NA,2380,2380
1901,1,NA,2240,2240
1901,2,NA,2120,2120
1901,3,NA,1950,1950
1901,4,NA,1980,1980
1901,5,NA,2150,2150
1901,6,NA,2240,2240
1901,7,NA,2440,2440
1901,8,NA,2440,2440
1901,9,NA,2290,2290
1901,10,NA,2290,2290
1901,11,NA,2210,2210
1901,12,NA,2040,2040
1902,1,NA,1870,1870
1902,2,NA,1760,1760
1902,3,NA,1610,1610
1902,4,NA,1730,1730
1902,5,NA,1840,1840
1902,6,NA,1950,1950
1902,7,NA,2100,2100
1902,8,NA,2120,2120
1902,9,NA,2180,2180
1902,10,NA,2100,2100
1902,11,NA,2120,2120
1902,12,NA,1950,1950
1903,1,NA,1810,1810
1903,2,NA,1730,1730
1903,3,NA,1700,1700
1903,4,NA,1760,1760
1903,5,NA,1980,1980
1903,6,NA,2180,2180
1903,7,NA,2240,2240
1903,8,NA,2270,2270
1903,9,NA,2270,2270
1903,10,NA,2290,2290
1903,11,NA,2270,2270
1903,12,NA,2070,2070
1904,1,NA,2040,2040
1904,2,NA,1930,1930
1904,3,NA,1930,1930
1904,4,NA,1980,1980
1904,5,NA,2150,2150
1904,6,NA,2320,2320
1904,7,NA,2380,2380
1904,8,NA,2440,2440
1904,9,NA,2460,2460
1904,10,NA,2550,2550
1904,11,NA,2460,2460
1904,12,NA,2290,2290
1905,1,NA,2210,2210
1905,2,NA,2010,2010
1905,3,NA,1900,1900
1905,4,NA,2100,2100
1905,5,NA,2240,2240
1905,6,NA,2320,2320
1905,7,NA,2460,2460
1905,8,NA,2460,2460
1905,9,NA,2520,2520
1905,10,NA,2630,2630
1905,11,NA,2490,2490
1905,12,NA,2380,2380
1906,1,NA,2320,2320
1906,2,NA,2150,2150
1906,3,NA,2100,2100
1906,4,NA,2150,2150
1906,5,NA,2290,2290
1906,6,NA,2440,2440
1906,7,NA,2490,2490
1906,8,NA,2520,2520
1906,9,NA,2490,2490
1906,10,NA,2440,2440
1906,11,NA,2380,2380
1906,12,NA,2240,2240
1907,1,NA,2100,2100
1907,2,NA,2010,2010
1907,3,NA,1900,1900
1907,4,NA,1980,1980
1907,5,NA,2040,2040
1907,6,NA,2210,2210
1907,7,NA,2350,2350
1907,8,NA,2490,2490
1907,9,NA,2580,2580
1907,10,NA,2460,2460
1907,11,NA,2410,2410
1907,12,NA,2320,2320
1908,1,NA,2120,2120
1908,2,NA,1980,1980
1908,3,NA,1840,1840
1908,4,NA,1760,1760
1908,5,NA,1900,1900
1908,6,NA,2210,2210
1908,7,NA,2440,2440
1908,8,NA,2490,2490
1908,9,NA,2410,2410
1908,10,NA,2320,2320
1908,11,NA,2240,2240
1908,12,NA,2100,2100
1909,1,NA,1900,1900
1909,2,NA,1730,1730
1909,3,NA,1530,1530
1909,4,NA,1500,1500
1909,5,NA,1590,1590
1909,6,NA,1780,1780
1909,7,NA,1950,1950
1909,8,NA,2150,2150
1909,9,NA,2150,2150
1909,10,NA,2120,2120
1909,11,NA,1950,1950
1909,12,NA,2100,2100
1910,1,NA,1900,1900
1910,2,NA,1780,1780
1910,3,NA,1610,1610
1910,4,NA,1560,1560
1910,5,NA,1610,1610
1910,6,NA,1810,1810
1910,7,NA,1870,1870
1910,8,NA,1980,1980
1910,9,NA,1950,1950
1910,10,NA,1930,1930
1910,11,NA,1870,1870
1910,12,NA,1640,1640
1911,1,NA,1560,1560
1911,2,NA,1420,1420
1911,3,NA,1330,1330
1911,4,NA,1360,1360
1911,5,NA,1470,1470
1911,6,NA,1590,1590
1911,7,NA,1640,1640
1911,8,NA,1780,1780
1911,9,NA,1760,1760
1911,10,NA,1760,1760
1911,11,NA,1700,1700
1911,12,NA,1640,1640
1912,1,NA,1590,1590
1912,2,NA,1530,1530
1912,3,NA,1470,1470
1912,4,NA,1530,1530
1912,5,NA,1700,1700
1912,6,NA,1810,1810
1912,7,NA,1810,1810
1912,8,NA,1950,1950
1912,9,NA,1980,1980
1912,10,NA,2010,2010
1912,11,NA,1950,1950
1912,12,NA,1870,1870
1913,1,NA,1760,1760
1913,2,NA,1700,1700
1913,3,NA,1640,1640
1913,4,NA,1730,1730
1913,5,NA,1930,1930
1913,6,NA,1980,1980
1913,7,NA,2070,2070
1913,8,NA,2120,2120
1913,9,NA,2150,2150
1913,10,NA,2270,2270
1913,11,NA,2210,2210
1913,12,NA,2150,2150
1914,1,NA,1980,1980
1914,2,NA,1950,1950
1914,3,NA,1840,1840
1914,4,NA,1810,1810
1914,5,NA,1980,1980
1914,6,NA,2070,2070
