# Coordinated beginning of month and monthly mean lakewide average water levels for Lake Michigan-Huron
# Units: meters above IGLD 1985
# Coordinated period:  Jan 1918 through previous December
# Coordinated by the Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data
# www.GreatLakesCC.org
#
"Year","Month","Beginning of Month","Monthly Mean"
1900,1,176.41,NA
1900,2,176.36,NA
1900,3,176.42,NA
1900,4,176.42,NA
1900,5,176.5,NA
1900,6,176.54,NA
1900,7,176.57,NA
1900,8,176.66,NA
1900,9,176.69,NA
1900,10,176.67,NA
1900,11,176.65,NA
1900,12,176.61,NA
1901,1,176.5,NA
1901,2,176.45,NA
1901,3,176.43,NA
1901,4,176.56,NA
1901,5,176.66,NA
1901,6,176.73,NA
1901,7,176.76,NA
1901,8,176.81,NA
1901,9,176.78,NA
1901,10,176.66,NA
1901,11,176.61,NA
1901,12,176.49,NA
1902,1,176.44,NA
1902,2,176.38,NA
1902,3,176.35,NA
1902,4,176.4,NA
1902,5,176.45,NA
1902,6,176.53,NA
1902,7,176.63,NA
1902,8,176.72,NA
1902,9,176.65,NA
1902,10,176.6,NA
1902,11,176.5,NA
1902,12,176.47,NA
1903,1,176.37,NA
1903,2,176.35,NA
1903,3,176.39,NA
1903,4,176.49,NA
1903,5,176.55,NA
1903,6,176.63,NA
1903,7,176.65,NA
1903,8,176.67,NA
1903,9,176.66,NA
1903,10,176.68,NA
1903,11,176.61,NA
1903,12,176.5,NA
1904,1,176.43,NA
1904,2,176.41,NA
1904,3,176.42,NA
1904,4,176.56,NA
1904,5,176.69,NA
1904,6,176.85,NA
1904,7,176.9,NA
1904,8,176.91,NA
1904,9,176.88,NA
1904,10,176.84,NA
1904,11,176.78,NA
1904,12,176.66,NA
1905,1,176.56,NA
1905,2,176.53,NA
1905,3,176.53,NA
1905,4,176.63,NA
1905,5,176.67,NA
1905,6,176.8,NA
1905,7,176.9,NA
1905,8,176.94,NA
1905,9,176.91,NA
1905,10,176.85,NA
1905,11,176.74,NA
1905,12,176.69,NA
1906,1,176.62,NA
1906,2,176.65,NA
1906,3,176.68,NA
1906,4,176.71,NA
1906,5,176.79,NA
1906,6,176.84,NA
1906,7,176.9,NA
1906,8,176.89,NA
1906,9,176.82,NA
1906,10,176.76,NA
1906,11,176.69,NA
1906,12,176.66,NA
1907,1,176.62,NA
1907,2,176.66,NA
1907,3,176.65,NA
1907,4,176.7,NA
1907,5,176.75,NA
1907,6,176.84,NA
1907,7,176.9,NA
1907,8,176.91,NA
1907,9,176.87,NA
1907,10,176.84,NA
1907,11,176.74,NA
1907,12,176.66,NA
1908,1,176.61,NA
1908,2,176.56,NA
1908,3,176.6,NA
1908,4,176.66,NA
1908,5,176.76,NA
1908,6,176.92,NA
1908,7,176.95,NA
1908,8,176.99,NA
1908,9,176.88,NA
1908,10,176.78,NA
1908,11,176.66,NA
1908,12,176.52,NA
1909,1,176.44,NA
1909,2,176.41,NA
1909,3,176.44,NA
1909,4,176.45,NA
1909,5,176.6,NA
1909,6,176.73,NA
1909,7,176.77,NA
1909,8,176.77,NA
1909,9,176.71,NA
1909,10,176.64,NA
1909,11,176.5,NA
1909,12,176.46,NA
1910,1,176.45,NA
1910,2,176.45,NA
1910,3,176.43,NA
1910,4,176.45,NA
1910,5,176.55,NA
1910,6,176.59,NA
1910,7,176.59,NA
1910,8,176.56,NA
1910,9,176.53,NA
1910,10,176.49,NA
1910,11,176.42,NA
1910,12,176.35,NA
1911,1,176.24,NA
1911,2,176.24,NA
1911,3,176.24,NA
1911,4,176.23,NA
1911,5,176.31,NA
1911,6,176.42,NA
1911,7,176.45,NA
1911,8,176.4,NA
1911,9,176.35,NA
1911,10,176.32,NA
1911,11,176.29,NA
1911,12,176.27,NA
1912,1,176.25,NA
1912,2,176.23,NA
1912,3,176.23,NA
1912,4,176.22,NA
1912,5,176.33,NA
1912,6,176.56,NA
1912,7,176.58,NA
1912,8,176.61,NA
1912,9,176.63,NA
1912,10,176.63,NA
1912,11,176.57,NA
1912,12,176.55,NA
1913,1,176.49,NA
1913,2,176.45,NA
1913,3,176.43,NA
1913,4,176.53,NA
1913,5,176.7,NA
1913,6,176.81,NA
1913,7,176.83,NA
1913,8,176.83,NA
1913,9,176.77,NA
1913,10,176.68,NA
1913,11,176.61,NA
1913,12,176.59,NA
1914,1,176.48,NA
1914,2,176.45,NA
1914,3,176.44,NA
1914,4,176.46,NA
1914,5,176.51,NA
1914,6,176.58,NA
1914,7,176.66,NA
1914,8,176.66,NA
1914,9,176.63,NA
1914,10,176.56,NA
1914,11,176.48,NA
1914,12,176.38,NA
1915,1,176.27,NA
1915,2,176.28,NA
1915,3,176.31,NA
1915,4,176.28,NA
1915,5,176.29,NA
1915,6,176.34,NA
1915,7,176.4,NA
1915,8,176.42,NA
1915,9,176.42,NA
1915,10,176.43,NA
1915,11,176.31,NA
1915,12,176.29,NA
1916,1,176.22,NA
1916,2,176.24,NA
1916,3,176.25,NA
1916,4,176.32,NA
1916,5,176.51,NA
1916,6,176.66,NA
1916,7,176.79,NA
1916,8,176.8,NA
1916,9,176.71,NA
1916,10,176.66,NA
1916,11,176.63,NA
1916,12,176.59,NA
1917,1,176.6,NA
1917,2,176.58,NA
1917,3,176.56,NA
1917,4,176.61,NA
