# St.Clair River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:37 by JKP
#
"Year","Month","St.Clair (IGS)","St. Clair (SFD+ADVM)","St. Clair (Coordinated)"
1900,1,NA,4190,4190
1900,2,NA,3960,3960
1900,3,NA,3960,3960
1900,4,NA,5130,5130
1900,5,NA,5240,5240
1900,6,NA,5300,5300
1900,7,NA,5440,5440
1900,8,NA,5470,5470
1900,9,NA,5550,5550
1900,10,NA,5580,5580
1900,11,NA,5640,5640
1900,12,NA,5440,5440
1901,1,NA,4700,4700
1901,2,NA,3570,3570
1901,3,NA,4360,4360
1901,4,NA,3600,3600
1901,5,NA,5490,5490
1901,6,NA,5720,5720
1901,7,NA,5780,5780
1901,8,NA,5780,5780
1901,9,NA,5660,5660
1901,10,NA,5610,5610
1901,11,NA,5550,5550
1901,12,NA,5300,5300
1902,1,NA,4130,4130
1902,2,NA,4300,4300
1902,3,NA,5180,5180
1902,4,NA,5270,5270
1902,5,NA,5320,5320
1902,6,NA,5440,5440
1902,7,NA,5410,5410
1902,8,NA,5490,5490
1902,9,NA,5380,5380
1902,10,NA,5270,5270
1902,11,NA,5300,5300
1902,12,NA,5150,5150
1903,1,NA,3990,3990
1903,2,NA,3880,3880
1903,3,NA,4900,4900
1903,4,NA,5240,5240
1903,5,NA,5240,5240
1903,6,NA,5320,5320
1903,7,NA,5440,5440
1903,8,NA,5440,5440
1903,9,NA,5490,5490
1903,10,NA,5610,5610
1903,11,NA,5440,5440
1903,12,NA,5150,5150
1904,1,NA,4330,4330
1904,2,NA,4190,4190
1904,3,NA,4360,4360
1904,4,NA,5300,5300
1904,5,NA,5520,5520
1904,6,NA,5720,5720
1904,7,NA,5780,5780
1904,8,NA,5800,5800
1904,9,NA,5780,5780
1904,10,NA,5800,5800
1904,11,NA,5690,5690
1904,12,NA,5350,5350
1905,1,NA,3570,3570
1905,2,NA,3940,3940
1905,3,NA,4560,4560
1905,4,NA,5550,5550
1905,5,NA,5660,5660
1905,6,NA,5780,5780
1905,7,NA,5830,5830
1905,8,NA,5860,5860
1905,9,NA,5860,5860
1905,10,NA,5830,5830
1905,11,NA,5720,5720
1905,12,NA,5610,5610
1906,1,NA,5470,5470
1906,2,NA,4250,4250
1906,3,NA,4810,4810
1906,4,NA,5660,5660
1906,5,NA,5780,5780
1906,6,NA,5780,5780
1906,7,NA,5830,5830
1906,8,NA,5800,5800
1906,9,NA,5720,5720
1906,10,NA,5610,5610
1906,11,NA,5550,5550
1906,12,NA,5150,5150
1907,1,NA,4420,4420
1907,2,NA,4110,4110
1907,3,NA,4900,4900
1907,4,NA,5580,5580
1907,5,NA,5640,5640
1907,6,NA,5720,5720
1907,7,NA,5830,5830
1907,8,NA,5800,5800
1907,9,NA,5830,5830
1907,10,NA,5720,5720
1907,11,NA,5610,5610
1907,12,NA,5490,5490
1908,1,NA,3960,3960
1908,2,NA,3740,3740
1908,3,NA,4730,4730
1908,4,NA,5440,5440
1908,5,NA,5610,5610
1908,6,NA,5780,5780
1908,7,NA,5890,5890
1908,8,NA,5830,5830
1908,9,NA,5690,5690
1908,10,NA,5550,5550
1908,11,NA,5440,5440
1908,12,NA,5380,5380
1909,1,NA,4810,4810
1909,2,NA,3450,3450
1909,3,NA,4360,4360
1909,4,NA,5210,5210
1909,5,NA,5380,5380
1909,6,NA,5520,5520
1909,7,NA,5580,5580
1909,8,NA,5520,5520
1909,9,NA,5490,5490
1909,10,NA,5380,5380
1909,11,NA,5210,5210
1909,12,NA,5040,5040
1910,1,NA,3910,3910
1910,2,NA,3960,3960
1910,3,NA,5040,5040
1910,4,NA,5150,5150
1910,5,NA,5270,5270
1910,6,NA,5350,5350
1910,7,NA,5300,5300
1910,8,NA,5270,5270
1910,9,NA,5240,5240
1910,10,NA,5240,5240
1910,11,NA,5150,5150
1910,12,NA,4790,4790
1911,1,NA,3820,3820
1911,2,NA,3680,3680
1911,3,NA,4810,4810
1911,4,NA,4900,4900
1911,5,NA,5100,5100
1911,6,NA,5180,5180
1911,7,NA,5210,5210
1911,8,NA,5210,5210
1911,9,NA,5100,5100
1911,10,NA,5100,5100
1911,11,NA,5040,5040
1911,12,NA,4960,4960
1912,1,NA,3850,3850
1912,2,NA,3990,3990
1912,3,NA,4420,4420
1912,4,NA,4760,4760
1912,5,NA,5010,5010
1912,6,NA,5320,5320
1912,7,NA,5320,5320
1912,8,NA,5410,5410
1912,9,NA,5440,5440
1912,10,NA,5490,5490
1912,11,NA,5490,5490
1912,12,NA,5490,5490
1913,1,NA,5210,5210
1913,2,NA,4130,4130
1913,3,NA,4670,4670
1913,4,NA,5210,5210
1913,5,NA,5440,5440
1913,6,NA,5640,5640
1913,7,NA,5720,5720
1913,8,NA,5660,5660
1913,9,NA,5550,5550
1913,10,NA,5610,5610
1913,11,NA,5550,5550
1913,12,NA,5410,5410
1914,1,NA,4360,4360
1914,2,NA,4360,4360
1914,3,NA,4560,4560
1914,4,NA,5210,5210
1914,5,NA,5270,5270
1914,6,NA,5380,5380
1914,7,NA,5410,5410
1914,8,NA,5410,5410
1914,9,NA,5440,5440
1914,10,NA,5380,5380
1914,11,NA,5380,5380
1914,12,NA,4980,4980
1915,1,NA,3710,3710
1915,2,NA,4220,4220
1915,3,NA,4840,4840
1915,4,NA,5130,5130
1915,5,NA,5100,5100
1915,6,NA,5150,5150
1915,7,NA,5150,5150
1915,8,NA,5150,5150
1915,9,NA,5150,5150
1915,10,NA,5150,5150
1915,11,NA,5150,5150
1915,12,NA,5010,5010
1916,1,NA,4640,4640
1916,2,NA,4020,4020
1916,3,NA,4110,4110
1916,4,NA,5100,5100
1916,5,NA,5320,5320
1916,6,NA,5490,5490
1916,7,NA,5660,5660
1916,8,NA,5660,5660
1916,9,NA,5640,5640
1916,10,NA,5550,5550
1916,11,NA,5610,5610
1916,12,NA,5490,5490
1917,1,NA,4530,4530
1917,2,NA,4530,4530
1917,3,NA,5440,5440
1917,4,NA,5490,5490
1917,5,NA,5610,5610
1917,6,NA,5720,5720
1917,7,NA,5920,5920
1917,8,NA,5970,5970
1917,9,NA,5830,5830
1917,10,NA,5750,5750
1917,11,NA,5720,5720
1917,12,NA,4760,4760
1918,1,NA,4080,4080
1918,2,NA,4560,4560
1918,3,NA,4980,4980
1918,4,NA,4560,4560
1918,5,NA,6060,6060
1918,6,NA,6170,6170
1918,7,NA,6090,6090
1918,8,NA,6000,6000
1918,9,NA,5920,5920
1918,10,NA,5750,5750
1918,11,NA,5780,5780
1918,12,NA,5660,5660
1919,1,NA,5380,5380
1919,2,NA,5240,5240
1919,3,NA,5300,5300
1919,4,NA,5380,5380
1919,5,NA,5610,5610
1919,6,NA,5580,5580
1919,7,NA,5660,5660
1919,8,NA,5610,5610
1919,9,NA,5520,5520
1919,10,NA,5440,5440
1919,11,NA,5410,5410
1919,12,NA,5410,5410
1920,1,NA,3480,3480
1920,2,NA,3740,3740
1920,3,NA,4730,4730
1920,4,NA,5470,5470
1920,5,NA,5580,5580
1920,6,NA,5640,5640
1920,7,NA,5720,5720
1920,8,NA,5660,5660
1920,9,NA,5690,5690
1920,10,NA,5610,5610
1920,11,NA,5440,5440
1920,12,NA,5320,5320
1921,1,NA,5240,5240
1921,2,NA,3850,3850
1921,3,NA,5070,5070
1921,4,NA,5130,5130
1921,5,NA,5380,5380
1921,6,NA,5380,5380
1921,7,NA,5350,5350
1921,8,NA,5320,5320
1921,9,NA,5210,5210
1921,10,NA,5240,5240
1921,11,NA,5040,5040
1921,12,NA,5100,5100
1922,1,NA,4080,4080
1922,2,NA,3790,3790
1922,3,NA,4640,4640
1922,4,NA,5130,5130
1922,5,NA,5320,5320
1922,6,NA,5470,5470
1922,7,NA,5470,5470
1922,8,NA,5440,5440
1922,9,NA,5350,5350
1922,10,NA,5270,5270
1922,11,NA,5180,5180
1922,12,NA,5010,5010
1923,1,NA,3790,3790
1923,2,NA,3850,3850
1923,3,NA,4250,4250
1923,4,NA,4840,4840
1923,5,NA,4960,4960
1923,6,NA,5210,5210
1923,7,NA,5180,5180
1923,8,NA,5180,5180
1923,9,NA,5150,5150
1923,10,NA,5100,5100
1923,11,NA,4980,4980
1923,12,NA,4790,4790
1924,1,NA,4250,4250
1924,2,NA,3450,3450
1924,3,NA,4360,4360
1924,4,NA,4590,4590
1924,5,NA,4790,4790
1924,6,NA,5010,5010
1924,7,NA,5040,5040
1924,8,NA,5100,5100
1924,9,NA,5100,5100
1924,10,NA,4960,4960
1924,11,NA,4790,4790
1924,12,NA,4250,4250
1925,1,NA,3770,3770
1925,2,NA,3680,3680
1925,3,NA,4190,4190
1925,4,NA,4590,4590
1925,5,NA,4700,4700
1925,6,NA,4670,4670
1925,7,NA,4700,4700
1925,8,NA,4640,4640
1925,9,NA,4530,4530
1925,10,NA,4530,4530
1925,11,NA,4420,4420
1925,12,NA,4450,4450
1926,1,NA,3110,3110
1926,2,NA,3260,3260
1926,3,NA,3600,3600
1926,4,NA,4330,4330
1926,5,NA,4560,4560
1926,6,NA,4700,4700
1926,7,NA,4700,4700
1926,8,NA,4670,4670
1926,9,NA,4590,4590
1926,10,NA,4530,4530
1926,11,NA,4470,4470
1926,12,NA,4500,4500
1927,1,NA,3200,3200
1927,2,NA,3480,3480
1927,3,NA,4130,4130
1927,4,NA,4700,4700
1927,5,NA,4870,4870
1927,6,NA,5040,5040
1927,7,NA,5040,5040
1927,8,NA,5040,5040
1927,9,NA,4930,4930
1927,10,NA,4980,4980
1927,11,NA,4870,4870
1927,12,NA,4810,4810
1928,1,NA,4020,4020
1928,2,NA,3280,3280
1928,3,NA,3880,3880
1928,4,NA,5100,5100
1928,5,NA,5300,5300
1928,6,NA,5320,5320
1928,7,NA,5380,5380
1928,8,NA,5490,5490
1928,9,NA,5550,5550
1928,10,NA,5610,5610
1928,11,NA,5690,5690
1928,12,NA,5610,5610
1929,1,NA,4790,4790
1929,2,NA,4640,4640
1929,3,NA,5410,5410
1929,4,NA,5720,5720
1929,5,NA,6060,6060
1929,6,NA,6170,6170
1929,7,NA,6230,6230
1929,8,NA,6230,6230
1929,9,NA,6120,6120
1929,10,NA,5890,5890
1929,11,NA,5890,5890
1929,12,NA,5040,5040
1930,1,NA,4530,4530
1930,2,NA,4700,4700
1930,3,NA,5440,5440
1930,4,NA,5380,5380
1930,5,NA,5490,5490
1930,6,NA,5610,5610
1930,7,NA,5720,5720
1930,8,NA,5720,5720
1930,9,NA,5610,5610
1930,10,NA,5440,5440
1930,11,NA,5270,5270
1930,12,NA,5100,5100
1931,1,NA,4160,4160
1931,2,NA,3140,3140
1931,3,NA,3510,3510
1931,4,NA,4960,4960
1931,5,NA,4980,4980
1931,6,NA,4930,4930
1931,7,NA,4960,4960
1931,8,NA,4810,4810
1931,9,NA,4700,4700
1931,10,NA,4700,4700
1931,11,NA,4760,4760
1931,12,NA,4640,4640
1932,1,NA,4450,4450
1932,2,NA,4470,4470
1932,3,NA,3790,3790
1932,4,NA,4590,4590
1932,5,NA,4530,4530
1932,6,NA,4620,4620
1932,7,NA,4700,4700
1932,8,NA,4670,4670
1932,9,NA,4560,4560
1932,10,NA,4500,4500
1932,11,NA,4420,4420
1932,12,NA,4110,4110
1933,1,NA,4220,4220
1933,2,NA,3280,3280
1933,3,NA,4110,4110
1933,4,NA,4280,4280
1933,5,NA,4390,4390
1933,6,NA,4590,4590
1933,7,NA,4590,4590
1933,8,NA,4590,4590
1933,9,NA,4470,4470
1933,10,NA,4420,4420
1933,11,NA,4390,4390
1933,12,NA,4130,4130
1934,1,NA,3060,3060
1934,2,NA,3430,3430
1934,3,NA,3740,3740
1934,4,NA,4360,4360
1934,5,NA,4420,4420
1934,6,NA,4470,4470
1934,7,NA,4500,4500
1934,8,NA,4530,4530
1934,9,NA,4500,4500
1934,10,NA,4500,4500
1934,11,NA,4390,4390
1934,12,NA,4450,4450
1935,1,NA,3650,3650
1935,2,NA,4220,4220
1935,3,NA,4250,4250
1935,4,NA,4530,4530
1935,5,NA,4560,4560
1935,6,NA,4640,4640
1935,7,NA,4730,4730
1935,8,NA,4730,4730
1935,9,NA,4640,4640
1935,10,NA,4620,4620
