# St.Clair River Monthly Flow
# Units = cms
#IGS Data Source: H:\SHARE\H&H\GL_H&HData & Reports\WaterBudgetTracking\L2SWBM\Daily\IGSdaily.csv
#Stage Fall Discharge Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
#Coordinated Data Source: H:\SHAR\H&H\GL_H&HData & Reports\WaterBudgetTracking\ConnectingChannelFlows\data\OriginalData\csv\GLConnectingChannelFlows,1900-present_Columns.csv
# Created by Heather Lucier
# Last modified 2020-05-06 15:05:37 by JKP
#
"Year","Month","St.Clair (IGS)","St. Clair (SFD+ADVM)","St. Clair (Coordinated)"
1935,11,NA,4590,4590
1935,12,NA,3990,3990
1936,1,NA,3820,3820
1936,2,NA,3770,3770
1936,3,NA,4250,4250
1936,4,NA,4700,4700
1936,5,NA,4810,4810
1936,6,NA,4900,4900
1936,7,NA,4870,4870
1936,8,NA,4790,4790
1936,9,NA,4840,4840
1936,10,NA,4870,4870
1936,11,NA,4760,4760
1936,12,NA,4560,4560
1937,1,NA,4500,4500
1937,2,NA,3450,3450
1937,3,NA,4560,4560
1937,4,NA,4450,4450
1937,5,NA,4620,4620
1937,6,NA,4670,4670
1937,7,NA,4640,4640
1937,8,NA,4640,4640
1937,9,NA,4700,4700
1937,10,NA,4670,4670
1937,11,NA,4670,4670
1937,12,NA,4360,4360
1938,1,NA,3600,3600
1938,2,NA,4110,4110
1938,3,NA,3740,3740
1938,4,NA,4760,4760
1938,5,NA,4930,4930
1938,6,NA,5040,5040
1938,7,NA,5150,5150
1938,8,NA,5210,5210
1938,9,NA,5180,5180
1938,10,NA,5150,5150
1938,11,NA,5100,5100
1938,12,NA,4980,4980
1939,1,NA,4470,4470
1939,2,NA,3960,3960
1939,3,NA,4080,4080
1939,4,NA,4840,4840
1939,5,NA,5100,5100
1939,6,NA,5210,5210
1939,7,NA,5320,5320
1939,8,NA,5380,5380
1939,9,NA,5380,5380
1939,10,NA,5320,5320
1939,11,NA,5240,5240
1939,12,NA,5100,5100
1940,1,NA,3570,3570
1940,2,NA,4050,4050
1940,3,NA,4300,4300
1940,4,NA,4760,4760
1940,5,NA,4840,4840
1940,6,NA,4930,4930
1940,7,NA,4980,4980
1940,8,NA,4980,4980
1940,9,NA,5070,5070
1940,10,NA,4980,4980
1940,11,NA,4930,4930
1940,12,NA,4840,4840
1941,1,NA,3960,3960
1941,2,NA,3680,3680
1941,3,NA,4390,4390
1941,4,NA,4760,4760
1941,5,NA,5010,5010
1941,6,NA,4980,4980
1941,7,NA,4980,4980
1941,8,NA,4900,4900
1941,9,NA,4930,4930
1941,10,NA,5040,5040
1941,11,NA,5130,5130
1941,12,NA,5100,5100
1942,1,NA,4160,4160
1942,2,NA,3000,3000
1942,3,NA,4590,4590
1942,4,NA,5130,5130
1942,5,NA,5240,5240
1942,6,NA,5350,5350
1942,7,NA,5380,5380
1942,8,NA,5350,5350
1942,9,NA,5320,5320
1942,10,NA,5270,5270
1942,11,NA,5210,5210
1942,12,NA,5010,5010
1943,1,NA,3960,3960
1943,2,NA,4190,4190
1943,3,NA,4640,4640
1943,4,NA,5270,5270
1943,5,NA,5210,5210
1943,6,NA,5550,5550
1943,7,NA,5720,5720
1943,8,NA,5890,5890
1943,9,NA,5890,5890
1943,10,NA,5800,5800
1943,11,NA,5780,5780
1943,12,NA,5610,5610
1944,1,NA,4220,4220
1944,2,NA,4640,4640
1944,3,NA,4760,4760
1944,4,NA,5440,5440
1944,5,NA,5490,5490
1944,6,NA,5550,5550
1944,7,NA,5610,5610
1944,8,NA,5610,5610
1944,9,NA,5610,5610
1944,10,NA,5610,5610
1944,11,NA,5490,5490
1944,12,NA,5380,5380
1945,1,NA,4250,4250
1945,2,NA,4590,4590
1945,3,NA,5130,5130
1945,4,NA,5180,5180
1945,5,NA,5270,5270
1945,6,NA,5490,5490
1945,7,NA,5640,5640
1945,8,NA,5610,5610
1945,9,NA,5550,5550
1945,10,NA,5490,5490
1945,11,NA,5520,5520
1945,12,NA,5300,5300
1946,1,NA,4670,4670
1946,2,NA,4530,4530
1946,3,NA,5520,5520
1946,4,NA,5690,5690
1946,5,NA,5660,5660
1946,6,NA,5610,5610
1946,7,NA,5640,5640
1946,8,NA,5550,5550
1946,9,NA,5490,5490
1946,10,NA,5380,5380
1946,11,NA,5320,5320
1946,12,NA,5240,5240
1947,1,NA,4280,4280
1947,2,NA,4190,4190
1947,3,NA,5010,5010
1947,4,NA,4930,4930
1947,5,NA,5210,5210
1947,6,NA,5380,5380
1947,7,NA,5610,5610
1947,8,NA,5610,5610
1947,9,NA,5610,5610
1947,10,NA,5610,5610
1947,11,NA,5610,5610
1947,12,NA,5440,5440
1948,1,NA,4900,4900
1948,2,NA,4700,4700
1948,3,NA,4980,4980
1948,4,NA,5380,5380
1948,5,NA,5490,5490
1948,6,NA,5490,5490
1948,7,NA,5520,5520
1948,8,NA,5520,5520
1948,9,NA,5380,5380
1948,10,NA,5210,5210
1948,11,NA,5100,5100
1948,12,NA,5040,5040
1949,1,NA,4840,4840
1949,2,NA,4590,4590
1949,3,NA,4330,4330
1949,4,NA,4930,4930
1949,5,NA,5040,5040
1949,6,NA,5040,5040
1949,7,NA,5150,5150
1949,8,NA,5130,5130
1949,9,NA,5040,5040
1949,10,NA,4870,4870
1949,11,NA,4810,4810
1949,12,NA,4620,4620
1950,1,NA,4330,4330
1950,2,NA,3790,3790
1950,3,NA,4020,4020
1950,4,NA,4560,4560
1950,5,NA,4810,4810
1950,6,NA,4980,4980
1950,7,NA,5150,5150
1950,8,NA,5300,5300
1950,9,NA,5270,5270
1950,10,NA,5270,5270
1950,11,NA,5270,5270
1950,12,NA,5040,5040
1951,1,NA,4390,4390
1951,2,NA,4420,4420
1951,3,NA,5100,5100
1951,4,NA,5300,5300
1951,5,NA,5610,5610
1951,6,NA,5690,5690
1951,7,NA,5890,5890
1951,8,NA,5970,5970
1951,9,NA,5950,5950
1951,10,NA,6060,6060
1951,11,NA,6060,6060
1951,12,NA,5950,5950
1952,1,NA,5750,5750
1952,2,NA,5720,5720
1952,3,NA,5750,5750
1952,4,NA,6090,6090
1952,5,NA,6230,6230
1952,6,NA,6340,6340
1952,7,NA,6340,6340
1952,8,NA,6460,6460
1952,9,NA,6400,6400
1952,10,NA,6290,6290
1952,11,NA,6090,6090
1952,12,NA,6030,6030
1953,1,NA,5920,5920
1953,2,NA,5690,5690
1953,3,NA,5780,5780
1953,4,NA,5830,5830
1953,5,NA,6060,6060
1953,6,NA,6120,6120
1953,7,NA,6230,6230
1953,8,NA,6260,6260
1953,9,NA,6170,6170
1953,10,NA,6060,6060
1953,11,NA,5950,5950
1953,12,NA,5780,5780
1954,1,NA,4790,4790
1954,2,NA,4450,4450
1954,3,NA,5580,5580
1954,4,NA,5550,5550
1954,5,NA,5780,5780
1954,6,NA,5890,5890
1954,7,NA,6060,6060
1954,8,NA,6060,6060
1954,9,NA,5970,5970
1954,10,NA,6030,6030
1954,11,NA,6060,6060
1954,12,NA,5950,5950
1955,1,NA,5520,5520
1955,2,NA,5240,5240
1955,3,NA,5580,5580
1955,4,NA,5690,5690
1955,5,NA,5830,5830
1955,6,NA,5830,5830
1955,7,NA,5830,5830
1955,8,NA,5720,5720
1955,9,NA,5490,5490
1955,10,NA,5380,5380
1955,11,NA,5320,5320
1955,12,NA,5180,5180
1956,1,NA,4080,4080
1956,2,NA,4020,4020
1956,3,NA,4700,4700
1956,4,NA,5130,5130
1956,5,NA,5100,5100
1956,6,NA,5350,5350
1956,7,NA,5380,5380
1956,8,NA,5380,5380
1956,9,NA,5320,5320
1956,10,NA,5240,5240
1956,11,NA,5210,5210
1956,12,NA,5100,5100
1957,1,NA,4130,4130
1957,2,NA,4420,4420
1957,3,NA,4900,4900
1957,4,NA,4870,4870
1957,5,NA,4930,4930
1957,6,NA,5040,5040
1957,7,NA,5150,5150
1957,8,NA,5100,5100
1957,9,NA,5100,5100
1957,10,NA,4980,4980
1957,11,NA,4980,4980
1957,12,NA,4900,4900
1958,1,NA,3990,3990
1958,2,NA,3740,3740
1958,3,NA,4640,4640
1958,4,NA,4640,4640
1958,5,NA,4980,4980
1958,6,NA,4870,4870
1958,7,NA,4870,4870
1958,8,NA,4840,4840
1958,9,NA,4790,4790
1958,10,NA,4700,4700
1958,11,NA,4670,4670
1958,12,NA,4360,4360
1959,1,NA,3340,3340
1959,2,NA,3620,3620
1959,3,NA,4280,4280
1959,4,NA,4390,4390
1959,5,NA,4700,4700
1959,6,NA,4840,4840
1959,7,NA,4870,4870
1959,8,NA,4900,4900
1959,9,NA,4930,4930
1959,10,NA,4900,4900
1959,11,NA,4960,4960
1959,12,NA,4900,4900
1960,1,NA,4640,4640
1960,2,NA,4190,4190
1960,3,NA,4670,4670
1960,4,NA,4900,4900
1960,5,NA,5380,5380
1960,6,NA,5550,5550
1960,7,NA,5780,5780
1960,8,NA,5800,5800
1960,9,NA,5780,5780
1960,10,NA,5720,5720
1960,11,NA,5610,5610
1960,12,NA,5300,5300
1961,1,NA,4930,4930
1961,2,NA,5100,5100
1961,3,NA,5180,5180
1961,4,NA,5150,5150
1961,5,NA,5150,5150
1961,6,NA,5210,5210
1961,7,NA,5300,5300
1961,8,NA,5300,5300
1961,9,NA,5300,5300
1961,10,NA,5350,5350
1961,11,NA,5320,5320
1961,12,NA,5150,5150
1962,1,NA,4330,4330
1962,2,NA,4160,4160
1962,3,NA,4900,4900
1962,4,NA,5130,5130
1962,5,NA,5300,5300
1962,6,NA,5320,5320
1962,7,NA,5320,5320
1962,8,NA,5240,5240
1962,9,NA,5270,5270
1962,10,NA,5100,5100
1962,11,NA,4930,4930
1962,12,NA,4640,4640
1963,1,NA,4020,4020
1963,2,NA,3740,3740
1963,3,NA,4300,4300
1963,4,NA,4590,4590
1963,5,NA,4760,4760
1963,6,NA,4840,4840
1963,7,NA,4870,4870
1963,8,NA,4900,4900
1963,9,NA,4810,4810
1963,10,NA,4760,4760
1963,11,NA,4700,4700
1963,12,NA,4420,4420
1964,1,NA,3770,3770
1964,2,NA,3600,3600
1964,3,NA,4130,4130
1964,4,NA,4160,4160
1964,5,NA,4390,4390
1964,6,NA,4420,4420
1964,7,NA,4500,4500
1964,8,NA,4530,4530
1964,9,NA,4560,4560
1964,10,NA,4560,4560
1964,11,NA,4500,4500
1964,12,NA,4360,4360
1965,1,NA,3710,3710
1965,2,NA,3770,3770
1965,3,NA,4080,4080
1965,4,NA,4390,4390
1965,5,NA,4700,4700
1965,6,NA,4810,4810
1965,7,NA,4870,4870
1965,8,NA,4930,4930
1965,9,NA,4960,4960
1965,10,NA,5100,5100
1965,11,NA,5040,5040
1965,12,NA,4930,4930
1966,1,NA,4840,4840
1966,2,NA,4590,4590
1966,3,NA,4810,4810
1966,4,NA,5010,5010
1966,5,NA,5150,5150
1966,6,NA,5150,5150
1966,7,NA,5210,5210
1966,8,NA,5130,5130
1966,9,NA,5100,5100
1966,10,NA,5010,5010
1966,11,NA,4870,4870
1966,12,NA,4840,4840
1967,1,NA,4730,4730
1967,2,NA,4420,4420
1967,3,NA,4730,4730
1967,4,NA,4980,4980
1967,5,NA,5180,5180
1967,6,NA,5270,5270
1967,7,NA,5440,5440
1967,8,NA,5440,5440
1967,9,NA,5380,5380
1967,10,NA,5210,5210
1967,11,NA,5320,5320
1967,12,NA,5100,5100
1968,1,NA,4620,4620
1968,2,NA,4640,4640
1968,3,NA,4980,4980
1968,4,NA,5040,5040
1968,5,NA,5180,5180
1968,6,NA,5270,5270
1968,7,NA,5440,5440
1968,8,NA,5550,5550
1968,9,NA,5580,5580
1968,10,NA,5610,5610
1968,11,NA,5580,5580
1968,12,NA,5350,5350
1969,1,NA,4640,4640
1969,2,NA,5130,5130
1969,3,NA,5270,5270
1969,4,NA,5380,5380
1969,5,NA,5550,5550
1969,6,NA,5720,5720
1969,7,NA,5890,5890
1969,8,NA,6000,6000
1969,9,NA,5950,5950
1969,10,NA,5860,5860
1969,11,NA,5830,5830
1969,12,NA,5520,5520
1970,1,NA,4250,4250
1970,2,NA,4700,4700
1970,3,NA,5410,5410
1970,4,NA,5440,5440
1970,5,NA,5640,5640
1970,6,NA,5780,5780
1970,7,NA,5830,5830
1970,8,NA,5860,5860
1970,9,NA,5860,5860
1970,10,NA,5780,5780
1970,11,NA,5780,5780
1970,12,NA,5660,5660
1971,1,NA,5210,5210
1971,2,NA,4980,4980
1971,3,NA,5550,5550
1971,4,NA,5800,5800
1971,5,NA,5970,5970
1971,6,NA,6060,6060
1971,7,NA,6170,6170
1971,8,NA,6170,6170
1971,9,NA,6090,6090
1971,10,NA,6000,6000
1971,11,NA,5950,5950
1971,12,NA,5750,5750
1972,1,NA,5610,5610
1972,2,NA,5320,5320
1972,3,NA,5440,5440
1972,4,NA,5490,5490
1972,5,NA,5890,5890
1972,6,NA,6060,6060
1972,7,NA,6060,6060
1972,8,NA,6170,6170
1972,9,NA,6290,6290
1972,10,NA,6260,6260
1972,11,NA,6120,6120
1972,12,NA,5950,5950
1973,1,NA,5860,5860
1973,2,NA,5490,5490
1973,3,NA,5690,5690
1973,4,NA,6060,6060
1973,5,NA,6260,6260
1973,6,NA,6370,6370
1973,7,NA,6460,6460
1973,8,NA,6510,6510
1973,9,NA,6460,6460
1973,10,NA,6370,6370
1973,11,NA,6290,6290
1973,12,NA,6060,6060
1974,1,NA,5660,5660
1974,2,NA,5720,5720
1974,3,NA,5830,5830
1974,4,NA,5950,5950
1974,5,NA,6200,6200
1974,6,NA,6430,6430
1974,7,NA,6570,6570
1974,8,NA,6480,6480
1974,9,NA,6400,6400
1974,10,NA,6230,6230
1974,11,NA,6170,6170
1974,12,NA,5950,5950
1975,1,NA,5690,5690
1975,2,NA,5550,5550
1975,3,NA,5440,5440
1975,4,NA,5830,5830
1975,5,NA,6120,6120
1975,6,NA,6230,6230
1975,7,NA,6310,6310
1975,8,NA,6230,6230
1975,9,NA,6170,6170
1975,10,NA,6000,6000
1975,11,NA,5860,5860
1975,12,NA,5800,5800
1976,1,NA,4730,4730
1976,2,NA,4980,4980
1976,3,NA,5490,5490
1976,4,NA,6000,6000
1976,5,NA,6230,6230
1976,6,NA,6290,6290
1976,7,NA,6310,6310
1976,8,NA,6230,6230
1976,9,NA,6060,6060
1976,10,NA,5890,5890
1976,11,NA,5690,5690
1976,12,NA,5150,5150
1977,1,NA,4190,4190
1977,2,NA,4670,4670
1977,3,NA,5150,5150
1977,4,NA,5320,5320
1977,5,NA,5350,5350
1977,6,NA,5410,5410
1977,7,NA,5410,5410
1977,8,NA,5440,5440
1977,9,NA,5320,5320
1977,10,NA,5320,5320
1977,11,NA,5440,5440
1977,12,NA,5150,5150
1978,1,NA,4810,4810
1978,2,NA,4700,4700
1978,3,NA,4900,4900
1978,4,NA,5070,5070
1978,5,NA,5270,5270
1978,6,NA,5440,5440
1978,7,NA,5610,5610
1978,8,NA,5640,5640
1978,9,NA,5660,5660
1978,10,NA,5780,5780
1978,11,NA,5660,5660
