,DR_GBM_Flow,SCR_GBM_Flow
1984-01-01,6016.973806015799,5051.706242090348
1984-02-01,6169.473064732721,5779.001689667996
1984-03-01,6464.4289815038965,5536.609972833926
1984-04-01,4725.709823858125,4798.671924578999
1984-05-01,6132.735205065362,6262.541352233117
1984-06-01,6231.2731977920885,6292.666258848831
1984-07-01,6386.73679736717,6157.102630007184
1984-08-01,6238.419273917024,6248.55843859218
1984-09-01,6314.076861201417,6351.225582077446
1984-10-01,6370.005955520935,6183.46003342223
1984-11-01,6568.045251547916,6080.3784667802975
1984-12-01,6451.578925337997,6195.24245524491
1985-01-01,6515.998151770208,5819.073439847912
1985-02-01,6543.857078393691,5606.583095682315
1985-03-01,6707.192798651725,5933.747264342409
1985-04-01,6478.396701968119,6097.716948094022
1985-05-01,6406.755973956527,6357.518313839403
1985-06-01,6420.13044740661,6362.096181930236
1985-07-01,6475.4132488143405,6366.983532144584
1985-08-01,6466.192171718067,6320.901112082557
1985-09-01,6589.059775458769,6409.220316984531
1985-10-01,6600.920328886412,6475.107504073688
1985-11-01,6780.858393870298,6391.208283150281
1985-12-01,6691.798495600659,6185.807774198771
1986-01-01,6584.488234362273,5849.076492016263
1986-02-01,6491.191722838036,5813.190034656542
1986-03-01,6733.705851321499,6034.548726772012
1986-04-01,6643.547813776069,6367.292852357912
1986-05-01,6479.037046701367,6446.146715782945
1986-06-01,6511.072614442782,6410.308554484642
1986-07-01,6560.881985854172,6482.736621556095
1986-08-01,6481.23128081339,6628.691282897892
1986-09-01,6704.191491988929,6656.542875493405
1986-10-01,6807.212166627643,6658.644091835268
1986-11-01,6816.41780137529,6685.13202468951
1986-12-01,6673.204122426959,6332.989153639765
1987-01-01,6592.7422545785175,6219.745264868541
1987-02-01,6336.927510900701,5926.556150992144
1987-03-01,6408.352446428717,6127.59307518218
1987-04-01,6536.575899070644,6280.787671726769
1987-05-01,6254.954798571493,6258.11625796016
1987-06-01,6360.748543731105,6266.78190057865
1987-07-01,6347.453212509869,6223.183260863155
1987-08-01,6183.69486999986,6207.738467883798
1987-09-01,6173.360757119422,6065.037181821801
1987-10-01,6222.6164645983035,6022.111528868284
1987-11-01,6199.190265253958,6014.170131110626
1987-12-01,6274.924465303888,5787.271906524005
1988-01-01,6081.267042353853,5563.888698445908
1988-02-01,5940.503796550826,5415.854545633947
1988-03-01,6032.880154216848,5755.317211689729
1988-04-01,6269.588522760936,5989.858928797138
1988-05-01,5963.271319632438,6039.192545680443
1988-06-01,5935.886196315039,6021.293630506711
1988-07-01,5798.231007125617,5900.250647785106
1988-08-01,5696.856348541147,5871.556079385922
1988-09-01,5641.196732153599,5758.623262588027
1988-10-01,5626.681336076653,5674.217713952111
1988-11-01,5616.571485519894,5544.193640576819
1988-12-01,5596.09484487336,5546.431941648267
1989-01-01,5606.666501299375,5457.923190834283
1989-02-01,5602.003172111667,5235.102187654391
1989-03-01,5356.493539597207,5293.706488325032
1989-04-01,5702.744705302337,5641.777064890235
1989-05-01,5643.5469658936245,5699.733279298316
1989-06-01,5869.965264005615,5660.706898999676
1989-07-01,5835.615639643829,5705.695908763552
1989-08-01,5671.643461289439,5694.748362293004
1989-09-01,5720.024151341549,5727.72937983516
1989-10-01,5560.926585148046,5465.315970872736
1989-11-01,5503.196437404391,5326.481907615673
1989-12-01,5213.16157733917,4868.494147940433
1990-01-01,5164.376077482323,4974.518089908892
1990-02-01,5358.2846265595335,5023.517266663734
1990-03-01,5538.029170056563,5059.158108009875
1990-04-01,5530.644039712862,5239.951228935295
1990-05-01,5469.055324893809,5346.69204339228
1990-06-01,5560.915997771462,5452.248487319581
1990-07-01,5641.727809248003,5656.766171046758
1990-08-01,5539.839476813192,5603.2841041633665
1990-09-01,5681.425396027819,5522.160919875822
1990-10-01,5691.073078313327,5473.204475447177
1990-11-01,5718.267857923821,5443.239757635115
1990-12-01,5725.343914910945,5383.9751619228955
1991-01-01,5673.959122680376,4893.196189236517
1991-02-01,5631.527188207871,5108.0791013655125
1991-03-01,5718.747891676457,5269.2136220468865
1991-04-01,5847.043428942943,5544.204964174666
1991-05-01,5828.147897498968,5699.961962623419
1991-06-01,5958.018106635867,5792.708599180657
1991-07-01,5889.122720263565,5795.941241827614
1991-08-01,5773.443293979911,5785.042408287691
1991-09-01,5663.087568101319,5664.365124380326
1991-10-01,5538.953467878472,5493.14324242215
1991-11-01,5570.9618614860165,5503.873111459909
1991-12-01,5599.349070077074,5621.258980683389
1992-01-01,5407.293334822086,5355.914361395386
1992-02-01,5539.091406298182,5230.751450069445
1992-03-01,5758.187902075603,5580.245362037123
1992-04-01,5844.860275390009,5689.313324798907
1992-05-01,5738.489011152877,5837.743559548444
1992-06-01,5701.244175948495,5783.912975940879
1992-07-01,5755.16889564521,5657.334861000808
1992-08-01,5624.024807009221,5585.233916297392
1992-09-01,5756.220095903654,5500.771302577194
1992-10-01,5746.069183171207,5621.543018409584
1992-11-01,5929.795343668893,5535.859717055235
