Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1986,1,177.107,,,176.793,,,,,,,,,,,176.430,0
1986,2,176.869,,,176.699,,,,,,,,,,,176.583,0
1986,3,176.943,,,176.707,,,,,,,,,,,176.507,0
1986,4,176.939,,,176.784,,,,,,,,,,,176.610,0
1986,5,176.961,,,176.817,,,,,,,,,,,176.690,0
1986,6,177.107,,,176.876,,,,,,,,,,,176.723,0
1986,7,177.077,,,176.926,,,,,,,,,,,176.772,0
1986,8,177.125,,,176.940,,,,,,,,,,,176.790,0
1986,9,177.110,,,176.908,,,,,,,,,,,176.726,0
1986,10,177.342,,,177.014,,,,,,,,,,,176.836,0
1986,11,177.119,,,176.898,,,,,,,,,,,176.690,0
1986,12,176.952,,,176.798,,,,,,,,,,,176.647,0
1987,1,176.946,,,176.759,,,,,,,,,,,176.574,0
1987,2,177.445,,,176.744,,,,,,,,,,,176.531,0
1987,3,177.061,,,176.690,,,,,,,,,,,176.485,0
1987,4,176.897,,,176.652,,,,,,,,,,,176.479,0
1987,5,176.769,,,176.612,,,,,,,,,,,176.501,0
1987,6,176.815,,,176.633,,,,,,,,,,,176.376,0
1987,7,176.845,,,176.626,,,,,,,,,,,176.455,0
1987,8,176.757,,,176.569,,,,,,,,,,,176.440,0
1987,9,176.635,,,176.478,,,,,,,,,,,176.339,0
1987,10,176.665,,,176.365,,,,,,,,,,,176.162,0
1987,11,176.583,,,176.274,,,,,,,,,,,176.089,0
1987,12,176.427,,,176.265,,,,,,,,,,,176.040,0
1988,1,176.622,,,176.237,,,,,,,,,,,175.970,0
1988,2,176.537,,,176.272,,,,,,,,,,,175.857,0
1988,3,176.327,,,176.159,,,,,,,,,,,175.940,0
1988,4,176.449,,,176.268,,,,,,,,,,,176.104,0
1988,5,176.467,,,176.275,,,,,,,,,,,176.077,0
1988,6,176.394,,,176.252,,,,,,,,,,,176.074,0
1988,7,176.318,,,176.208,,,,,,,,,,,175.995,0
1988,8,176.363,,,176.170,,,,,,,,,,,175.976,0
1988,9,176.385,,,176.074,,,,,,,,,,,175.894,0
1988,10,176.272,,,176.015,,,,,,,,,,,175.726,0
1988,11,176.159,,,175.978,,,,,,,,,,,175.714,0
1988,12,176.351,,,176.000,,,,,,,,,,,175.635,0
1989,1,176.302,,,175.964,,,,,,,,,,,175.711,0
1989,2,176.211,,,175.997,,,,,,,,,,,175.800,0
1989,3,176.110,,,175.907,,,,,,,,,,,175.732,0
1989,4,176.138,,,176.009,,,,,,,,,,,175.870,0
1989,5,176.214,,,176.045,,,,,,,,,,,175.790,0
1989,6,176.348,,,176.174,,,,,,,,,,,176.034,0
1989,7,176.336,,,176.207,,,,,,,,,,,176.117,0
1989,8,176.330,,,176.162,,,,,,,,,,,176.001,0
1989,9,176.568,,,176.108,,,,,,,,,,,175.979,0
